Saot Amerika	Sydamerika
Dziecinów	Dziecinów
Blumak	Clown kirurg
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Förenta nationernas medlemsstater
Natanggura	Cycas revoluta
St Peter's College (Auckland)	St Peter's College, Auckland
Alan García	Alan García Pérez
John Wycliffe	John Wycliffe
God	Gudom
Napoleong	Napoleonfisk
Flaeg blong Vanuatu	Vanuatus flagga
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Apaxco	Apaxco
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Mataskelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Jacint Verdaguer	Jacint Verdaguer
Francesc Cambó	Francesc Cambó
Derek Sikua	Derek Sikua
Buk Blong Momon	Mormons bok
Banian	Banyan
Ham Lini	Ham Lini
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Blufis	Papegojfiskar
Blakbokis	Pteropus anetianus
Serge Vohor	Rialuth Serge Vohor
Yonawa	Jonava
Grin pijin	Fruktduvor
Waeldakdak	Stillahavssvartand
Sigal	Silvermås
Aldealafuente	Aldealafuente
List blong provens blong Vanuatu	Vanuatus provinser
Joan Alcover	Joan Alcover
Kakao	Kakaopulver
Isangel	Isangel
Oganaesesen blong Givhan long Ikonomi mo Sosaeti blong ol Kantri blong Esia mo Pasifik	FN:s ekonomiska och sociala kommission för Asien och Stillahavsområdet
Smalfala grin pijin	Rödbukad fruktduva
Pijin blong hariken	Kilstjärtslira
Bigfala grin pijin	Tannafruktduva
Nalaklak	Vanuatuglasögonfågel
Pornopedia	Pornopedia
Category:Germany	Kategori:Tyskland
Category:Itali	Kategori:Italien
Category:Yunaeted Stet blong Amerika	Kategori:USA
Category:Rusia	Kategori:Ryssland
Category:Kanada	Kategori:Kanada
Category:United Kingdom	Kategori:Storbritannien
Category:Spain	Kategori:Spanien
Category:China	Kategori:Kina
Category:India	Kategori:Indien
Category:Niu Zilan	Kategori:Nya Zeeland
Category:Bangladesh	Kategori:Bangladesh
Category:Poland	Kategori:Polen
Category:Saot Koria	Kategori:Sydkorea
Category:Ukraine	Kategori:Ukraina
Category:Vietnam	Kategori:Vietnam
Category:Pijin	Kategori:Fåglar
Category:Baeoloji	Kategori:Biologi
Category:Histri	Kategori:Historia
Category:Jiografi	Kategori:Geografi
Category:Sosaeti	Kategori:Samhälle
Category:Rilijin	Kategori:Religion
Category:Saens	Kategori:Vetenskap
Category:Yunaeted Nesen	Kategori:Förenta nationerna
Category:Budisim	Kategori:Buddhism
Category:Kristaniti	Kategori:Kristendom
Category:Islam	Kategori:Islam
Ba Ria	Ba Ria
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Category:Wikipedia Manejmen	Kategori:Wikipedia:Administration
Category:Kultur	Kategori:Kultur
Category:Kontinen	Kategori:Världsdelar
Fas Presidensi	Första presidentskapet
Category:Pipol blong Yunaeted Stet blong Amerika	Kategori:Amerikaner
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Kategori:Världens länder
Category:Pipol	Kategori:Personer
Category:Intanet	Kategori:Internet
Template:Bot	Mall:Bot
Kanada	Kanada
Category:Hungary	Kategori:Ungern
Category:Czechia	Kategori:Tjeckien
Category:Litwania	Kategori:Litauen
Category:Slovakia	Kategori:Slovakien
Category:Yurop	Kategori:Europa
Template:Documentation	Mall:Dokumentation
Category:Wikipedians by language	Kategori:Användare efter språk
Template:Softredirect	Mall:Mjuk omdirigering
Template:Delete	Mall:Radera
Category:Toktok	Kategori:Språk
Category:Wikipedia	Kategori:Wikipedia
Category:Pages with broken file links	Kategori:Sidor med trasiga fillänkar
Wikipedia:Statistics	Wikipedia:Statistik
Template:!	Mall:!
Category:Buk	Kategori:Böcker
Template:Babel	Mall:Babel
Template:Commons	Mall:Commons
Template:Link GA	Mall:Link GA
Template:User eo-1	Mall:Användare eo-1
Template:User en-2	Mall:Användare en-2
Template:User es-1	Mall:Användare es-1
Template:User sk	Mall:Användare sk
Template:User fr-2	Mall:Användare fr-2
Category:Azerbaijan	Kategori:Azerbajdzjan
Category:Esia	Kategori:Asien
Template:Mod	Mall:Mod
Template:User it	Mall:Användare it
Template:States blog United States	Mall:USAs delstater
Category:User en	Kategori:Användare en
Category:Croatia	Kategori:Kroatien
Category:User en-2	Kategori:Användare en-2
Template:Template other	Mall:Mall annan
Category:Hed blong Stet	Kategori:Statschefer
Template:Purge	Mall:Rensa
Template:Interwiki	Mall:Interwiki
Category:Galicia	Kategori:Galicien
Category:User sk	Kategori:Användare sk
Category:User eo	Kategori:Användare eo
Category:User fr	Kategori:Användare fr
Category:User fr-2	Kategori:Användare fr-2
Category:User it-N	Kategori:Användare it-N
Category:User sk-N	Kategori:Användare sk-N
Category:User de	Kategori:Användare de
Category:User eo-1	Kategori:Användare eo-1
Category:User es	Kategori:Användare es
Category:User es-1	Kategori:Användare es-1
Category:User it	Kategori:Användare it
Category:Saens blong Pipol	Kategori:Samhällsvetenskap
Category:1969 births	Kategori:Födda 1969
Category:Not Dakota	Kategori:North Dakota
Category:Louisiana	Kategori:Louisiana
Category:Arizona	Kategori:Arizona
Category:Kentucky	Kategori:Kentucky
Category:Armenia	Kategori:Armenien
Category:Vanuatu	Kategori:Vanuatu
Category:Pipol blong Vanuatu	Kategori:Vanuatuer
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Kategori:USA:s presidenter
Category:Paraguay	Kategori:Paraguay
Category:Papua Nui Guini	Kategori:Papua Nya Guinea
Category:Andorra	Kategori:Andorra
Category:Peru	Kategori:Peru
Category:Albania	Kategori:Albanien
Category:Fis	Kategori:Fiskar
Category:Animol	Kategori:Djur
Category:Asturias	Kategori:Asturien
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Kategori:Jesu Kristi Kyrka av Sista Dagars Heliga
Category:Toktok long Vanuatu	Kategori:Språk i Vanuatu
Category:Catalonia	Kategori:Katalonien
Trojany	Trojany
Category:Buk Blong Momon	Kategori:Mormons bok
Category:Aragón	Kategori:Aragonien
Wikipedia:Deletion log	Wikipedia:Borttagningslogg
Special:RecentChanges	Special:Senaste ändringar
