अफ्रीका	Afrika
एरिट्रिया	Eritrea
नयाँ दिल्ली	New Delhi
शिशु	Spädbarn
गाबोन	Gabon
महात्मा गान्धी	Mahatma Gandhi
गाम्बिया	Gambia
गिनी	Guinea
गिनी-बिसाउ	Guinea-Bissau
आइभोरी कोस्ट	Elfenbenskusten
क्यामेरून	Kamerun
केप भर्ड	Kap Verde
लिबिया	Libyen
माडागास्कर	Madagaskar
स्टटगर्ट	Stuttgart
मौरिसस	Mauritius
नाइजेरिया	Nigeria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रुवाण्डा	Rwanda
सोमालिया	Somalia
नायोबियम	Niob
जवाहरलाल नेहरु	Jawaharlal Nehru
जुलियस सिजर	Julius Caesar
इन्द्रेणी	Regnbåge
ह्याम्बर्ग	Hamburg
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Immunförsvar
गुजरात	Gujarat
क्रम-विकास	Evolution
संयुक्त राष्ट्र संघ	Förenta nationerna
अहमदाबाद	Ahmedabad
भूगोल	Geografi
मुटु	Hjärta
मस्तिष्क	Hjärna
रङ्ग	Färg
प्राग	Prag
निलो	Blå
चाँदी	Silver
प्लुटोनियम	Plutonium
नेप्ट्युनियम	Neptunium
विद्युत आवेश	Elektrisk laddning
थोरियम	Torium
बिल क्लिन्टन	Bill Clinton
ईन्दिरा गान्धी	Indira Gandhi
मुम्बई	Bombay
आन्ध्र प्रदेश	Andhra Pradesh
अरुणाचल प्रदेश	Arunachal Pradesh
आसाम	Assam
बिहार	Bihar
मिचिगन	Michigan
छत्तीसगढ	Chhattisgarh
गोआ	Goa
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
जम्मू र कश्मीर	Jammu och Kashmir
प्युर्तो रिको	Puerto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
मध्य प्रदेश	Madhya Pradesh
युसेन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
उत्तरी राइन	Nordrhein-Westfalen
हेसे	Hessen
राइनल्यान्ड	Rheinland-Pfalz
सारल्यान्ड	Saarland
स्याक्सोनी	Sachsen
जोन लेनन	John Lennon
इलिनाय	Illinois
थाइरिन्जिया	Thüringen
नर्थ डेकोटा	North Dakota
ब्रान्डेनबर्ग	Brandenburg
ब्रेमेन (राज्य)	Bremen (delstat)
साउथ डेकोटा	South Dakota
मोन्टाना	Montana
वायोमिङ	Wyoming
जेरुसेलम	Jerusalem
आयडाहो	Idaho
वासिङ्टन डी.सी.	Washington (delstat)
रदर्फोर्डियम	Rutherfordium
नेवाडा	Nevada
दुब्नियम	Dubnium
सिबोर्गियम	Seaborgium
हिन्द महासागर	Indiska oceanen
वान कि मुन	Ban Ki-moon
कोफी अन्नान	Kofi Annan
कोलोराडो	Colorado
डार्मस्टासियम	Darmstadtium
डग हमरसल्ड	Dag Hammarskjöld
जाम	Fruktkonserv
ट्रेग्भी लाई	Trygve Lie
रेन्टगेनियम	Röntgenium
उनुन्बियम	Copernicium
आल्प्स	Alperna
ब्लेइज पास्कल	Blaise Pascal
शिकागो	Chicago
विटल्स	The Beatles
उनुन्ट्रियम	Ununtrium
उनुन्क्वाडियम	Flerovium
उनुन्पेन्टियम	Ununpentium
उनुन्हेक्सियम	Livermorium
उनुन्सेप्टियम	Ununseptium
उनुनक्टियम	Ununoktium
शिशिर ऋतु	Vinter
वसन्त	Vår
गृष्म ऋतु	Sommar
शरद ऋतु	Höst
ओसामा बिन लादेन	Usama bin Ladin
स्पेनी भाषा	Spanska
योहान सेबास्तियन बाख	Johann Sebastian Bach
फिलाडेल्फिया	Philadelphia
कोलकाता	Calcutta
चेन्नई	Chennai
दिल्ली	Delhi
ढाका	Dhaka
बेंगलोर	Bangalore
पश्चिम बङ्गाल	Västbengalen
माकुरा	Spindlar
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल-फूल	Frukt
मुद्रा	Pengar
भर्जिनिया	Virginia
वेस्ट भर्जिनिया	West Virginia
न्यू योर्क	New York (delstat)
रोड आइल्यान्ड	Rhode Island
किरा	Insekter
मेरिल्यान्ड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Vladimir Lenin
ओहायो	Ohio
पेन्सिलभेनिया	Pennsylvania
ऊएतेर्सेन्	Uetersen
माइक्रोसफ्ट विन्डोज	Microsoft Windows
न्यु जर्सी	New Jersey
गिब्राल्टार	Gibraltar
इन्डियाना	Indiana
रोजर फेडरर	Roger Federer
जर्जिया (संयुक्त राज्य)	Georgia
जग्रिब	Zagreb
राजस्थान	Rajasthan
टेक्सस	Texas
तमिलनाडु	Tamil Nadu
ब्रुनो मार्स	Bruno Mars
नर्थ क्यारोलाइना	North Carolina
साउथ क्यारोलाइना	South Carolina
टोकियो	Tokyo prefektur
बार्सिलोना	Barcelona
भुइँ कटहर	Ananas
मिसिसिपी	Mississippi
फर्डिनान्ड म्यागलन	Ferdinand Magellan
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
स्वीमिङ्ग पुल	Bassäng
मिजोरम	Mizoram
सिक्किम	Sikkim
टेनेसी	Tennessee
अबू धाबी	Abu Dhabi
न्यू मेक्सिको	New Mexico
मिनिसोटा	Minnesota
अन्तर्राष्ट्रिय प्रमाणिक समय	Koordinerad universell tid
विस्कान्सिन	Wisconsin
पुणे	Pune
एसी मिलान	AC Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
कन्सास	Kansas
सुर्ती	Tobak
हिन्दी	Hindi
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Cigarett
भगवान गणेश	Ganesha
मिसौरी	Missouri
लुजियाना	Louisiana
केन्टकी	Kentucky
आर्कन्सास	Arkansas
निल आर्मस्ट्रङ	Neil Armstrong
उर्दू	Urdu
ओक्लाहोमा	Oklahoma
भलिबल	Volleyboll
म्याडोना (मनोरञ्जनकर्मी)	Madonna (artist)
कोपनहेगन	Köpenhamn
स्टकहोम	Stockholm
हेल्सिन्की	Helsingfors
ब्रातिस्लाभा	Bratislava
बुडापेस्ट	Budapest
बाइबल	Bibeln
अर्बियम	Erbium
हनोइ	Hanoi
साँचो येशु गिर्जाघर	The True Jesus Church
अङ्ग्रेजी भाषा	Engelska
क्वालालम्पुर	Kuala Lumpur
ताइपेइ	Taipei
एमेरिसियम	Americium
क्युरियम	Curium
बर्क्लियम	Berkelium
क्यालिफोर्नियम	Californium
आइन्स्टाइनियम	Einsteinium
मेन्देलिभियम	Mendelevium
नोबेलियम	Nobelium
लरेन्सियम	Lawrencium
येरवान प्रान्त	Jerevan
कोन्स्कोभोला	Końskowola
शनिका प्राकृतिक उपग्रहहरु	Saturnus naturliga satelliter
सन् २०००	2000
सन् २००३	2003
सन् २००२	2002
सन् २००१	2001
सन २०१२	2012
सन् २०११	2011
सन् २०१०	2010
सन् २००९	2009
सन २०१३	2013
सन् २०१४	2014
सन् २०१५	2015
सन् २००८	2008
जाभास्क्रिप्ट	Javascript
सन् २००४	2004
सन् २००५	2005
सन् २००६	2006
सन् २००७	2007
सन् १९००	1900
सन् १९०१	1901
सन् १९०२	1902
फ्लोरेन्स	Florens
सन् १९०३	1903
सन् १९०४	1904
सन् १९०५	1905
सन् १९०७	1907
सन् १९०६	1906
सन् १९०८	1908
सन् १९०९	1909
सन् १९९२	1992
सन् १९९१	1991
सन् १९९०	1990
सन् १९९३	1993
सन् १९९४	1994
सन् १९९५	1995
सन् १९९६	1996
सन् १९१०	1910
सन् १९११	1911
सन् १९१२	1912
सन् १९१३	1913
सन् १९१४	1914
सन् १९१५	1915
सन् १९१६	1916
सन् १९९७	1997
सन् १९९८	1998
सन् १९९९	1999
सन् १९१७	1917
सन् १९१८	1918
खाद्यपदार्थ	Mat
सर्प	Ormar
१ जनवरी	1 januari
२ जनवरी	2 januari
सुभाषचन्द्र बोस	Subhas Chandra Bose
सन् १९२०	1920
३ जनवरी	3 januari
सन् १९१९	1919
सन् १९२१	1921
सन् १९२२	1922
४ जनवरी	4 januari
सन् १९२३	1923
सन् १९२४	1924
५ जनवरी	5 januari
६ जनवरी	6 januari
इलेक्ट्रोन	Elektron
७ जनवरी	7 januari
८ जनवरी	8 januari
९ जनवरी	9 januari
१० जनवरी	10 januari
११ जनवरी	11 januari
१२ जनवरी	12 januari
१३ जनवरी	13 januari
१४ जनवरी	14 januari
१५ जनवरी	15 januari
१६ जनवरी	16 januari
टम ह्याङ्क्स	Tom Hanks
१७ जनवरी	17 januari
१८ जनवरी	18 januari
१९ जनवरी	19 januari
२० जनवरी	20 januari
२१ जनवरी	21 januari
२२ जनवरी	22 januari
२३ जनवरी	23 januari
२४ जनवरी	24 januari
२५ जनवरी	25 januari
मिन्स्क	Minsk
२६ जनवरी	26 januari
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27 januari
२८ जनवरी	28 januari
२९ जनवरी	29 januari
३० जनवरी	30 januari
३१ जनवरी	31 januari
प्रोटोन	Proton
२ डिसेम्बर	2 december
१ डिसेम्बर	1 december
३ डिसेम्बर	3 december
७ डिसेम्बर	7 december
५ डिसेम्बर	5 december
८ डिसेम्बर	8 december
१० डिसेम्बर	10 december
६ डिसेम्बर	6 december
९ डिसेम्बर	9 december
४ डिसेम्बर	4 december
१ फेब्रुअरी	1 februari
२ फेब्रुअरी	2 februari
३ फेब्रुअरी	3 februari
कुरुफ	Kurów
४ फेब्रुअरी	4 februari
५ फेब्रुअरी	5 februari
६ फेब्रुअरी	6 februari
७ फेब्रुअरी	7 februari
८ फेब्रुअरी	8 februari
९ फेब्रुअरी	9 februari
१० फेब्रुअरी	10 februari
रसायनशास्त्र	Kemi
१४ फेब्रुअरी	14 februari
१३ फेब्रुअरी	13 februari
१५ फेब्रुअरी	15 februari
११ फेब्रुअरी	11 februari
१२ फेब्रुअरी	12 februari
रोबिन भान पर्सी	Robin van Persie
१९ फेब्रुअरी	19 februari
१७ फेब्रुअरी	17 februari
१६ फेब्रुअरी	16 februari
१८ फेब्रुअरी	18 februari
२० फेब्रुअरी	20 februari
न्यूट्रोन	Neutron
२१ फेब्रुअरी	21 februari
२२ फेब्रुअरी	22 februari
२३ फेब्रुअरी	23 februari
२४ फेब्रुअरी	24 februari
२५ फेब्रुअरी	25 februari
२६ फेब्रुअरी	26 februari
२७ फेब्रुअरी	27 februari
२८ फेब्रुअरी	28 februari
११ डिसेम्बर	11 december
२९ फेब्रुअरी	29 februari
१२ डिसेम्बर	12 december
१३ डिसेम्बर	13 december
१४ डिसेम्बर	14 december
१५ डिसेम्बर	15 december
२ मार्च	2 mars
३ मार्च	3 mars
५ मार्च	5 mars
१ मार्च	1 mars
७ मार्च	7 mars
८ मार्च	8 mars
४ मार्च	4 mars
१० मार्च	10 mars
११ मार्च	11 mars
६ मार्च	6 mars
१३ मार्च	13 mars
९ मार्च	9 mars
१२ मार्च	12 mars
१५ मार्च	15 mars
१४ मार्च	14 mars
१६ डिसेम्बर	16 december
१७ डिसेम्बर	17 december
१६ मार्च	16 mars
१७ मार्च	17 mars
१८ मार्च	18 mars
१९ मार्च	19 mars
सन् १९८९	1989
सन् १९८८	1988
२० मार्च	20 mars
सन् १९८७	1987
सन् १९८६	1986
सन् १९८५	1985
सन् १९८४	1984
२१ मार्च	21 mars
सन् १९८३	1983
२२ मार्च	22 mars
सन् १९८२	1982
सन् १९८१	1981
१८ डिसेम्बर	18 december
सन् १९८०	1980
२३ मार्च	23 mars
१९ डिसेम्बर	19 december
२४ मार्च	24 mars
२५ मार्च	25 mars
२० डिसेम्बर	20 december
२६ मार्च	26 mars
२७ मार्च	27 mars
२८ मार्च	28 mars
२९ मार्च	29 mars
३० मार्च	30 mars
३१ मार्च	31 mars
सन् १९७०	1970
सन् १९७१	1971
सन् १९७२	1972
सन् १९७३	1973
सन् १९७४	1974
सन् १९७५	1975
सन् १९७६	1976
सन् १९७७	1977
सन् १९७८	1978
सन् १९७९	1979
सन् १९६९	1969
३० वर्षे युद्ध	Trettioåriga kriget
सर्पिल गैलेक्सी	Spiralgalax
डन्डीय सर्पिल गैलेक्सी	Stavgalax
१५ अप्रिल	15 april
१३ अप्रिल	13 april
१२ अप्रिल	12 april
१४ अप्रिल	14 april
११ अप्रिल	11 april
१० अप्रिल	10 april
८ अप्रिल	8 april
९ अप्रिल	9 april
७ अप्रिल	7 april
६ अप्रिल	6 april
५ अप्रिल	5 april
४ अप्रिल	4 april
३ अप्रिल	3 april
१ अप्रिल	1 april
२ अप्रिल	2 april
१६ अप्रिल	16 april
१७ अप्रिल	17 april
१८ अप्रिल	18 april
१९ अप्रिल	19 april
२० अप्रिल	20 april
२१ अप्रिल	21 april
२२ अप्रिल	22 april
२३ अप्रिल	23 april
२४ अप्रिल	24 april
२५ अप्रिल	25 april
२६ अप्रिल	26 april
२७ अप्रिल	27 april
२८ अप्रिल	28 april
२९ अप्रिल	29 april
३० अप्रिल	30 april
१ मे	1 maj
२ मे	2 maj
३ मे	3 maj
४ मे	4 maj
५ मे	5 maj
६ मे	6 maj
७ मे	7 maj
८ मे	8 maj
९ मे	9 maj
१० मे	10 maj
११ मे	11 maj
१२ मे	12 maj
१३ मे	13 maj
१४ मे	14 maj
१५ मे	15 maj
१६ मे	16 maj
१७ मे	17 maj
१८ मे	18 maj
१९ मे	19 maj
२० मे	20 maj
२१ मे	21 maj
२२ मे	22 maj
२३ मे	23 maj
२४ मे	24 maj
२५ मे	25 maj
२६ मे	26 maj
२७ मे	27 maj
२८ मे	28 maj
२९ मे	29 maj
३० मे	30 maj
३१ मे	31 maj
पल मेकार्टनी	Paul McCartney
२१ डिसेम्बर	21 december
१४ जुन	14 juni
१५ जुन	15 juni
१३ जुन	13 juni
१० जुन	10 juni
७ जुन	7 juni
११ जुन	11 juni
९ जुन	9 juni
१२ जुन	12 juni
६ जुन	6 juni
८ जुन	8 juni
५ जुन	5 juni
३ जुन	3 juni
२ जुन	2 juni
१ जुन	1 juni
४ जुन	4 juni
२२ डिसेम्बर	22 december
जर्ज ह्यारिसन	George Harrison
सन् १९६८	1968
सन् १९६७	1967
सन् १९६६	1966
सन् १९६५	1965
सन् १९६४	1964
१६ जुन	16 juni
३० जुन	30 juni
२९ जुन	29 juni
२८ जुन	28 juni
२६ जुन	26 juni
२५ जुन	25 juni
२२ जुन	22 juni
२७ जुन	27 juni
२४ जुन	24 juni
२० जून	20 juni
२३ जुन	23 juni
१९ जून	19 juni
१८ जुन	18 juni
२१ जून	21 juni
१७ जुन	17 juni
२३ डिसेम्बर	23 december
अर्नोल्ड स्वार्जनेगर	Arnold Schwarzenegger
१५ जुलाई	15 juli
१३ जुलाई	13 juli
१२ जुलाई	12 juli
१० जुलाई	10 juli
९ जुलाई	9 juli
१४ जुलाई	14 juli
८ जुलाई	8 juli
७ जुलाई	7 juli
६ जुलाई	6 juli
५ जुलाई	5 juli
२ जुलाई	2 juli
४ जुलाई	4 juli
३ जुलाई	3 juli
१ जुलाई	1 juli
११ जुलाई	11 juli
२४ डिसेम्बर	24 december
साशा ग्रे	Sasha Grey
३१ जुलाई	31 juli
३० जुलाई	30 juli
२९ जुलाई	29 juli
२८ जुलाई	28 juli
२७ जुलाई	27 juli
२५ जुलाई	25 juli
२४ जुलाई	24 juli
२३ जुलाई	23 juli
२६ जुलाई	26 juli
२२ जुलाई	22 juli
१९ जुलाई	19 juli
२१ जुलाई	21 juli
२० जुलाई	20 juli
१७ जुलाई	17 juli
१८ जुलाई	18 juli
१६ जुलाई	16 juli
फुटबल खेल	Fotboll
२५ डिसेम्बर	25 december
सन् १९६३	1963
२६ डिसेम्बर	26 december
सन् १९६२	1962
आइफोन	Iphone
१४ अगस्ट	14 augusti
१५ अगस्ट	15 augusti
१३ अगस्ट	13 augusti
१२ अगस्ट	12 augusti
११ अगस्ट	11 augusti
१० अगस्ट	10 augusti
८ अगस्ट	8 augusti
७ अगस्ट	7 augusti
९ अगस्ट	9 augusti
५ अगस्ट	5 augusti
४ अगस्ट	4 augusti
२ अगस्ट	2 augusti
३ अगस्ट	3 augusti
६ अगस्ट	6 augusti
