Afelika	Afrika
Afelika ya Sudi	Södra Afrika
Afelika ya Lunene	Östafrika
Modern Talking	Modern Talking
Afelika ya Kati	Centralafrika
Magribia	Maghreb
Nyosi	Honungsbi
Mbele	Kniv
Bandinga ya kibantu	Bantuspråk
Patua	Dialekt
Kisikôngo	Kikongo
Nice	Nice
Kishona	Shona
Nsangu ya mbote	Evangelium (bok)
Yingo	Leopard
Kifalu	Noshörningar
Busula	Kompass
Bambangi ya Yehowa	Jehovas vittnen
Kongo	Kongo
Dingala	Lingala
Kibubu	Gorillor
Arancón	Arancón
Zandu	Marknad (ekonomi)
Tosa Inu	Tosa
Soka	Yxa
Radio Studio 54 Network	Radio Studio 54 Network
Sizo	Sax
Anhui	Anhui
Nei Mongol	Inre Mongoliet
Świnoujście	Świnoujście
Fujian	Fujian
Talcahuano	Talcahuano
Clermont-Ferrand	Clermont-Ferrand
Hainan	Hainan
Gansu	Gansu
Dikûmbi	Fordon
Mafuta	Olja
Yunnan	Yunnan
Shandong	Shandong
Henan	Henan
Liaoning	Liaoning
Dikongo	Spjut
Jilin	Jilin
Hunan	Hunan
Qinghai	Qinghai
Rhône (kizunga)	Rhône (departement)
Hubei	Hubei
Shanxi	Shanxi
Guizhou	Guizhou
Charleville-Mézières	Charleville-Mézières
Shaanxi	Shaanxi
Template:Commonscat	Mall:Commonscat
Jiangxi	Jiangxi
Joseph Kabila	Joseph Kabila
Deni Sasu Ngeso	Denis Sassou-Nguesso
Ningxia Hui	Ningxia
Kimpenzi	Schimpanser
Nzeniele	Ingenjör
La Rochelle	La Rochelle
Mandioko	Maniok
Dalapo ya Ngabu	Gabons flagga
Maniema	Maniema
Kôngo ya Kati	Kongo-Central
Kivu ya Node	Norra Kivu-provinsen
Nkwezo	Gummi
Bourges	Bourges
Albi	Albi
Bourg-en-Bresse	Bourg-en-Bresse
Angoulême	Angoulême
Bansi ya balabu	Arabvärlden
Tulle	Tulle
Nzila ya lukalu	Järnvägsspår
Dalapo ya Repubilika ya Kôngo	Kongo-Brazzavilles flagga
Dalapo ya Repubilika ya Kongo Demokratiki	Kongo-Kinshasas flagga
Laon	Laon
Kabinda (kizunga)	Kabinda
Bambenga	Pygméer
Babantu	Bantu
Châteauroux	Châteauroux
Villa Alemana	Villa Alemana
Gap	Gap
Vodu	Voodoo
Digne	Digne-les-Bains
Saint-Lô	Saint-Lô
Foix	Foix
Moulins	Moulins
Mont-de-Marsan	Mont-de-Marsan
Guéret	Guéret
Berat (kizunga)	Beratprefekturen
La Roche-sur-Yon	La Roche-sur-Yon
Bengo	Bengo
Mende	Mende, Lozère
Vlorë (kizunga)	Vlorë prefektur
Durrës (kizunga)	Durrës prefektur
Dibër	Dibër prefektur
Privas	Privas
Lezhë (kizunga)	Lezhë prefektur
Shkodër (kizunga)	Shkodër prefektur
Gjirokastër (kizunga)	Gjirokastër prefektur
Korçë (kizunga)	Korçë prefektur
Elbasan (kizunga)	Elbasan prefektur
Łobez	Łobez
Kizûnga Nzâdi	Zaire (provins)
Goma	Goma
Joseph Kasa Vubu	Joseph Kasavubu
Bandinga ya Afrika	Språk i Afrika
Bidimbu ya Repubilika ya Kongo Demokratiki	Kongo-Kinshasas statsvapen
Gaitana	Gaitana
Mbandaka	Mbandaka
Matadi	Matadi
Kizûnga Wizi	Uíge
Telama besi Kongo	Debout Congolais
Lubitu	Lobito
Mboma	Boma
Ndindi	Pointe-Noire
Angola Avante	Angola Avante
Tirana (kizunga)	Tiranë prefektur
Muamba	Palmolja
Kukës (kizunga)	Kukës prefektur
Fier (kizunga)	Fier prefektur
Wanzio	Ängel
Kimpubensawu	Provensalska
Mobilisa	Mobilisering
Dolizi	Dolisie
Kasâyi (kizûnga)	Kasaï (provins)
Kikwit	Kikwit
Antoine Gizenga	Antoine Gizenga
Serebro	Serebro
Bizunga ya Ngola	Angolas provinser
Pascal Lisuba	Pascal Lissouba
Tshuapa	Tshuapa
Marien Nguabi	Marien Ngouabi
Mbizi	Ambriz
Masuku	Franceville
Bambundu	Mbundufolket
Kimpa Mvita	Kimpa Vita
Kaudai	Cao Dai
Paramore	Paramore
Medinaceli	Medinaceli
Marbella	Marbella
Láchar	Láchar
Kivu ya Sudi	Södra Kivu-provinsen
Benalmádena	Benalmádena
Fuengirola	Fuengirola
Torremolinos	Torremolinos
Mijas	Mijas
Estepona	Estepona
Mbânza Kôngo	Mbanza-Kongo
Kwilu (Kikwit)	Kwilu
Antequera	Antequera
Kamina	Kamina
FLEC	Cabindaenklavens befrielsefront
Repubilika ya Kongo ya Kati	Kongo-Léopoldville
Bakôngo	Kongo (folk)
Arenas	Arenas Club de Getxo
Bandundu	Bandundu (stad)
Dizanga Malebo	Malebodammen
CAKE	Cake
Kizunga Kwango	Kwango
Kôngo ya Ntotila	Kongoriket
Baluba	Luba
Banana	Banana
Bateke	Teke
Kisinto	Shinto
Aldealafuente	Aldealafuente
Alhaurín el Grande	Alhaurín el Grande
Ilebo	Ilebo
Mbanza-Ngungu	Mbanza-Ngungu
Casares	Casares
Manilva	Manilva
Ekwatelo	Équateur
Muanda (RKD)	Muanda
Kizunga Luwalaba	Lualaba (provins)
Kizunga Mayi-Ndombe	Mai-Ndombe
Kalasi:Alemanyi	Kategori:Tyskland
Kalasi:Italia	Kategori:Italien
Kalasi:Rusia	Kategori:Ryssland
Kalasi:Espania	Kategori:Spanien
Kalasi:Sina	Kategori:Kina
Kalasi:Australia	Kategori:Australien
Kalasi:Repubilika ya Kongo ya Dimokalasi	Kategori:Kongo-Kinshasa
Kalasi:Republika ya Itiopia	Kategori:Etiopien
Kalasi:Repubilika ya Tanzania	Kategori:Tanzania
Kalasi:Vietnam	Kategori:Vietnam
Kalasi:Lukwikilu	Kategori:Religion
Kalasi:Bizabu	Kategori:Vetenskap
Kalasi:Ntoto	Kategori:Jorden
Nsi ya Luangu	Loango
Nzinga Nkuwu	João I av Kongo
Dibûndu ya Kimbangu	Kimbanguism
Kalasi:Kikristo	Kategori:Kristendom
Bundu ya Kongo	Bundu dia Kongo
Kwamuntu	Kwamouth
Basuku	Suku
Template:Tl	Mall:Mall
Template:Userbox	Mall:Användarbox
Wikipedia:Administrators	Wikipedia:Administratörer
Wikipedia:Vital 100	Wikipedia:100 viktiga artiklar
Misiri	Egypten
Template:Bot	Mall:Bot
Kalasi:Hongrie	Kategori:Ungern
Kalasi:Bansi ya Mputu	Kategori:Europas länder
Kalasi:Mputu	Kategori:Europa
Template:Documentation	Mall:Dokumentation
Wikipedia:Community Portal	Wikipedia:Deltagarportalen
Kalasi:Users by language	Kategori:Användare efter språk
Template:Softredirect	Mall:Mjuk omdirigering
Template:Delete	Mall:Radera
Kalasi:Ndinga	Kategori:Språk
Kalasi:Wikipedia	Kategori:Wikipedia
Wikipedia:Privacy policy	Wikipedia:Integritetspolicy
Template:!	Mall:!
Template:!-	Mall:!-
Template:E	Mall:E
Template:Clear	Mall:Clear
Wikipedia:Vital articles	Wikipedia:Artiklar som bör finnas på Wikipedia
Kalasi:Afelika	Kategori:Afrika
Kalasi:Bantalu	Kategori:Tal
Template:Babel	Mall:Babel
Template:Babel de	Mall:Användare de
Template:Babel en-2	Mall:Användare en-2
Template:Babel en-4	Mall:Användare en-4
Template:Babel en-0	Mall:Användare en-0
Template:Babel fr-1	Mall:Användare fr-1
Template:Babel it-3	Mall:Användare it-3
Template:User sk	Mall:Användare sk
Template:Babel tr	Mall:Användare tr
Kalasi:Azia	Kategori:Asien
Kalasi:Castilla y León	Kategori:Kastilien och Leon
Template:Mod	Mall:Mod
Template:Afrika	Mall:Afrika
Template:Music	Mall:Infobox musiker
Kalasi:User en-4	Kategori:Användare en-4
Kalasi:User en	Kategori:Användare en
Kalasi:User en-2	Kategori:Användare en-2
Template:Template other	Mall:Mall annan
Template:·	Mall:·
Kalasi:Amelika	Kategori:Amerika
Template:Kanda	Mall:Folkgrupp
Wikipedia:Nospam	Wikipedia:Skyddade sidnamn
Template:Bisongidila	Mall:Förgrening
Kalasi:Bizunga ya Ngola	Kategori:Angolas provinser
Template:Mputu	Mall:Europa
Kalasi:Bapolitiki ya Repubilika ya Kongo ya Dimokalasi	Kategori:Kinshasa-kongolesiska politiker
Kalasi:User sk	Kategori:Användare sk
Kalasi:User fr	Kategori:Användare fr
Kalasi:User la	Kategori:Användare la
Kalasi:User oc	Kategori:Användare oc
Kalasi:User sh	Kategori:Användare sh
Kalasi:User cs-3	Kategori:Användare cs-3
Kalasi:User it-3	Kategori:Användare it-3
Kalasi:User sk-2	Kategori:Användare sk-2
Kalasi:User sh-2	Kategori:Användare sh-2
Kalasi:User fr-N	Kategori:Användare fr-N
Kalasi:User ca	Kategori:Användare ca
Kalasi:User ca-3	Kategori:Användare ca-3
Kalasi:User cs	Kategori:Användare cs
Kalasi:User sk-N	Kategori:Användare sk-N
Kalasi:User de	Kategori:Användare de
Kalasi:User en-0	Kategori:Användare en-0
Kalasi:User es	Kategori:Användare es
Kalasi:User es-3	Kategori:Användare es-3
Template:Babel la-3	Mall:Användare la-3
Kalasi:User it	Kategori:Användare it
Kalasi:User la-3	Kategori:Användare la-3
Kalasi:La Rioja	Kategori:La Rioja, Spanien
Kalasi:Bansi ya Afelika	Kategori:Afrikas länder
Template:Babel es-3	Mall:Användare es-3
Kalasi:User tr	Kategori:Användare tr
Kalasi:User tr-N	Kategori:Användare tr-N
Kalasi:Kizunga ya Alemanyi	Kategori:Tysklands delstater
Kalasi:Repubilika ya Ngola	Kategori:Angola
Kalasi:Ngabu	Kategori:Gabon
Kalasi:Namibia	Kategori:Namibia
Kalasi:Repubilika ya Kongo	Kategori:Kongo-Brazzaville
Template:Babel ca-3	Mall:Användare ca-3
Kalasi:Bapolitiki ya Espania	Kategori:Spanska politiker
Kalasi:Bapolitiki ya Repubilika ya Kongo	Kategori:Brazzaville-kongolesiska politiker
Kalasi:Bapolitiki ya Fwalansa	Kategori:Franska politiker
Kalasi:Albania	Kategori:Albanien
Kalasi:Université en Italia	Kategori:Universitet och högskolor i Italien
Kalasi:Babwala ya Ngola	Kategori:Orter i Angola
Kalasi:Andalucía	Kategori:Andalusien
Kalasi:Dalapo	Kategori:Flaggor
Kalasi:Babwala ya Ngabu	Kategori:Orter i Gabon
The Prodigy	The Prodigy
Kalasi:Babwala ya Namibia	Kategori:Orter i Namibia
Kalasi:Málaga	Kategori:Malaga
Trojany	Trojany
Kalasi:Bizunga ya Repubilika ya Kongo ya Dimokalasi	Kategori:Kongo-Kinshasas provinser
Kalasi:Kizunga ya Albania	Kategori:Albaniens prefekturer
Kalasi:Kizunga ya Sina	Kategori:Kinas provinser
Kalasi:Babantu	Kategori:Städer
Kipele-pele	Dagfjärilar
Special:RecentChanges	Special:Senaste ändringar
