ஆப்பிரிக்கா	Afrika
கோட்டை (சதுரங்கக் காய்)	Torn (schack)
அரசன் (சதுரங்கம்)	Kung (schack)
அரசி (சதுரங்கம்)	Dam (schack)
சிங்கம்	Lejon
பிரான்சு	Frankrike
எஸ்பெராண்டோ	Esperanto
நாய்	Hund
ஐக்கிய இராச்சியம்	Storbritannien
பூனை	Katt
சீன மக்கள் குடியரசு	Kina
பிரான்சிய மொழி	Franska
விக்சனரி	Wiktionary
மீன்	Fiskar
எத்தனால்	Etanol
மதுபானம்	Alkoholdryck
பிரேசில்	Brasilien
மதுசாரம்	Alkoholer
பிரான்சுவா ஆலந்து	François Hollande
உருசியா	Ryssland
கடற்பாலூட்டி	Valar
ஒளியிழை	Fiberoptik
சதுரம்	Kvadrat
கடல்	Hav
கருங்கடல்	Svarta havet
பை (கணித மாறிலி)	Pi
விக்கி	Wiki
ரொறன்ரோ	Toronto
அலபாமா	Alabama
சாவோ பாவுலோ	São Paulo
சாவோ பாவுலோ (மாநிலம்)	São Paulo (delstat)
கியூபெக்	Québec
பீத்சா	Pizza
விக்கிமீடியா நிறுவனம்	Wikimedia Foundation
ஜிம்மி வேல்ஸ்	Jimmy Wales
ஜெர்மனி	Tyskland
பெலருஸ்	Vitryssland
லாரி சாங்கர்	Larry Sanger
இடாய்ச்சு மொழி	Tyska
ஐசுலாந்து	Island
கடவுள்	Gud
எசுத்தோனியா	Estland
டேவிட் கேமரன்	David Cameron
சனி (கோள்)	Saturnus
சாக்கலேட்	Choklad
விமானம்	Flygplan
போர்	Krig
1 (எண்)	1 (tal)
2 (எண்)	2 (tal)
3 (எண்)	3 (tal)
4 (எண்)	4 (tal)
5 (எண்)	5 (tal)
0 (எண்)	0 (tal)
முடிவிலி	Oändlighet
இசுட்டீவன் கார்ப்பர்	Stephen Harper
ஜார்ஜ் வாக்கர் புஷ்	George W. Bush
செவ்வகம்	Rektangel
செங்கோணம்	Rät vinkel
லாத்வியா	Lettland
உக்ரைன்	Ukraina
செக் குடியரசு	Tjeckien
சிலோவாக்கியா	Slovakien
சுலோவீனியா	Slovenien
வில்னியஸ்	Vilnius
மல்தோவா	Moldavien
உருமேனியா	Rumänien
பல்காரியா	Bulgarien
உரோம்	Rom
மாக்கடோனியக் குடியரசு	Makedonien
அல்பேனியா	Albanien
கிறீன்லாந்து	Grönland
குரோவாசியா	Kroatien
பொசுனியா எர்செகோவினா	Bosnien och Hercegovina
நூக்	Nuuk
அசர்பைஜான்	Azerbajdzjan
அந்தோரா	Andorra
சைப்பிரசு	Cypern
சியார்சியா (நாடு)	Georgien
கசக்ஸ்தான்	Kazakstan
மால்ட்டா	Malta
மொனாக்கோ	Monaco
மொண்டெனேகுரோ	Montenegro
வத்திக்கான் நகர்	Vatikanstaten
சான் மரீனோ	San Marino
பிரசெல்சு	Bryssel (region)
கியூபா	Kuba
பெலீசு	Belize
ஈபெல் கோபுரம்	Eiffeltornet
பார்படோசு	Barbados
போல்க்ஸ்வேகன்	Volkswagen
இன்டெல்	Intel
கம்பியற்ற தகவல்தொடர்பு	Trådlöst nätverk
விசைப்பலகை	Tangentbord
ஜாவா (நிரலாக்க மொழி)	Java (programspråk)
இந்தோனேசியா	Indonesien
குவர்ட்டி	QWERTY
வொல்ஃப்கேங்க் அமதியுஸ் மோட்சார்ட்	Wolfgang Amadeus Mozart
லுடுவிக் ஃவான் பேத்தோவன்	Ludwig van Beethoven
துருக்கிய மொழி	Turkiska
தென்னாப்பிரிக்கா	Sydafrika
லிங்கின் பார்க்	Linkin Park
அல்சீரியா	Algeriet
விக்கிமூலம்	Wikisource
உசுபெக்கிசுத்தான்	Uzbekistan
பனிப்பூண்டு	Sileshårssläktet
போசுனான்	Poznań
தாஷ்கந்து	Tasjkent
வார்சாவா	Warszawa
விஸ்கி	Whisky
வைன்	Vin
நீர்	Vatten
தோல்சரக்கு நுட்பியல்	Läder
மரம் (மூலப்பொருள்)	Trä
தொலைக்காட்சி	Television
பால் (உயிரியல்)	Kön
பாலுணர்வுக் கிளர்ச்சியம்	Pornografi
இசுலேன்சுக மொழி	Isländska
கிளாடு மோனெ	Claude Monet
டியேகோ வெலாஸ்க்குவெஸ்	Diego Velázquez
சிலி	Chile
இயேசு கிறித்து	Jesus
எல்விஸ் பிரெஸ்லி	Elvis Presley
செபஸ்டியான் பினேரா	Sebastián Piñera
கலீலியோ கலிலி	Galileo Galilei
புதன் (கோள்)	Merkurius
வரலாறு	Historia
ஆப்பிள் நிறுவனம்	Apple Inc.
வெள்ளி (கோள்)	Venus
மொழி	Språk
காதல்	Kärlek
சர்வாதிகாரம்	Diktatur
விண்மீன் பேரடை	Galax
வியாழன் (கோள்)	Jupiter
மிசெல் பாச்செலெட்	Michelle Bachelet
பால் வழி	Vintergatan
பெரு வெடிப்புக் கோட்பாடு	Big Bang
யுரேனசு	Uranus
பிரித்தானி	Bretagne
ஆங்கில விக்கிப்பீடியா	Engelskspråkiga Wikipedia
நிக்கொலா சார்கோசி	Nicolas Sarkozy
நெப்டியூன்	Neptunus
வானியல்	Astronomi
சிங்கப்பூர்	Singapore
அறிவியல்	Vetenskap
அண்டவியல்	Kosmologi
புளூட்டோ	Pluto
மொண்ட்ரியால்	Montréal
கட்டற்ற மென்பொருள்	Fri programvara
மரியாள் (இயேசுவின் தாய்)	Jungfru Maria
லீக்டன்ஸ்டைன்	Liechtenstein
உடல் திறன் விளையாட்டு	Sport
கேம்பிரிட்ச்	Cambridge
யெல்லோஸ்டோன் தேசியப் பூங்கா	Yellowstone nationalpark
இட்லர்	Adolf Hitler
ஃபேஸ்புக்	Facebook
கூகுள்+	Google Plus
விக்கிலீக்ஸ்	Wikileaks
ஜூலியன் அசாஞ்சு	Julian Assange
முதல் உலகப் போர்	Första världskriget
இரண்டாம் உலகப் போர்	Andra världskriget
மூன்றாம் உலகப் போர்	Tredje världskriget
கோல்ன்	Köln
விக்கிநூல்கள்	Wikibooks
விக்கிமேற்கோள்	Wikiquote
விக்கிப்பல்கலைக்கழகம்	Wikiversity
வோட்கா	Vodka
கடிகாரம்	Ur
யங்கா குபாலா	Janka Kupala
உபுண்டு (இயக்குதளம்)	Ubuntu
ஸ்கோப்ஜே	Skopje
லினக்சு	Linux
பாப் டிலான்	Bob Dylan
கணிதம்	Matematik
யு2	U2
இலத்தீன்	Latin
பகுரைன்	Bahrain
ஆர்மீனியா	Armenien
ஜென்னா ஜேமிசன்	Jenna Jameson
ஆப்பெழுத்து	Kilskrift
ஹிக்ஸ் போசான்	Higgsboson
செர்பியா	Serbien
நிலா	Månen
இசுதான்புல்	Istanbul
லிண்டா லவ்லேஸ்	Linda Lovelace
ஆத்திரேலியா	Australien
பாப் மார்லி	Bob Marley
கார்ல் சேகன்	Carl Sagan
வான் உயிரியல்	Astrobiologi
இயற்பியல்	Fysik
அர்கெந்தீனா	Argentina
தொலைத்தொடர்பு	Telekommunikation
பெரு	Peru
உயிரியல்	Biologi
அடையாளம் கண்டுபிடிக்க முடியாத பறக்கும் பொருள்	Ufo
வடகொரியா	Nordkorea
கம்போடியா	Kambodja
கைப்பர் பட்டை	Kuiperbältet
திருக்குர்ஆன்	Koranen
தொன்மா	Dinosaurier
விலங்கியல்	Zoologi
இசுலாம்	Islam
பேரி	Päronsläktet
லியுப்லியானா	Ljubljana
சால்வடோர் அயேந்தே	Salvador Allende
தாவரவியல்	Botanik
லேக் வலேசா	Lech Wałęsa
சில்லு	Hjul
பிரெஞ்சு கலைக்களஞ்சியம்	Encyclopédie
மனம்	Psyke
அமைதி	Fred
பிரித்தானிக்கா கலைக்களஞ்சியம்	Encyclopædia Britannica
லியோன்	Lyon
ஐரோப்பிய ஒன்றியம்	Europeiska unionen
இணைய ஆவணகம்	Internet Archive
ஸ்டார் வார்ஸ்	Star Wars
உலகளாவிய வலை	World Wide Web
பெண்	Kvinna
சோஃவியா	Sofia
தொட்டிப் பாலம்	Akvedukt
டான் குய்க்ஸோட்	Don Quijote
கவிதை	Poesi
சோம்பல்	Indolens
கணினி நச்சுநிரல்	Datorvirus
செர்னோபில் அணு உலை விபத்து	Tjernobylolyckan
இரோசிமாவிலும் நாகசாக்கியிலும் அணுகுண்டு வீச்சு	Atombomberna över Hiroshima och Nagasaki
பில் மேகர்	Bill Maher
மிலன்	Milano
நட்பு	Vänskap
நினைவாற்றல்	Minne
ஆர்தர் ராம்போ	Arthur Rimbaud
துரின்	Turin
மலம்	Avföring
மலவாய்	Analöppning
எலுமிச்சை	Citron
வாழை	Banan
மலர்	Blomma
கூகல்	Googol
மரியானா அகழி	Marianergraven
விளாடிமிர் விசொட்சுக்கி	Vladimir Vysotskij
எவரெசுட்டு சிகரம்	Mount Everest
உடற்கூற்றியல்	Anatomi
மாநகரம்	Stad
பிரான்சின் முதலாம் நெப்போலியன்	Napoleon I
ஒலிம்பஸ் மொன்ஸ் (மலை)	Olympus Mons
உடலியங்கியல்	Fysiologi
விண்மீன்	Stjärna
ஞாயிறு (விண்மீன்)	Solen
வானம்	Himmel
லூயி பாஸ்ச்சர்	Louis Pasteur
ஒளியாண்டு	Ljusår
ஊர்	By
விக்டர் ஹியூகோ	Victor Hugo
ஓசியானியா	Oceanien
கரிபால்டி	Giuseppe Garibaldi
தடகள விளையாட்டு	Friidrott
சூரியக் குடும்பம்	Solsystemet
பால்டிக் கடல்	Östersjön
பல்	Tänder
நீரியம்	Väte
ஈலியம்	Helium
நரகம்	Helvete
விக்கிமீடியா பொது	Wikimedia Commons
தூய்மை பெறும் நிலை	Skärselden
அங்கெலா மேர்க்கெல்	Angela Merkel
இலித்தியம்	Litium
பெரிலியம்	Beryllium
ஒலிபெருக்கி	Högtalare
நூல் அமைப்பு	Bok
நாள்	Dygn
கிழக்குத் திமோர்	Östtimor
இரவு	Natt
ஆண்டு	År
நூற்றாண்டு	Sekel
மோண்ட் பிளாங்க்	Mont Blanc
ரைன் ஆறு	Rhen
ஒஸ்லோ	Oslo
பான்	Bonn
புனிதர் அனைவர் பெருவிழா	Alla helgons dag
கருந்துளை	Svart hål
லூயிஸ் டி கமோஸ்	Luís de Camões
சியரீசு (குறுங்கோள்)	Ceres (dvärgplanet)
லிஸ்பன்	Lissabon
அவுமியா	Haumea (dvärgplanet)
ரோன்	Rhône
கத்தேரி தேக்கக்விதா	Kateri Tekakwitha
ஏரிசு (குறுங்கோள்)	Eris (dvärgplanet)
துபாய்	Dubai
லியோனல் மெஸ்ஸி	Lionel Messi
போரான்	Bor
நிக்கோலாஸ் கோப்பர்னிக்கஸ்	Nicolaus Copernicus
கரிமம்	Kol
வோல்கா ஆறு	Volga
நைட்ரசன்	Kväve
ஆக்சிசன்	Syre
கோள்	Planet
ஏழாம் கிளியோபாட்ரா	Kleopatra VII av Egypten
இசை	Musik
வெனிசு	Venedig
நருடோ	Naruto
வெப்பமானி	Termometer
ரேன்	Rennes
லீல்	Lille
மாஸ்கோ	Moskva
புளோரின்	Fluor
இத்தாலிய மொழி	Italienska
நியான்	Neon
சென் பீட்டர்ஸ்பேர்க்	Sankt Petersburg
சாட்	Tchad
சோடியம்	Natrium
வடக்கு	Norr
மக்னீசியம்	Magnesium
அலுமினியம்	Aluminium
நியூசிலாந்து	Nya Zeeland
தெற்கு	Söder
இந்தியா	Indien
சிலிக்கான்	Kisel
பிரான்சீயம்	Francium
துவாலு	Tuvalu
பாசுபரசு	Fosfor
ஆந்த்ரே-மாரி ஆம்பியர்	André-Marie Ampère
உரைநடை	Prosa
இரும்பு	Järn
தொங்கா	Tonga
மேற்கு	Väster
வோல்ட்டா	Alessandro Volta
கந்தகம்	Svavel
சமோவா	Samoa
கிழக்கு	Öster
சொலமன் தீவுகள்	Salomonöarna
வனுவாட்டு	Vanuatu
மொலியர்	Molière
குளோரின்	Klor
பப்புவா நியூ கினி	Papua Nya Guinea
வில்லியம் சேக்சுபியர்	William Shakespeare
பலாவு	Palau
ஆர்கான்	Argon
நவூரு	Nauru
பயர் பாக்சு	Mozilla Firefox
விசித்திரக் கதைகள்	Saga
மைக்குரோனீசியக் கூட்டு நாடுகள்	Mikronesiens federerade stater
பொட்டாசியம்	Kalium
கல்சியம்	Kalcium
ஈயம்	Bly
மார்சல் தீவுகள்	Marshallöarna
கிரிபட்டி	Kiribati
மங்கோலியா	Mongoliet
பிஜி	Fiji
இசுக்காண்டியம்	Skandium
தைட்டானியம்	Titan
வெனிசுவேலா	Venezuela
சதுரங்கம்	Schack
செங்கிஸ் கான்	Djingis khan
வனேடியம்	Vanadin
மேய்ன்	Maine
குரோமியம்	Krom
குதிரை	Häst
ஆம்ஸ்டர்டம்	Amsterdam
ஆயுதம்	Vapen
விலங்கு	Djur
சுரிநாம்	Surinam
மாங்கனீசு	Mangan
பரகுவை	Paraguay
கயானா	Guyana
கலை	Konst
எக்குவடோர்	Ecuador
இரேனியம்	Rhenium
கொலொம்பியா	Colombia
கோபால்ட்	Kobolt
தங்குதன்	Volfram
நிக்கல்	Nickel
பௌத்தம்	Buddhism
பொலிவியா	Bolivia
ஓசுமியம்	Osmium
செப்பு	Koppar
டிரினிடாட் மற்றும் டொபாகோ	Trinidad och Tobago
தாவரம்	Växt
செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்	Saint Vincent och Grenadinerna
துத்தநாகம்	Zink
நியூ ஹாம்சயர்	New Hampshire
செயிண்ட் லூசியா	Saint Lucia
லியொனார்டோ டா வின்சி	Leonardo da Vinci
செயிண்ட் கிட்சும் நெவிசும்	Saint Kitts och Nevis
பூஞ்சை	Svampar
ஜமேக்கா	Jamaica
கிரெனடா	Grenada
மாசச்சூசெட்ஸ்	Massachusetts
குவாத்தமாலா	Guatemala
கூகிள் குரோம்	Google Chrome
பகாமாசு	Bahamas
கனெடிகட்	Connecticut
கோழி	Tamhöna
அன்டிகுவா பர்புடா	Antigua och Barbuda
ஹவாய்	Hawaii
ஹொண்டுராஸ்	Honduras
டொமினிக்கா	Dominica
யேர்சி	Jersey
டொமினிக்கன் குடியரசு	Dominikanska republiken
வீட்டுப் பன்றி	Gris
ஆர்க்டிக் பெருங்கடல்	Norra ishavet
எயிட்டி	Haiti
எல் சால்வடோர்	El Salvador
ஈரான்	Iran
ஈராக்	Irak
அலாஸ்கா	Alaska
கோஸ்ட்டா ரிக்கா	Costa Rica
இசுரேல்	Israel
பனாமா	Panama
யெமன்	Jemen
லோசான்	Lausanne
தீ நுண்மம்	Virus
போலிய மொழி	Polska
ஜோர்தான்	Jordanien
நிக்கராகுவா	Nicaragua
புளோரிடா	Florida
கிர்கிசுத்தான்	Kirgizistan
அரிசோனா	Arizona
குவைத்	Kuwait
லாவோஸ்	Laos
லெபனான்	Libanon
ஓரிகன்	Oregon
மாலைத்தீவுகள்	Maldiverna
அமெரிக்காக்கள்	Amerika
யூட்டா	Utah
மாடு	Nötkreatur
மலேசியா	Malaysia
மியான்மர்	Burma
நேபாளம்	Nepal
ஓமான்	Oman
பாக்கித்தான்	Pakistan
ஜேம்ஸ் பாண்ட்	James Bond
கத்தார்	Qatar
டென்னிசு	Tennis
மைசீக்குவெல்	MySQL
சவூதி அரேபியா	Saudiarabien
இலங்கை	Sri Lanka
ஜோசப் ஸ்டாலின்	Josef Stalin
பார்கோடு	Streckkod
சிரியா	Syrien
பிளேட்டோ	Platon
காலியம்	Gallium
தஜிகிஸ்தான்	Tadzjikistan
பொகெமொன்	Pokémon
சீனக் குடியரசு	Taiwan
யூடியூப்	Youtube
ஜேர்மானியம்	Germanium
அரிசுட்டாட்டில்	Aristoteles
தாய்லாந்து	Thailand
தொடர்வண்டி	Tåg
ஆர்சனிக்	Arsenik
வானொலி	Radio
மெரில் ஸ்ட்ரீப்	Meryl Streep
துருக்மெனிஸ்தான்	Turkmenistan
செலீனியம்	Selen
இரிடியம்	Iridium
ஐக்கிய அரபு அமீரகம்	Förenade Arabemiraten
புரோமின்	Brom
பிளாட்டினம்	Platina
வியட்நாம்	Vietnam
சார்லி சாப்ளின்	Charlie Chaplin
தென் கொரியா	Sydkorea
கிரிப்டான்	Krypton
ஆப்கானித்தான்	Afghanistan
கங்னம் ஸ்டைல்	Gangnam Style
ஜே. ஆர். ஆர். டோல்கீன்	J.R.R. Tolkien
ருபீடியம்	Rubidium
தங்கம்	Guld
சுயஸ் கால்வாய்	Suezkanalen
அறிவியலாளர்	Vetenskapsman
வங்காளதேசம்	Bangladesh
பிரான்ஸ் காஃப்கா	Franz Kafka
ஹோர்ஹே லூயிஸ் போர்கெஸ்	Jorge Luis Borges
மாலி	Mali
சாக்கிரட்டீசு	Sokrates
வோல்கோகிராட்	Volgograd
அங்கோலா	Angola
பூட்டான்	Bhutan
டுவிட்டர்	Twitter
புரூணை	Brunei
தன்சானியா	Tanzania
பாதரசம்	Kvicksilver
ருவால் அமுன்சென்	Roald Amundsen
ஆரி முலிச்	Harry Mulisch
பிலிப்பீன்சு	Filippinerna
மத்திய ஆப்பிரிக்கக் குடியரசு	Centralafrikanska republiken
நருடோ உஜுமகி	Uzumaki Naruto
தாலியம்	Tallium
தென் துருவம்	Sydpolen
வட துருவம்	Nordpolen
ஐசாக் நியூட்டன்	Isaac Newton
ஆல்பர்ட் ஐன்ஸ்டைன்	Albert Einstein
இசுட்ரோன்சியம்	Strontium
பிரேசிலின் முதலாம் பெட்ரோ	Peter I av Brasilien
இயிற்றியம்	Yttrium
பிசுமத்	Vismut
மஞ்சள் (நிறம்)	Gul
குவாண்டம் விசையியல்	Kvantmekanik
டோகோ	Togo
துனீசியா	Tunisien
ஜான் பார்டீன்	John Bardeen
சாம்பியா	Zambia
சிம்பாப்வே	Zimbabwe
பெய்ஜிங்	Peking
தெற்கு சூடான்	Sydsudan
விலாடிவொஸ்டொக்	Vladivostok
பெனின்	Benin
போட்சுவானா	Botswana
விக்கிசெய்தி	Wikinews
புர்க்கினா பாசோ	Burkina Faso
புருண்டி	Burundi
கொமொரோசு	Komorerna
கொங்கோ குடியரசு	Kongo-Brazzaville
காங்கோ மக்களாட்சிக் குடியரசு	Kongo-Kinshasa
சான் அந்தோனியோ	San Antonio
சீபூத்தீ	Djibouti
பொலோனியம்	Polonium
பவேரியா	Bayern
எக்குவடோரியல் கினி	Ekvatorialguinea
பாடன்-வுயர்ட்டம்பெர்கு	Baden-Württemberg
எரித்திரியா	Eritrea
புது தில்லி	New Delhi
திருத்தந்தை இரண்டாம் அருள் சின்னப்பர்	Johannes Paulus II
பியோதர் தஸ்தயெவ்ஸ்கி	Fjodor Dostojevskij
கம்சாத்கா தீபகற்பம்	Kamtjatka
திபிலீசி	Tbilisi
குழந்தை	Spädbarn
அசுட்டட்டைன்	Astat
காபோன்	Gabon
மோகன்தாசு கரம்சந்த் காந்தி	Mahatma Gandhi
வரைகதை	Tecknad serie
காம்பியா	Gambia
கினி	Guinea
கினி-பிசாவு	Guinea-Bissau
கோட் டிவார்	Elfenbenskusten
கமரூன்	Kamerun
கேப் வர்டி	Kap Verde
லெசோத்தோ	Lesotho
லைபீரியா	Liberia
லிபியா	Libyen
ஆஃகன்	Aachen
மடகாசுகர்	Madagaskar
மலாவி	Malawi
இசுடுட்கார்ட்	Stuttgart
மூரித்தானியா	Mauretanien
மொரிசியசு	Mauritius
மொரோக்கோ	Marocko
மொசாம்பிக்	Moçambique
நமீபியா	Namibia
நைஜர்	Niger
நைஜீரியா	Nigeria
சார்லஸ் டார்வின்	Charles Darwin
உகாண்டா	Uganda
ருவாண்டா	Rwanda
சிர்க்கோனியம்	Zirkonium
சாவோ டொமே மற்றும் பிரின்சிப்பி	São Tomé och Príncipe
செனிகல்	Senegal
சீசெல்சு	Seychellerna
கரோலஸ் லின்னேயஸ்	Carl von Linné
சியேரா லியோனி	Sierra Leone
சோமாலியா	Somalia
நையோபியம்	Niob
ஜவகர்லால் நேரு	Jawaharlal Nehru
யூலியசு சீசர்	Julius Caesar
சூடான்	Sudan
சுவாசிலாந்து	Swaziland
வானவில்	Regnbåge
மாலிப்டினம்	Molybden
டெக்னீசியம்	Teknetium
வளர்சிதைமாற்றம்	Metabolism
நரேந்திர மோதி	Narendra Modi
நோய் எதிர்ப்பாற்றல் முறைமை	Immunförsvar
குசராத்து	Gujarat
ஒண்டாரியோ ஏரி	Ontariosjön
படிவளர்ச்சிக் கொள்கை	Evolution
ஐக்கிய நாடுகள் அவை	Förenta nationerna
சுப்பீரியர் ஏரி	Övre sjön
டான்டே அலிகியேரி	Dante Alighieri
நிலவியல்	Geologi
அகமதாபாத்	Ahmedabad
புவியியல்	Geografi
இதயம்	Hjärta
மனித மூளை	Hjärna
தோல்	Hud
நிறம்	Färg
பிரேக்கிங் பேட்	Breaking Bad
சலேர்னோ	Salerno
பெயர்ச்சொல்	Substantiv
பிராகா	Prag
ருத்தேனியம்	Rutenium
ரோடியம்	Rodium
நீலம்	Blå
பலேடியம்	Palladium
வெள்ளி (தனிமம்)	Silver
காட்மியம்	Kadmium
இண்டியம்	Indium
வெள்ளீயம்	Tenn
யுரேனியம்	Uran
அந்திமனி	Antimon
தெலூரியம்	Tellur
புளுட்டோனியம்	Plutonium
அயோடின்	Jod
நெப்டியூனியம்	Neptunium
செனான்	Xenon
அனிமே	Anime
சீசியம்	Cesium
புரோடாக்டினியம்	Protaktinium
மின்மம்	Elektrisk laddning
பேரியம்	Barium
தோரியம்	Torium
ஆஃபினியம்	Hafnium
ஆக்டினியம்	Aktinium
டாண்ட்டலம்	Tantal
பில் கிளின்டன்	Bill Clinton
ரேடியம்	Radium
ரேடான்	Radon
இந்திரா காந்தி	Indira Gandhi
மெர்க்குரி (தொன்மவியல்)	Mercurius
ஹெக்டர் பேர்லியோஸ்	Hector Berlioz
ஜாம்நகர்	Jamnagar
மும்பை	Bombay
தடகள விளையாட்டுக் கூட்டமைப்புகளின் பன்னாட்டுச் சங்கம்	International Association of Athletics Federations
ஆந்திரப் பிரதேசம்	Andhra Pradesh
அருணாசலப் பிரதேசம்	Arunachal Pradesh
அசாம்	Assam
பீகார்	Bihar
மிச்சிகன்	Michigan
சத்தீசுகர்	Chhattisgarh
கோவா (மாநிலம்)	Goa
அரியானா	Haryana
இமாச்சலப் பிரதேசம்	Himachal Pradesh
சம்மு காசுமீர்	Jammu och Kashmir
புவேர்ட்டோ ரிக்கோ	Puerto Rico
சார்க்கண்ட்	Jharkhand
கருநாடகம்	Karnataka
கேரளம்	Kerala
மத்தியப் பிரதேசம்	Madhya Pradesh
உசேன் போல்ட்	Usain Bolt
மகாராட்டிரம்	Maharashtra
மணிப்பூர்	Manipur
மேகாலயா	Meghalaya
ஹெஸென்	Hessen
ஜான் லெனன்	John Lennon
இலினொய்	Illinois
வடக்கு டகோட்டா	North Dakota
லோம்பார்டி	Lombardiet
தெற்கு டகோட்டா	South Dakota
மொன்ட்டானா	Montana
வயோமிங்	Wyoming
பியத்மாந்து	Piemonte
எருசலேம்	Jerusalem
ஜார்ஜியோ நபோலிடானோ	Giorgio Napolitano
ஐடஹோ	Idaho
வாஷிங்டன்	Washington (delstat)
இரதர்ஃபோர்டியம்	Rutherfordium
நெவாடா	Nevada
தூப்னியம்	Dubnium
சீபோர்கியம்	Seaborgium
இந்தியப் பெருங்கடல்	Indiska oceanen
கொசோவோ	Kosovo
கரிபியக் கடல்	Karibiska havet
போரியம்	Bohrium
ஆசியம்	Hassium
பான் கி மூன்	Ban Ki-moon
கோபி அன்னான்	Kofi Annan
இலிகுரியா	Ligurien
மெய்ட்னீரியம்	Meitnerium
கொலராடோ	Colorado
எமிலியா-ரோமாஞா	Emilia-Romagna
ஊ தாண்ட்	U Thant
கொலராடோ ஆறு	Coloradofloden
டார்ம்சிட்டாட்டியம்	Darmstadtium
டாக் ஹமாஷெல்ட்	Dag Hammarskjöld
பிரடெரிக் சொப்பின்	Frédéric Chopin
பழப்பாகு	Fruktkonserv
திறிகுவே இலீ	Trygve Lie
இரோயன்ட்கெனியம்	Röntgenium
கோப்பர்நீசியம்	Copernicium
ஆல்ப்ஸ்	Alperna
கிரனோபிள்	Grenoble
பிலைசு பாஸ்கல்	Blaise Pascal
சிகாகோ	Chicago
பீட்டில்ஸ்	The Beatles
உன்னுன்டிரியம்	Ununtrium
பிளெரோவியம்	Flerovium
உன்னுன்பென்டியம்	Ununpentium
லிவர்மோரியம்	Livermorium
உனுன்செப்டியம்	Ununseptium
அனனாக்டியம்	Ununoktium
மாஸ்ட்ரிக்ட்	Maastricht
குளிர்காலம்	Vinter
இளவேனிற்காலம்	Vår
