Āfrika	Afrika
Botānika	Botanik
Lehs Valensa	Lech Wałęsa
Ritenis	Hjul
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Psyke
Miers	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	Europeiska unionen
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
Vispasaules tīmeklis	World Wide Web
Sieviete	Kvinna
Sofija	Sofia
Akvedukts	Akvedukt
Dons Kihots	Don Quijote
Dzeja	Poesi
Datorvīruss	Datorvirus
Černobiļas AES katastrofa	Tjernobylolyckan
Hirosimas un Nagasaki bombardēšana	Atombomberna över Hiroshima och Nagasaki
Milāna	Milano
Draudzība	Vänskap
Atmiņa	Minne
Arturs Rembo	Arthur Rimbaud
Turīna	Turin
Izkārnījumi	Avföring
Anālā atvere	Analöppning
Citrons	Citron
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banan
Emīls Zolā	Émile Zola
Zieds	Blomma
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Marianergraven
Vladimirs Visockis	Vladimir Vysotskij
Everests	Mount Everest
Anatomija	Anatomi
Pilsēta	Stad
Napoleons Bonaparts	Napoleon I
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Fysiologi
Zvaigzne	Stjärna
Vezuvs	Vesuvius
Saule	Solen
Debesis	Himmel
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Ljusår
Ciems	By
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Prins Eugens Waldemarsudde
Okeānija	Oceanien
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Friidrott
Cenzūra	Censur
Saules sistēma	Solsystemet
Baltijas jūra	Östersjön
Trieste	Trieste
Visla	Wisła
Elizejas lauki	Champs-Élysées
Odera	Oder
Zobi	Tänder
Ūdeņradis	Väte
Petija Smita	Patti Smith
Hēlijs	Helium
Elle	Helvete
Vikikrātuve	Wikimedia Commons
Šķīstītava	Skärselden
Angela Merkele	Angela Merkel
Litijs	Litium
Berilijs	Beryllium
Skaļrunis	Högtalare
Grāmata	Bok
Diennakts	Dygn
Austrumtimora	Östtimor
Nakts	Natt
Gads	År
Gadsimts	Sekel
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rhen
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Alla helgons dag
Katovice	Katowice
Melnais caurums	Svart hål
Luišs di Kamoinšs	Luís de Camões
Romas karalis	King of Rome
Cerera	Ceres (dvärgplanet)
Lisabona	Lissabon
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea (dvärgplanet)
Rona	Rhône
Makemake	Makemake (dvärgplanet)
Maikls Blumbergs	Michael Bloomberg
Sekss	Sex (aktivitet)
Erīda (pundurplanēta)	Eris (dvärgplanet)
Dubaija	Dubai
Lionels Mesi	Lionel Messi
Paduja	Padua
Bors	Bor
Nikolajs Koperniks	Nicolaus Copernicus
Versaļa	Versailles
Ogleklis	Kol
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Volga
Slāpeklis	Kväve
Bergamo	Bergamo
Skābeklis	Syre
Milānas @@@u0026Internazionale"	FC Internazionale Milano
Nīls Jangs	Neil Young
Planēta	Planet
Kleopatra	Kleopatra VII av Egypten
Keita Buša	Kate Bush
Mūzika	Musik
Venēcija	Venedig
Naruto	Naruto
Po (upe)	Po
Šarm eš Šeiha	Sharm el-Sheikh
Ņeva	Neva
Termometrs	Termometer
Renna	Rennes
Lille	Lille
Maskava	Moskva
Fluors	Fluor
Itāļu valoda	Italienska
Čivava (suņu šķirne)	Chihuahua (hundras)
Neons	Neon
Čivava	Chihuahua (delstat)
Sanktpēterburga	Sankt Petersburg
Čada	Tchad
Nātrijs	Natrium
Ziemeļi	Norr
Magnijs	Magnesium
Alumīnijs	Aluminium
Jaunzēlande	Nya Zeeland
Dienvidi	Söder
Indija	Indien
Silīcijs	Kisel
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Fosfor
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Järn
Tonga	Tonga
Rietumi	Väster
Alesandro Volta	Alessandro Volta
Sērs	Svavel
Samoa	Samoa
Austrumi	Öster
Zālamana Salas	Salomonöarna
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Klor
Delfta	Delft
Papua-Jaungvineja	Papua Nya Guinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fabel
Dienvidholande	Zuid-Holland
Palau	Palau
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Saga
Ziemeļholande	Noord-Holland
Mikronēzija (valsts)	Mikronesiens federerade stater
Kālijs	Kalium
Lionas @@@u0026Olympique"	Olympique Lyonnais
Zēlande (province)	Zeeland
Kalcijs	Kalcium
Flevolande	Flevoland
Svins	Bly
Māršala Salas	Marshallöarna
Kiribati	Kiribati
Mongolija	Mongoliet
Fidži	Fiji
Skandijs	Skandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titan
Venecuēla	Venezuela
Šahs	Schack
Čingishans	Djingis khan
Vanādijs	Vanadin
Meina	Maine
Hroms	Krom
Mājas zirgs	Häst
Amsterdama	Amsterdam
Ierocis	Vapen
Dzīvnieki	Djur
Surinama	Surinam
Mangāns	Mangan
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Konst
Ekvadora	Ecuador
Rēnijs	Rhenium
Kolumbija	Colombia
Kobalts	Kobolt
Žans Rasins	Jean Racine
Volframs	Volfram
Niķelis	Nickel
Zemenes	Smultronsläktet
Pjērs Korneijs	Pierre Corneille
Budisms	Buddhism
Groningena	Groningen
Bolīvija	Bolivia
Osmijs	Osmium
Groningena (province)	Groningen (provins)
Varš	Koppar
Trinidāda un Tobāgo	Trinidad och Tobago
Pols Verlēns	Paul Verlaine
Augi	Växt
Sentvinsenta un Grenadīnas	Saint Vincent och Grenadinerna
Cinks	Zink
Ņūhempšīra	New Hampshire
Sentlūsija	Saint Lucia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	Saint Kitts och Nevis
Sēnes	Svampar
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Friesland
Masačūsetsa	Massachusetts
Drente	Drenthe
Overeisela	Overijssel
Gvatemala	Guatemala
Gelderlande	Gelderland
Utrehta (province)	Utrecht (provins)
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Tamhöna
Antigva un Barbuda	Antigua och Barbuda
Havajas	Hawaii
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	Dominikanska republiken
Mājas cūka	Gris
Ziemeļu Ledus okeāns	Norra ishavet
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Visdom
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panama
Jemena	Jemen
Lozanna	Lausanne
Vīruss	Virus
Poļu valoda	Polska
Jordānija	Jordanien
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kirgizistan
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Libanon
Oregona	Oregon
Maldīvija	Maldiverna
Amerika	Amerika
Jūta	Utah
Liellops	Nötkreatur
Malaizija	Malaysia
Valē kantons	Valais
Mihails Bulgakovs	Michail Bulgakov
Mjanma	Burma
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Qatar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Saudiarabien
Andrejs Tarkovskis	Andrej Tarkovskij
Šrilanka	Sri Lanka
Josifs Staļins	Josef Stalin
Svītrkods	Streckkod
Sīrija	Syrien
Platons	Platon
Gallijs	Gallium
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tadzjikistan
Pokemoni	Pokémon
Ķīnas Republika	Taiwan
YouTube	Youtube
Germānijs	Germanium
Aristotelis	Aristoteles
Taizeme	Thailand
Vilciens	Tåg
Arsēns	Arsenik
Radio	Radio
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan
Selēns	Selen
Irīdijs	Iridium
Apvienotie Arābu Emirāti	Förenade Arabemiraten
Broms	Brom
Platīns	Platina
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Sydkorea
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Simpsons
Jekaterinburga	Jekaterinburg
Kriptons	Krypton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nizjnij Novgorod
Džons Ronalds Rūels Tolkīns	J.R.R. Tolkien
Samara	Samara
Rubīdijs	Rubidium
Zelts	Guld
Omska	Omsk
Suecas kanāls	Suezkanalen
Kazaņa	Kazan
Zinātnieks	Vetenskapsman
Bangladeša	Bangladesh
Bleach (manga)	Bleach (manga)
Francs Kafka	Franz Kafka
Čeļabinska	Tjeljabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov-na-Donu
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrats	Sokrates
Volgograda	Volgograd
Angola	Angola
Perma	Perm, Ryssland
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunei
Tanzānija	Tanzania
Dzīvsudrabs	Kvicksilver
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filippinerna
Centrālāfrikas Republika	Centralafrikanska republiken
Naruto Udzumaki	Uzumaki Naruto
Tallijs	Tallium
Dienvidpols	Sydpolen
Ziemeļpols	Nordpolen
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	Open Street Map
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Peter I av Brasilien
Narkotikas	Narkotika
Itrijs	Yttrium
Bismuts	Vismut
Dzeltenā krāsa	Gul
Kvantu mehānika	Kvantmekanik
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunisien
Džons Bardīns	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Pekina	Peking
Dienvidsudāna	Sydsudan
Vladivostoka	Vladivostok
Tiva	Tuva
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinews
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Komorerna
Kongo Republika	Kongo-Brazzaville
Alkmāra	Alkmaar
Oba	Ob
Kongo Demokrātiskā Republika	Kongo-Kinshasa
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Djibouti
Mēme	Mem
Polonijs	Polonium
Bavārija	Bayern
Pasaules kauss kalnu slēpošanā	Världscupen i alpin skidåkning
Ekvatoriālā Gvineja	Ekvatorialguinea
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	New Delhi
Jānis Pāvils II	Johannes Paulus II
Fjodors Dostojevskis	Fjodor Dostojevskij
Amersforta	Amersfoort
Kamčatkas pussala	Kamtjatka
Tbilisi	Tbilisi
Andrejs Saharovs	Andrej Sacharov
Zīdainis	Spädbarn
Astats	Astat
Gabona	Gabon
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Tjuktjerhalvön
Komikss	Tecknad serie
Gambija	Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bissau
Kotdivuāra	Elfenbenskusten
Kamerūna	Kamerun
Maribora	Maribor
Kaboverde	Kap Verde
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libyen
Āhene	Aachen
Madagaskara	Madagaskar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauretanien
Poļi	Polacker
Maurīcija	Mauritius
Maroka	Marocko
Mozambika	Moçambique
Namībija	Namibia
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Cirkonijs	Zirkonium
Santome un Prinsipi	São Tomé och Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychellerna
Kārlis Linnejs	Carl von Linné
Sjerraleone	Sierra Leone
Somālija	Somalia
Niobijs	Niob
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Julius Caesar
Sudāna	Sudan
Svazilenda	Swaziland
Varavīksne	Regnbåge
Molibdēns	Molybden
Tehnēcijs	Teknetium
Hamburga	Hamburg
Vielmaiņa	Metabolism
Narēndra Modi	Narendra Modi
Imūnsistēma	Immunförsvar
Gudžarāta	Gujarat
Ontārio ezers	Ontariosjön
Evolūcija	Evolution
Apvienoto Nāciju Organizācija	Förenta nationerna
Augšezers	Övre sjön
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologi
Amdāvāda	Ahmedabad
Ģeogrāfija	Geografi
Sirds	Hjärta
Smadzenes	Hjärna
Āda	Hud
Krāsa	Färg
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Substantiv
Prāga	Prag
Rutēnijs	Rutenium
Rodijs	Rodium
Zilā krāsa	Blå
Pallādijs	Palladium
Sudrabs	Silver
Kadmijs	Kadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburg (Nederländerna)
Indijs	Indium
Limburga (Beļģija)	Limburg (Belgien)
Alva	Tenn
Urāns (elements)	Uran
Antimons	Antimon
Telūrs	Tellur
Ziemeļbrabante	Noord-Brabant
Plutonijs	Plutonium
Jods (elements)	Jod
Neptūnijs	Neptunium
Ksenons	Xenon
Anime	Anime
Cēzijs	Cesium
Protaktīnijs	Protaktinium
Elektriskais lādiņš	Elektrisk laddning
Bārijs	Barium
Rietumflandrija	Västflandern
Austrumflandrija	Östflandern
Torijs	Torium
Antverpenes province	Antwerpen (provins)
Flāmu Brabante	Flamländska Brabant
Hafnijs	Hafnium
Aktīnijs	Aktinium
Valoņu Brabante	Vallonska Brabant
Tantals	Tantal
Bills Klintons	Bill Clinton
Namīras province	Namur (provins)
Luksemburgas province	Luxemburg (vallonsk provins)
Ljēžas province	Liège (provins)
Rādijs	Radium
Eno	Hainaut
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lorraine
Elzasa	Alsace
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercurius
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne
Mumbaja	Bombay
Starptautiskā vieglatlētikas federācija	International Association of Athletics Federations
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Michigansjön
Goa	Goa
Burgundija	Bourgogne
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitaine
Džammu un Kašmīra	Jammu och Kashmir
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklenburg-Vorpommern
Lejassaksija	Niedersachsen
Ziemeļreina-Vestfālene	Nordrhein-Westfalen
Hesene	Hessen
Reinzeme-Pfalca	Rheinland-Pfalz
Zāra (zeme)	Saarland
Saksija	Sachsen
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Thüringen
Saksija-Anhalte	Sachsen-Anhalt
Ziemeļdakota	North Dakota
Brandenburga (zeme)	Brandenburg
Brēmene (federālā zeme)	Bremen (delstat)
Lombardija	Lombardiet
Dienviddakota	South Dakota
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piemonte
Jeruzaleme	Jerusalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Aostadalen
Vašingtona (štats)	Washington (delstat)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordium
Nevada	Nevada
Dona	Don (flod)
Dubnijs	Dubnium
Sīborgijs	Seaborgium
Trentīno-Alto Adidže	Trentino-Alto Adige
Indijas okeāns	Indiska oceanen
Veneto	Veneto
Kosova	Kosovo
Karību jūra	Karibiska havet
Borijs	Bohrium
Friuli-Venēcija Džūlija	Friuli-Venezia Giulia
Hasijs	Hassium
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Ligurien
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnerium
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romagna
U Tans	U Thant
Kolorādo (upe)	Coloradofloden
Darmštatijs	Darmstadtium
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Röntgenium
Toskāna	Toscana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicium
Marke	Marche
Umbrija	Umbrien
Lacio	Lazio
Abruco	Abruzzo
Apenīni	Apenninerna
Alpi	Alperna
Karpati	Karpaterna
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Damspel
Dortmunde	Dortmund
Gente	Gent
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrium
Flerovijs	Flerovium
Ununpentijs	Ununpentium
Livermorijs	Livermorium
Ununseptijs	Ununseptium
Ununoktijs	Ununoktium
Komo (pilsēta)	Como
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Vinter
Pavasaris	Vår
Vasara	Sommar
Rudens	Höst
Ekvinokcija	Dagjämning
Sadams Huseins	Saddam Hussein
Osama bin Ladens	Usama bin Ladin
Spāņu valoda	Spanska
