अफ़्रीका	Afrika
मास्को	Moskva
फ्लोरीन	Fluor
इतालवी भाषा	Italienska
चिहुआहुआ (कुत्ता)	Chihuahua (hundras)
नियोन	Neon
सेंट पीटर्सबर्ग	Sankt Petersburg
चाड	Tchad
सोडियम	Natrium
उत्तर	Norr
मैग्नेशियम तत्त्व	Magnesium
एल्युमिनियम	Aluminium
न्यूज़ीलैण्ड	Nya Zeeland
दक्षिण	Söder
भारत	Indien
सिलिकॉन	Kisel
तुवालू	Tuvalu
फास्फोरस	Fosfor
आन्द्रे मैरी एम्पीयर	André-Marie Ampère
गद्य	Prosa
लोहा	Järn
टोंगा	Tonga
पश्चिम	Väster
वोल्टा	Alessandro Volta
गंधक	Svavel
समोआ	Samoa
पूर्व	Öster
सोलोमन द्वीपसमूह	Salomonöarna
वानूअतु	Vanuatu
मॅलिएर	Molière
क्लोरीन	Klor
पापुआ न्यू गिनी	Papua Nya Guinea
विलियम शेक्सपीयर	William Shakespeare
पलाउ	Palau
आर्गन	Argon
नौरु	Nauru
मोज़िला फायरफॉक्स	Mozilla Firefox
परी कथा	Saga
माइक्रोनेशिया के संघीकृत राज्य	Mikronesiens federerade stater
पोटैशियम	Kalium
ओलिम्पिक ल्यों	Olympique Lyonnais
कैल्शियम	Kalcium
सीसा	Bly
मार्शल द्वीपसमूह	Marshallöarna
किरिबाती	Kiribati
मंगोलिया	Mongoliet
फ़िजी	Fiji
स्काण्डियम	Skandium
टाइटानियम	Titan
वेनेज़ुएला	Venezuela
शतरंज	Schack
चंगेज़ ख़ान	Djingis khan
वनडियम	Vanadin
रुकी ब्लू	Rookie Blue
मेन	Maine
क्रोमियम	Krom
घोड़ा	Häst
ऐम्स्टर्डैम	Amsterdam
शस्त्र	Vapen
प्राणी	Djur
सूरीनाम	Surinam
मैंगनीज़	Mangan
पैराग्वे	Paraguay
गयाना	Guyana
कला	Konst
ईक्वाडोर	Ecuador
कोलम्बिया	Colombia
कोबाल्ट	Kobolt
टंग्स्टन	Volfram
निकल	Nickel
बौद्ध धर्म	Buddhism
बोलिविया	Bolivia
ताम्र	Koppar
त्रिनिदाद और टोबैगो	Trinidad och Tobago
पादप	Växt
सन्त विन्सेण्ट और ग्रेनाडाइन्स	Saint Vincent och Grenadinerna
जस्ता	Zink
नया हेम्पशायर	New Hampshire
सन्त लूसिया	Saint Lucia
लिओनार्दो दा विंची	Leonardo da Vinci
सन्त किट्स और नेविस	Saint Kitts och Nevis
फफूंद	Svampar
डारियो फो	Dario Fo
जमैका	Jamaica
ग्रेनाडा	Grenada
मासेचुसेट्स	Massachusetts
ग्वाटेमाला	Guatemala
गूगल क्रोम	Google Chrome
बहामास	Bahamas
कनेक्टिकट	Connecticut
मुर्गी	Tamhöna
अण्टीगुआ और बारबूडा	Antigua och Barbuda
हवाई	Hawaii
हौण्डुरस	Honduras
डोमिनिका	Dominica
डोमिनिकन गणराज्य	Dominikanska republiken
उत्तरध्रुवीय महासागर	Norra ishavet
हैती	Haiti
अल साल्वाडोर	El Salvador
ईरान	Iran
इराक़	Irak
अलास्का	Alaska
ज्ञान	Visdom
कोस्टा रीका	Costa Rica
इज़राइल	Israel
पनामा	Panama
यमन	Jemen
विषाणु	Virus
पोलिश भाषा	Polska
जॉर्डन	Jordanien
निकारागुआ	Nicaragua
फ़्लोरिडा	Florida
किर्गिज़स्तान	Kirgizistan
एरीजोना	Arizona
कुवैत	Kuwait
लाओस	Laos
लेबनान	Libanon
औरिगन	Oregon
मालदीव	Maldiverna
महाअमेरिका	Amerika
यूटाह	Utah
मलेशिया	Malaysia
वाले कैन्टन	Valais
म्यान्मार	Burma
नेपाल	Nepal
ओमान	Oman
पाकिस्तान	Pakistan
जेम्स बॉण्ड	James Bond
क़तर	Qatar
टेनिस	Tennis
माई एसक्यूल	MySQL
सउदी अरब	Saudiarabien
श्रीलंका	Sri Lanka
जोसेफ स्टालिन	Josef Stalin
बारकूट	Streckkod
सीरिया	Syrien
प्लेटो	Platon
गैलिअम	Gallium
जोसेफ ब्रोड्स्की	Joseph Brodsky
ताजिकिस्तान	Tadzjikistan
पॉकेमॉन	Pokémon
चीनी गणराज्य	Taiwan
यूट्यूब	Youtube
जर्मेनियम	Germanium
अरस्तु	Aristoteles
थाईलैण्ड	Thailand
रेलगाड़ी	Tåg
आर्सेनिक	Arsenik
रेडियो	Radio
मेरिल स्ट्रीप	Meryl Streep
तुर्कमेनिस्तान	Turkmenistan
सेलेनियम	Selen
संयुक्त अरब अमीरात	Förenade Arabemiraten
ब्रोमीन	Brom
प्लैटिनम	Platina
वियतनाम	Vietnam
चार्ली चैप्लिन	Charlie Chaplin
दक्षिण कोरिया	Sydkorea
द सिम्पसन्स	Simpsons
क्रिप्टॉन	Krypton
अफ़ग़ानिस्तान	Afghanistan
गंगनम स्टाइल	Gangnam Style
जे॰आर॰आर॰ टोल्किन	J.R.R. Tolkien
रुबिडियम	Rubidium
सोना	Guld
स्वेज़ नहर	Suezkanalen
काज़ान	Kazan
वैज्ञानिक	Vetenskapsman
बांग्लादेश	Bangladesh
इर्टा एले	Erta Ale
फ्रैंज काफ्का	Franz Kafka
चेल्याबिंस्क	Tjeljabinsk
ऊफ़ा	Ufa
माली	Mali
सुकरात	Sokrates
वोल्गोग्राद	Volgograd
अंगोला	Angola
भूटान	Bhutan
ट्विटर	Twitter
ब्रुनेई	Brunei
तंज़ानिया	Tanzania
पारा	Kvicksilver
रुआल आमुन्सन	Roald Amundsen
हैरी मुलिश	Harry Mulisch
फ़िलीपीन्स	Filippinerna
मध्य अफ़्रीकी गणराज्य	Centralafrikanska republiken
थैलियम	Tallium
दक्षिणी ध्रुव	Sydpolen
उत्तरी ध्रुव	Nordpolen
आइज़क न्यूटन	Isaac Newton
अल्बर्ट आइंस्टीन	Albert Einstein
स्ट्रोन्सियम	Strontium
इत्रियम	Yttrium
पीला	Gul
प्रमात्रा यान्त्रिकी	Kvantmekanik
टोगो	Togo
ट्यूनिशिया	Tunisien
जॉन बर्दीन	John Bardeen
ज़ाम्बिया	Zambia
ज़िम्बाब्वे	Zimbabwe
बीजिंग	Peking
दक्षिण सूडान	Sydsudan
व्लादिवोस्तोक	Vladivostok
तूवा	Tuva
बेनिन	Benin
बोत्सवाना	Botswana
विकिसमाचार	Wikinews
बुर्किना फासो	Burkina Faso
बुरुण्डी	Burundi
कोमोरोस	Komorerna
कांगो गणराज्य	Kongo-Brazzaville
ओब नदी	Ob
कांगो लोकतान्त्रिक गणराज्य	Kongo-Kinshasa
सैन एन्टोनियो	San Antonio
जिबूती	Djibouti
मीम	Mem
बायर्न	Bayern
भूमध्यरेखीय गिनी	Ekvatorialguinea
इरित्रिया	Eritrea
नई दिल्ली	New Delhi
फ़्योद्र दोस्तोयेव्स्की	Fjodor Dostojevskij
कमचातका प्रायद्वीप	Kamtjatka
थ्बिलिसि	Tbilisi
शिशु	Spädbarn
एस्टाटिन	Astat
गबॉन	Gabon
महात्मा गांधी	Mahatma Gandhi
चुकची प्रायद्वीप	Tjuktjerhalvön
कॉमिक्स	Tecknad serie
गाम्बिया	Gambia
गिनी	Guinea
गिनी-बिसाऊ	Guinea-Bissau
कोत द'ईवोआर	Elfenbenskusten
कैमरुन	Kamerun
केप वर्दे	Kap Verde
लेसोथो	Lesotho
लाइबेरिया	Liberia
लीबिया	Libyen
आखन	Aachen
मेडागास्कर	Madagaskar
मलावी	Malawi
श्टुटगार्ट	Stuttgart
मॉरीतानिया	Mauretanien
मॉरिशस	Mauritius
मोरक्को	Marocko
मोज़ाम्बीक	Moçambique
नामीबिया	Namibia
नाइजर	Niger
नाईजीरिया	Nigeria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रवाण्डा	Rwanda
जर्कोनियम	Zirkonium
साओ तोमे और प्रिन्सिपी	São Tomé och Príncipe
कार्ल्सरुहे	Karlsruhe
सेनेगल	Senegal
सेशेल्स	Seychellerna
कार्ल लीनियस	Carl von Linné
सिएरा लियोन	Sierra Leone
सोमालिया	Somalia
नायोबियम	Niob
जवाहरलाल नेहरू	Jawaharlal Nehru
जुलियस सीसर	Julius Caesar
सूडान	Sudan
स्वाज़ीलैण्ड	Swaziland
इन्द्रधनुष	Regnbåge
मोलिब्डेनम	Molybden
टेक्निशियम	Teknetium
हैम्बर्ग	Hamburg
चयापचय	Metabolism
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Immunförsvar
गुजरात	Gujarat
ओण्टारियो झील	Ontariosjön
क्रम-विकास	Evolution
संयुक्त राष्ट्र	Förenta nationerna
सुपीरियर झील	Övre sjön
दांते एलीगियरी	Dante Alighieri
भूविज्ञान	Geologi
अहमदाबाद	Ahmedabad
भूगोल	Geografi
हृदय	Hjärta
मस्तिष्क	Hjärna
त्वचा	Hud
रंग	Färg
संज्ञा	Substantiv
प्राग	Prag
रुथेनियम	Rutenium
रोडियम	Rodium
नीला	Blå
पलाडियम	Palladium
चाँदी	Silver
कैडमियम	Kadmium
स्टार ट्रेक	Star Trek
इण्डियम	Indium
टिन	Tenn
एन्टिमोनी	Antimon
टेलुरियम	Tellur
प्लूटोनियम	Plutonium
आयोडिन	Jod
नेप्टूनियम	Neptunium
ज़ेनान	Xenon
ऐनिमे	Anime
सीज़ियम	Cesium
प्रोटैक्टीनियम	Protaktinium
विद्युत आवेश	Elektrisk laddning
बेरियम	Barium
थोरियम	Torium
एजातु	Aktinium
टैंटेलम	Tantal
विलियम क्लिंटन	Bill Clinton
तेजातु	Radium
तैजसाति	Radon
इन्दिरा गांधी	Indira Gandhi
मरक्युरी	Mercurius
आवर्न	Auvergne
जामनगर	Jamnagar
मुम्बई	Bombay
आन्ध्र प्रदेश	Andhra Pradesh
अरुणाचल प्रदेश	Arunachal Pradesh
असम	Assam
बिहार	Bihar
मिशिगन	Michigan
छत्तीसगढ़	Chhattisgarh
मिशिगन झील	Michigansjön
गोवा	Goa
बरगंडी	Bourgogne
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
ऐक्विटेन	Aquitaine
जम्मू और कश्मीर	Jammu och Kashmir
पोर्टो रीको	Puerto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
केरल	Kerala
मध्य प्रदेश	Madhya Pradesh
उसैन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
मेक्लेनबर्ग-वोर्पोमेर्न	Mecklenburg-Vorpommern
निचला सैक्सोनी	Niedersachsen
उत्तरी राइन	Nordrhein-Westfalen
हेसे	Hessen
राइनलैन्ड	Rheinland-Pfalz
सारलैंड	Saarland
सैक्सोनी	Sachsen
इलिनॉय	Illinois
ठुरुंगिया	Thüringen
सैक्सोनी-एन्हाल्ट	Sachsen-Anhalt
उत्तर डेकोटा	North Dakota
ब्रैंडेनबर्ग	Brandenburg
ब्रेमेन (राज्य)	Bremen (delstat)
दक्षिण डकोटा	South Dakota
मोन्टाना	Montana
वायोमिंग	Wyoming
यरुशलम	Jerusalem
आयडाहो	Idaho
आओस्ता घाटी	Aostadalen
वॉशिंगटन राज्य	Washington (delstat)
ब्रूस स्प्रिंगस्टीन	Bruce Springsteen
रदरफोर्डियम	Rutherfordium
नेवाडा	Nevada
दोन नदी	Don (flod)
सीबोर्गियम	Seaborgium
हिन्द महासागर	Indiska oceanen
कोसोवो गणराज्य	Kosovo
कैरेबियाई सागर	Karibiska havet
बोरियम	Bohrium
हैशियम	Hassium
बान की मून	Ban Ki-moon
कोफ़ी अन्नान	Kofi Annan
लिगुरिया	Ligurien
बुतरस घाली	Boutros Boutros-Ghali
मेइट्नेरियम	Meitnerium
ज़ेवियर पेरिज डी कुईयार	Javier Pérez de Cuéllar
कुर्त वॉल्डहाइम	Kurt Waldheim
कॉलराडो	Colorado
एमीलिया-रोमाञा	Emilia-Romagna
यू॰ थांट	U Thant
कोलोरेडो नदी	Coloradofloden
डैग हैमरस्क्जोंल्ड	Dag Hammarskjöld
मुरब्बा	Fruktkonserv
ट्रीगवी ली	Trygve Lie
श्रेणी:समग्र विषय	Kategori:Topp
लात्सियो	Lazio
आब्रुत्सो	Abruzzo
ऐल्प्स	Alperna
कारपैथी पर्वत	Karpaterna
ग्रेनोब्ल	Grenoble
ब्लेज़ पास्कल	Blaise Pascal
खेंट	Gent
शिकागो	Chicago
द बीटल्स	The Beatles
शीत ऋतु	Vinter
वसंत	Vår
ग्रीष्म ऋतु	Sommar
पतझड़	Höst
विषुव	Dagjämning
सद्दाम हुसैन	Saddam Hussein
ओसामा बिन लादेन	Usama bin Ladin
स्पेनिश भाषा	Spanska
मोण्टेवीडियो	Montevideo
योहान सेबास्तियन बाख़	Johann Sebastian Bach
पिट्सबर्ग, पेन्सिलवेनिया	Pittsburgh
ओपेरा (गीतिनाटक)	Opera
फिलाडेल्फिया	Philadelphia
कोलकाता	Calcutta
चेन्नई	Chennai
दिल्ली	Delhi
ढाका	Dhaka
बंगलौर	Bangalore
पश्चिम बंगाल	Västbengalen
मकड़ी	Spindlar
सन्धिपाद	Leddjur
हैदराबाद, भारत	Hyderabad
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल	Frukt
वर्जीनिया	Virginia
पश्चिमी वर्जीनिया	West Virginia
ह्यूरॉन झील	Huronsjön
न्यूयॉर्क	New York (delstat)
सीरियम	Cerium
प्रासियोडाइमियम	Praseodym
रोड आइलैंड	Rhode Island
नियोडाइमियम	Neodym
कीट	Insekter
मेरिलैंड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Vladimir Lenin
युरोपियम	Europium
ओहायो	Ohio
वर्जिल	Vergilius
निकोलो मैकियावेली	Niccolò Machiavelli
पेन्सिलवेनिया	Pennsylvania
लुइगि पिरण्डेलो	Luigi Pirandello
ऊएतेर्सेन्	Uetersen
आगस्टस कैसर	Augustus
माइक्रोसॉफ्ट विंडोज़	Microsoft Windows
टैबीरियस	Tiberius
न्यू जर्सी	New Jersey
जिब्राल्टर	Gibraltar
फिनिश भाषा	Finska
नीरो	Nero
इंडियाना	Indiana
नोकिया	Nokia
वैस्पाज़िअन्	Vespasianus
मोटरवाहन	Bil
जुवेंटस एफ सी	Juventus FC
त्राजान	Trajanus
रोजर फ़ेडरर	Roger Federer
जॉर्जिया (अमरीकी राज्य)	Georgia
केडीई	KDE
राजस्थान	Rajasthan
कांपानिया	Kampanien
टेक्सस	Texas
तमिल नाडु	Tamil Nadu
पुलिया	Apulien
जेनोआ	Genua
ब्रूनो मार्स	Bruno Mars
माउण्टपिनाटुबो	Pinatubo
बाज़िलीकाता	Basilicata
उत्तरी केरोलिना	North Carolina
मैदानी हॉकी	Landhockey
दक्षिणी केरोलाइना	South Carolina
यू.सी. साँपडोरिया	UC Sampdoria
कालाब्रिया	Kalabrien
सिसिली	Sicilien
मनीला	Manila
सारडीनिया	Sardinien
लोवा नदी	Loire
बोर्दो	Bordeaux
ब्यूनस आयर्स	Buenos Aires
मेक्सिको नगर	Mexico City
टोक्यो	Tokyo prefektur
ला पास	La Paz
बार्सिलोना	Barcelona
अनानास	Ananas
मिसिसिप्पी	Mississippi
फ़र्दिनान्द मैगलन	Ferdinand Magellan
मिसिसिप्पी नदी	Mississippifloden
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
होसे रिसाल	José Rizal
तरण ताल	Bassäng
मिज़ोरम	Mizoram
सिक्किम	Sikkim
टेनेसी	Tennessee
रिशार्द वाग्नर	Richard Wagner
नागपुर	Nagpur
अबू धाबी	Abu Dhabi
अस्ताना	Astana
नया मेक्सिको	New Mexico
रामेसेस द्वितीय	Ramses II
एथेंस	Aten
रामेसेस प्रथम	Ramses I
मिनेसोटा	Minnesota
बग़दाद	Bagdad
काराकास	Caracas
समन्वित सार्वत्रिक समय	Koordinerad universell tid
विस्कॉन्सिन	Wisconsin
पुणे	Pune
सिसरो	Cicero
एसी मिलान	AC Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
ग्वाटेमाला नगर	Guatemala City
केन्सास	Kansas
हवाना	Havanna
तम्बाकू	Tobak
हिन्दी	Hindi
