افريقا	Afrika
د منځنی افريقا ولسمشريزه	Centralafrikanska republiken
آيزاک نيوټن	Isaac Newton
آلبرټ آينشټاين	Albert Einstein
تونس	Tunisien
زېمبيا	Zambia
زېمبابوې	Zimbabwe
بېجنگ	Peking
سوېلي سوډان	Sydsudan
بېنين	Benin
بوتسوانا	Botswana
بورکینا فاسو	Burkina Faso
بروندي	Burundi
کانگو جمهوريت	Kongo-Brazzaville
جېبوتي	Djibouti
پولونيم	Polonium
باډن ورټمبرگ	Baden-Württemberg
اریتره	Eritrea
فيودور ميخايلوويچ داستاېفسکي	Fjodor Dostojevskij
گابن	Gabon
مهاتما گاندي	Mahatma Gandhi
گامبيا	Gambia
عاج ساحل	Elfenbenskusten
کامرون	Kamerun
لايبېريا	Liberia
لېبيا	Libyen
مادغاسکر	Madagaskar
مالاوي	Malawi
موریتانيا	Mauretanien
ماوریتوس	Mauritius
مراکش	Marocko
موزمبيق	Moçambique
نېمبیا	Namibia
نایجېر	Niger
نايجېريا	Nigeria
راونډا	Rwanda
سېنېگال	Senegal
سیشل	Seychellerna
سېرالیون	Sierra Leone
سومالیا	Somalia
سوډان	Sudan
سوازيلانډ	Swaziland
شنه زرغونه	Regnbåge
استقلاب	Metabolism
ملگري ملتونه	Förenta nationerna
دانتې الیگيري	Dante Alighieri
ځمکپېژندنه	Geologi
ځمکپوهنه	Geografi
زړه	Hjärta
ماغزه	Hjärna
پراگ	Prag
شين	Blå
سپين زر	Silver
يورانيم	Uran
پلوتونيم	Plutonium
ممبای	Bombay
گوا	Goa
مهاراشترا	Maharashtra
زارلاند	Saarland
براندنبورگ	Brandenburg
برېمن (ايالت)	Bremen (delstat)
بيت المقدس	Jerusalem
هندي سمندر	Indiska oceanen
کلراډو	Colorado
ژمی	Vinter
پسرلی	Vår
دوبی	Sommar
منی	Höst
اسامه بن لادن	Usama bin Ladin
اوپرا	Opera
کلکته	Calcutta
ډېلي	Delhi
بند پایان	Leddjur
اسلام آباد	Islamabad
پيسې	Pengar
خوځندکې	Insekter
ولادمير ايليچ لېنين	Vladimir Lenin
نېكولو مكياوېلې	Niccolò Machiavelli
مايکروسافټ وېنډوز	Microsoft Windows
مانيلا	Manila
توکيو	Tokyo prefektur
استانه	Astana
بغداد	Bagdad
هندي ژبه	Hindi
اوردو ژبه	Urdu
واليبال	Volleyboll
وين	Wien
ډبلن	Dublin
بوډاپسټ	Budapest
د مسيح حقيقي کليسا	The True Jesus Church
انگرېزي ژبه	Engelska
بانگکوک	Bangkok
کوالالامپور	Kuala Lumpur
ديپلوماسي	Diplomati
کيېف	Kiev
كونسكوولا	Końskowola
2012	2012
2013	2013
خواړه	Mat
اېلېکټرون	Elektron
رغاويز اوښتون	Industriella revolutionen
د روم ټولواکمني	Romerska kejsardömet
مايکروسافټ	Microsoft
پروټون	Proton
کوروف	Kurów
کيميا	Kemi
نيوټرون	Neutron
صنعا	Sanaa
آرنولد شوارزنېگر	Arnold Schwarzenegger
فوټبال	Fotboll
آيفون	Iphone
مايکل جېکسن	Michael Jackson
انتوان دي سينت اکسيوپيري	Antoine de Saint-Exupéry
سور	Röd
هوا	Jordens atmosfär
پېرى	Djinn
ربات	Rabat
الجزيره	Alger, Algeriet
ترابلس	Tripoli
تهران	Teheran
جکارتا	Jakarta
انقره	Ankara
رياض	Riyadh
فوټ	Fot (enhet)
وېشنيزه:د ويکيپېډيا کينډۍ	Kategori:Mallar
د مشق	Damaskus
لوم	Lomé
دوها	Doha
دودوما	Dodoma
ښوونځی	Skola
پوهنتون	Universitet
د پوهنغونډ په اړه	Wikipedia:Välkommen till Wikipedia
آسټراليا (لويه وچه)	Australien (kontinent)
ورونپاسی	Bärbar dator
الجبر	Algebra
دونگ هوی هوايي ډگر	Dong Hoi flygplats
آر دړه	Moderkort
كوريتيبا	Curitiba
پنجاب (پاکستان)	Punjab (Pakistan)
وېشنيزه:د افغانستان پېښليک	Kategori:Afghanistans historia
توماس شېن کانېري	Sean Connery
كنفيوشيوس	Konfucius
کوربن بليو	Corbin Bleu
وېشنيزه:شمېرپوهنه	Kategori:Matematik
کينډۍ:د هېواد مالومات ایران	Mall:Landsdata Iran
وېشنيزه:د ایران تاریخ	Kategori:Irans historia
امريکايي ډالر	Amerikansk dollar
عيسويت	Kristendom
لويه وچه	Världsdelar och kontinenter
مرغه	Fåglar
پلازمېنه	Huvudstad
کينډۍ:اسلام	Mall:Islam
مياشت (موده)	Månad
مصطفی کمال اتاتورک	Mustafa Kemal Atatürk
کينډۍ:تانبه	Mall:Portal
هوانگ شيان فان	Huang Xianfan
د فلسفې ليکلړ	Lista över filosofiska ismer
بقراط	Hippokrates
الماس	Diamant
پوهنغونډ	Uppslagsverk
RAM	Random Access Memory
لومړی مخ	Portal:Huvudsida
کانډنسر	Kondensator
باسکټبال	Basket
کرېکټ	Cricket
اوراسيا	Eurasien
د هېتیانو واکمنۍ	Hettiter
وينه لږی	Anemi
کېپ ټاون	Kapstaden
قراقرم	Karakoram
هندوکش	Hindukush
ميترو	Tunnelbana
کنځری	Oxbärssläktet
پيکاسو	Pablo Picasso
بس	Buss
ټرام	Spårväg
بابل	Babylon
آنتون پاولوف چيخوف	Anton Tjechov
چارلېز ډيکېنز	Charles Dickens
سپارتا	Sparta
موينجو دېړو	Mohenjo-daro
سمرقند	Samarkand
بخارا	Buchara
چې گوارا	Che Guevara
کابل	Kabul
گوېټه	Johann Wolfgang von Goethe
مهبل	Slida
فلسفه	Filosofi
چای	Te
کمونيزم	Kommunism
انارشيزم	Anarkism
پانگولي	Kapitalism
لېبراليزم	Liberalism
فاشېزم	Fascism
ولسپالنه	Nationalism
حافظ شېرازي	Hafez
هېوادپالنه	Patriotism
هیواد	Land
ولس	Nation
هيلري کلنټن	Hillary Clinton
د برتانيې موزيم	British Museum
ژان ژاک روسو	Jean-Jacques Rousseau
هومر	Homeros
الكساندر هومبولدت	Alexander von Humboldt
کوارک	Kvark
اېډوارډ ټېللر	Edward Teller
اتيزم	Ateism
نيلز بوهر	Niels Bohr
ژونکيميا	Biokemi
ژونپنځپوهنه	Biofysik
چاپېريالپوهنه	Ekologi
بارسلونا فوټبال کلب	FC Barcelona
واگ	Politik
ووبپوهنه	Histologi
عربي ټولنه	Arabförbundet
ولسواکي	Demokrati
نجيب محفوظ	Naguib Mahfouz
د سره صليب او سرې مياشتې نړيوال غورځنگ	Röda Korset
نړيوالتوب	Globalisering
ناټو	Nato
جين	Gen
حکومت	Regering
نوبل جايزه	Nobelpriset
چېن شي هوانگ	Qin Shi Huangdi
منځنی ختيځ	Mellanöstern
رنځپوهنه	Patologi
رابندرانات ټاگور	Rabindranath Tagore
لېو نيكولايوويچ تولستوى	Lev Tolstoj
مارک ټوېن	Mark Twain
ايډيالوژي	Ideologi
ادا لولېس	Ada Lovelace
مارکسيزم	Marxism
ولسمشريزه	Republik
دولت	Stat
گوند	Politiskt parti
بډمنټن	Badminton
يوري الکسويچ گاگارين	Jurij Gagarin
ابن بطوطه	Ibn Battuta
اباسين (سيند)	Indus
فرانز جوزیف هایدن	Joseph Haydn
غوږ	Öra
سترگه	Öga
سندره	Sång
اوښ	Kameler
تی لرونکی ځناوران	Däggdjur
مېږی	Myror
مارگريت تاچر	Margaret Thatcher
ډي آکسي رايبونيوکليک اسيد	DNA
ژباړه	Översättning
ښامار	Drake
مور	Moder
پلار	Fader
لېږدچارې	Transport
روسي ژبه	Ryska
ولادمير پوتين	Vladimir Putin
حقوق	Juridik
اساسي قانون	Grundlag
د بشري حقونو نړېواله اعلاميه	FN:s deklaration om de mänskliga rättigheterna
د روغتيا نړيوال سازمان	Världshälsoorganisationen
د سوداگرۍ نړيوال سازمان	Världshandelsorganisationen
پرېولنځی	Toalett
طبيعت	Natur
سادرملنه	Psykiatri
ژونکه	Cell
وينه	Blod
هډوانه	Skelett
سږي	Lunga
ساييز غونډال	Respirationssystemet
رومانيايي ژبه	Rumänska
بلغاريايي ژبه	Bulgariska
ښوونپوهنه	Didaktik
روزنپوهنه	Pedagogik
يمال	Lavin
رېږدله	Jordbävning
طبيعي پوهنې	Naturvetenskap
ابن سينا بلخي	Avicenna
وېنسټون چرچل	Winston Churchill
نېلسن مانډېلا	Nelson Mandela
انزايم	Enzym
امينو اسيد	Aminosyror
ورېځ	Moln
سولپوهنه	Logik
مېچپوهنه	Geometri
وټپوهنه	Nationalekonomi
پانگه (وټپوهنه)	Kapital
ارز	Valuta
رغاوه	Industri
ورکړېنه	Skatt
ژبپوهنه	Språkvetenskap
يوناني ابېڅې	Grekiska alfabetet
ادبپوهنه	Litteratur
وېشنيزه:فرانسه	Kategori:Frankrike
ناول	Roman
سره گيدړه	Rödräv
اوستراوا	Ostrava
کوروش ۲	Kyros II
ټولنه	Samhälle (sociologi)
تمدن	Civilisation
زده کړه	Bildning
هوگو چاوېز	Hugo Chávez
واده	Äktenskap
وگړنيز حقوق	Mänskliga rättigheter
توکمپالنه	Rasism
گوډ تېمور	Timur Lenk
عمر بن خطاب	Umar ibn al-Khattab
پوځ	Militär
سلیمان ۱	Süleyman I
قهوه	Kaffe
د آمو سيند	Amu-Darja
شيدې	Mjölk
غر	Berg
هري رود	Hari Rud
توكبنسټ	Databas
صلاح الدين ايوبي	Saladin
اشوک	Ashoka
جلال الدين محمد اکبر	Akbar den store
هانگ کانگ	Hongkong
کراچۍ	Karachi
د ريال مادريد فوټبال کلب	Real Madrid
سيول	Seoul
شانگهای	Shanghai
د ماد واکمني	Medien
اقليدس	Euklides
بايټ	Byte
محمد بن موسی خوارزمي	Muhammad ibn Musa al-Khwarizmi
ناروېژي ژبه	Norska
نوم چومسكي	Noam Chomsky
چيکی ژبه	Tjeckiska
کارل مارکس	Karl Marx
موسی	Mose
پوهه	Kunskap
هندويزم	Hinduism
اټوم	Atom
يوناني ژبه	Grekiska
چليز غونډال	Operativsystem
تاج محل	Taj Mahal
بنسټپالنه	Fundamentalism
برېښليک	E-post
پاړسي ژبه	Persiska
مذهب	Religion
اېمپاير سټېټ ودانۍ	Empire State Building
سېگمونډ فرايډ	Sigmund Freud
جاينيزم	Jainism
گيورگ ويلهېلم فرېدرېش هېگل	Friedrich Hegel
باکو	Baku
تاجکي ژبه	Tadzjikiska
اوزبکي ژبه	Uzbekiska
تورکمني ژبه	Turkmeniska
يهوديت	Judendom
آزربايجاني ژبه	Azerbajdzjanska
ابن خلدون	Ibn Khaldun
امانوېل کانت	Immanuel Kant
سکيزم	Sikhism
فرېدرېک وېلهېلم نېتشي	Friedrich Nietzsche
بشکیک	Bisjkek
دوشنبه	Dusjanbe
اينه	Lever
پښتورگی	Njure
ادم سمېت	Adam Smith
احساس	Känsla
ساپوهنه	Psykologi
آند	Tänkande
مهاوېرا	Mahavira
سمندر	Ocean
ملکه وېکټوريا	Viktoria av Storbritannien
محمد	Muhammed
اخلاق	Etik
پوهنپوهنه	Epistemologi
سچين رمېش ټنډولکر	Sachin Tendulkar
عبدالکلام	Abdul Kalam
بي بي سي	BBC
شاهرخ خان	Shahrukh Khan
سلمان خان	Salman Khan
محمد الغزالي	Mohammad Ghazali
عامر خان	Aamir Khan
اميتاببچن	Amitabh Bachchan
شيعه	Shia
گېډه	Buken
زرتشتيت	Zoroastrism
تصوف	Sufism
ژبه (اناتومي)	Tunga
پانکراس	Bukspottkörtel
غاړه	Hals
کمزوره شوي یورانیم	Utarmat uran
هولي	Holi
زړه پوهنه	Kardiologi
ډېوېډ بکهم	David Beckham
کيم جونگ ايل	Kim Jong Il
وېشنيزه:وېنزوېلا	Kategori:Venezuela
روبېرت موگابي	Robert Mugabe
خاپوړن	Kräldjur
کوتره	Duvor
باکټريا	Bakterier
ونه	Träd
دوه ژوندوي	Groddjur
اوښتون	Revolution
انگور	Druva
گبين	Honung
کچالو	Potatis
سابه	Grönsaker
ټکنالوجي	Teknologi
انجينري	Ingenjörsvetenskap
خبريالي	Journalistik
ورځپاڼه	Tidning
غږلېږدی	Telefon
هڅوب	Kultur
سانسکریت ژبه	Sanskrit
د زړه او رگونو غونډال	Hjärt- och kärlsystemet
د پارکېنسون ناروغي	Parkinsons sjukdom
گارډيان	The Guardian
انډيپېنډنټ	The Independent
درملگري	Medicinsk vetenskap
مقننه قوه	Lagstiftande församling
مالگه	Salt
مايکروسافټ آفېس	Microsoft Office
وېشنيزه:رومانیا	Kategori:Rumänien
کيمياوي توکی	Grundämne
ابن باجه	Ibn Badjdja
هورمون	Hormon
اپارتايد	Apartheid
لوبه	Spel
جودو	Judo
مقناطيس	Magnet
فلم	Film
ساهيالي	Animering
کرنه	Jordbruk
غږ	Ljud
نانو تکنالوژي	Nanoteknik
ښيښه	Glas
وخت	Tid
ليکپاڼه	Papper
کازمېکي وړانگې	Kosmiska partiklar
جوار	Majs
انځورکښنه	Målarkonst
تشیالیونی	Astronaut
انځوراخيستنه	Fotografi
برېښنايي ټېکنالوژي	Elektronik
فريکونسي	Frekvens
خوړنځی	Restaurang
د لودیانو ټولواکمني	Lodhi
لاهور	Lahore
د خپلواکو هېوادونو لړليک	Lista över självständiga stater
ابوريحان بيروني	Biruni
څېړۍ	Eksläktet
سرطان	Cancer
کولرا	Kolera
غنم	Vetesläktet
ناروغي	Sjukdom
گرېگوري کليز	Gregorianska kalendern
نیکوتین	Nikotin
روغتيا	Hälsa
ملاريا	Malaria
انټيبايوټيک	Antibiotikum
پنسلين	Penicillin
نېمونيا	Lunginflammation
گوزڼ	Polio
اېډز	Aids
نری رنځ	Tuberkulos
ډايبېټېز مېلېټوز	Diabetes
صليبي جگړې	Korståg
منځنۍ پېړۍ	Medeltiden
عثماني پېر	Osmanska riket
د کورنيو توليداتو ټوليز ارزښت	Bruttonationalprodukt
برېښنا	Elektricitet
یان آموس کمېنسکي	Johan Amos Comenius
اټومي برېښناکوټ	Kärnenergi
د بړاس ماشين	Ångmaskin
توره (وسله)	Svärd
هستوي وسلې	Kärnvapen
شوبله	Stridsvagn
هرمان ون رومپوې	Herman Van Rompuy
تورتوت	Björnbär
ناريال	Kokospalm
انار	Granatäpple
مالټه	Apelsin
A New Etymological Vocabulary of Pashto	Kiwi
گراڅ	Graz
ډېبټ کارډ	Kontokort
انجلينا جولي	Angelina Jolie
عربي ژبه	Arabiska
کانډوم	Kondom
تيرانوسور	Tyrannosaurus
تریسراتوپس	Triceratops
ستگوسور	Stegosaurus
کارکارودونتوسور	Carcharodontosaurus
وچکښ	Blyertspenna
برنو	Brno
هوجينتاو	Hu Jintao
د شوروي سوسياليستي جمهوريتونو اتحاد	Sovjetunionen
انځورۍ	Kamera
اېچ آی وي	HIV
يومکی	Skulderblad
ځاني سولگر	Persondator
بروس لي	Bruce Lee
هايپوتايرايډيزم	Hypotyreos
نړۍ	Världen
د روم جمهوريت	Romerska republiken
ټریلوبیټ	Trilobiter
گردکه	Cirkel
گرځنده غږلېږدی	Mobiltelefoni
اوښمرغه	Struts
بغ	Hägrar
پيونگيانگ	Pyongyang
د لور موندنې نړيوال غونډال	Global Positioning System
د هېوادونو لړليک د کورنيو توليداتو د ټوليز ارزښت له مخې	Lista över länder efter BNP
جگتورن	Kapten
سمندري غڼې	Havsspindlar
لړم	Skorpioner
ما اينگ جيو	Ma Ying-jeou
سمندري لړمان	Havsskorpioner
انټرنټ لټوونکی ماشين	Söktjänst
بخارست	Bukarest
لوور	Louvren
تیرانا	Tirana
ويکټوريا بېکهم	Victoria Beckham
درېڅنډی	Triangel
سټيف جوبز	Steve Jobs
معمر القذافي	Muammar al-Gaddafi
پړانگ	Tiger
لومړی خوان کارلوس	Juan Carlos I av Spanien
مېچې	Vermicelli
لمسنالۍ	Styrplatta
سامسونگ	Samsung
سولگرپوهنه	Datavetenskap
ټولنپوهنه	Sociologi
گاگره	Betong
جغرافي کوراډينېټونو سيستم	Geografiska koordinatsystem
پڼې	Sko
بهايي	Bahá'í
بانک	Bank
د وينا ازادي	Yttrandefrihet
اډېل	Adele (sångare)
د نش ميزان	Nash-jämvikt
هوږه	Vitlök
وگړپوهنه	Antropologi
بادرنگ	Gurka
ارنېست مېلر هېمېنگوې	Ernest Hemingway
عشق آباد	Asjchabad
ټاپو	Ö (landområde)
تور (رنگ)	Svart
پياز	Lök (art)
رسمي ژبه	Officiellt språk
لرغونپوهنه	Arkeologi
بالکان	Balkanhalvön
سلاوي ژبې	Slaviska språk
سر	Huvud
ولسي لاره	Nationalsång
تماسي عدسيه	Kontaktlins
الفرېډ نوبل	Alfred Nobel
ږمنځ	Kam
لیلا داونز	Lila Downs
موسم	Årstid
ډبرين سکاره	Kol (bränsle)
يارمخچۍ	Korttålärka
نينورشک	Nynorska
بوکمول	Bokmål
کونگ	Ugglor
شمزۍ لرونکي ژوي	Ryggradsdjur
نړېوال تشيال تمځای	Internationella rymdstationen
کجوره	Dadelpalm
څټک	Hammare (handverktyg)
اروپايي کاغۍ	Skata
چابکۍ	Kackerlackor
كوچنى شاهزاده	Lille prinsen
شمالي باز	Duvhök
غضروفی کبان	Broskfiskar
ځنگلي سار	Ormvråk
سيلاني کارغه	Råka
لويديځي کاغۍ	Kaja
شودپۍ	Sädesärla
اېشېريکيا کولي	Escherichia coli
توتکۍ	Ladusvala
گنگو	Saffran
ترکاڼک	Hackspettar
شامتوره	Stare
کوشانيان	Kushan
کومکۍ	Ringduva
جوک	Hämpling
آتروپين	Atropin
شين شارک	Blåhaj
اورني سمندر	Eldsalamander
سپوږمکۍ	Satellit
شينغاړی	Blåhake
تورياڼۍ	Seglare
لونگ	Kryddnejlika
زيره	Kummin
وژونکی نهنگ	Späckhuggare
سپېرکونده	Tofslärka
منځنۍ آسيا	Centralasien
شمالي افريقا	Nordafrika
مرکزي افريقا	Centralafrika
ختيځه اروپا	Östeuropa
لوېديځه اروپا	Västeuropa
افريقايي اوراسيا	Afrika-Eurasien
د فلسفې تاريخ	Filosofins historia
زي نړیواله جگړه (فلم)	World War Z (film)
مړز	Vaktel
مروری	Kamomill
کمول (مارغه)	Storkar
اوبدانه	Textil
توکي	Varor
سپوږميز ليږديز کليز	Muslimska kalendern
ميلوش زېمان	Miloš Zeman
اېف-۱۵	McDonnell Douglas F-15 Eagle
ليوکېمي	Leukemi
پارسیمن	Persimon
ديموکراتيک گوند ( د امريکا متحده ایالتونه)	Demokratiska partiet
ټيکاله	Lärkor
شاتو مچی	Honungsbi
خاورين چينجی	Stor daggmask
ولسمشر	President
باشه	Pilgrimsfalk
رودولف کلاوزيوس	Rudolf Clausius
تورغوږی	Ökenlo
ډېل	Dell
زايلومېټازولين	Xylometazolin
شمېرنی	Miniräknare
امير عبدالرحمان خان	Abd ar-Rahman (1845–1901)
ټکټکی	Göktytor
د عربستان ټاپووزمه	Arabiska halvön
امير دوست محمد خان	Dost Muhammed
بېریف بې-۲۰۰	Beriev Be-200
وری	Väduren (stjärntecken)
جېهلم ولسوالۍ	Jhelum (distrikt)
ملاله يوسفزۍ	Malala Yousafzai
جومات	Moské
بلوڅی ژبه	Baluchiska
د کتاب نړيواله کره شمېره	ISBN
د مغولو پاچايي	Mogulriket
گړدود	Dialekt
ایرانی ژبی	Iranska språk
لاس	Hand
خلکو شمېر	Befolkning
پاڼه	Blad
لوبگر	Skådespelare
هاليووډ	Hollywood
محمد حسنی مبارک	Hosni Mubarak
دينپوهنه	Teologi
پابلو نرودا	Pablo Neruda
زیوس	Zeus
موساد	Mossad
یغنابی ژبه	Yaghnobi
انجيل	Evangelium (bok)
الېکسانډر گراهام بېل	Alexander Graham Bell
ستورپېژندنه	Astrologi
ساز	Musikinstrument
ويټني هيوسټن	Whitney Houston
سابون	Tvål
موشوفتسی	Mošovce
شکيرا	Shakira
محمود احمدي نژاد	Mahmoud Ahmadinejad
كېښكلى ټيكلى (CD)	CD
چورلکه	Helikopter
القاعده	Al-Qaida
محمد فاتح	Mehmet II
اناستاسيا	Anastacia
فرات	Eufrat
البېرټ کامو	Albert Camus
د فارس خليج	Persiska viken
قطب نما	Kompass
ټولنيزې پوهنې	Samhällsvetenskap
ټاپووزمه	Halvö
نوی کال	Nyår
اېف-۱۴	Grumman F-14 Tomcat
ويټامين	Vitamin
تورات	Torah
متل	Ordspråk
هينداره	Spegel
لرغونې پاړسي	Fornpersiska
عربان	Araber
براډ پېت	Brad Pitt
کړکۍ	Fönster
اکدي ژبه	Akkadiska
څارندوی	Polis
ولسي جرگه	Parlament
اوساکا	Osaka
د کېمبرېج پوهنتون	Universitetet i Cambridge
اجرايي قوه	Verkställande makt
تعمید غسل	Dop
ډډون	Inflation
سابندي	Astma
عمر خيام	Omar Khayyam
وله	Videsläktet
محمد علي کلي	Muhammad Ali
خاوره	Jord
اينځر	Fikon
ليکوال	Skribent
