非洲	Afrika
分类:国家模板	Kategori:Mallar med anknytning till länder
内罗毕	Nairobi
分类:地理模板	Kategori:Geografimallar
学堂	Skola
大学	Universitet
Wikipedia:沙盘	Wikipedia:Sandlådan
屋	Hus
卡尔梅克共和国	Kalmuckien
地图	Karta
奥萨斯库	Osasco
弗杭歇维嘞（学纳）	Francheville, Rhône
同海机场	Dong Hoi flygplats
世界言话排名	Lista över världens största språk efter antal talare
分类:日本历史	Kategori:Japans historia
孔子	Konfucius
分类:数学	Kategori:Matematik
法罗群岛	Färöarna
分类:印度历史	Kategori:Indiens historia
分类:泰国历史	Kategori:Thailands historia
巴厘岛	Bali
分类:缅甸历史	Kategori:Burmas historia
欧元	Euro
美元	Amerikansk dollar
地中海	Medelhavet
威尼斯共和国	Republiken Venedig
杭州市	Hangzhou
基督教	Kristendom
模板:亚洲行政区划	Mall:Asien
金国	Jindynastin (1115–1234)
洲	Världsdelar och kontinenter
阿德来得	Adelaide
首都	Huvudstad
葡萄牙语	Portugisiska
模板:Portal	Mall:Portal
公元1949年	1949
阿嘞玛桑	Almazán
黄现璠	Huang Xianfan
日语	Japanska
百科全书	Uppslagsverk
封面	Portal:Huvudsida
路由器	Router
棒球	Baseboll
奧林匹克运动会	Olympiska spelen
长江	Yangtze
里海	Kaspiska havet
拉斐尔	Rafael (konstnär)
电车	Spårväg
加泰罗尼亚	Katalonien
毛泽东	Mao Zedong
西安	Xi'an
拉萨市	Lhasa
性行为	Samlag
加夫列尔·加西亚·马尔克斯	Gabriel García Márquez
分类:快速删除候选	Kategori:Snabbraderingar
莎里 嘛克嘞朗	Sally Pearson
马可·波罗	Marco Polo
共产主义	Kommunism
1368年	1368
國家	Land
Joe Biden	Joe Biden
希拉里·克林顿	Hillary Clinton
Yelena Isinbayeva	Jelena Isinbajeva
大英博物馆	British Museum
蒙彼利埃	Montpellier
分类:天文学	Kategori:Astronomi
汉堡包	Hamburgare
班合比让	Perpignan
标致汽车	Peugeot
李白	Li Bai
图书馆	Bibliotek
世界银行	Världsbanken
汉武帝	Han Wudi
女权主义	Feminism
元朝	Yuandynastin
库克船长	James Cook
郑和	Zheng He
黃河	Gula floden
蚂蚁	Myror
宋朝	Songdynastin
落苏	Aubergine
龙	Drake
姆妈	Moder
隆波岛	Lombok
小人	Barn
俄语	Ryska
人家	Hem
普京	Vladimir Putin
东南亚国家联盟	Association of Southeast Asian Nations
面包	Bröd
国际货币基金组织	Internationella valutafonden
联合国教育科学文化组织	Unesco
联合国卫生组织	Världshälsoorganisationen
漢語	Kinesiska
雨	Regn
全球暖化	Global uppvärmning
纳尔逊·曼德拉	Nelson Mandela
马丁·路德·金	Martin Luther King
蛋白质	Protein
天灾	Naturkatastrof
海啸	Tsunami
云	Moln
几何学	Geometri
日圆	Yen
单词	Ord
漢字	Kinesiska tecken
希腊字母	Grekiska alfabetet
諺文	Hangul
分类:法国	Kategori:Frankrike
分类:音乐	Kategori:Musik
红楼梦	Drömmar om röda gemak
漫画	Manga
哈利波特	Harry Potter
小提琴	Violin
肛交	Analsex
教育	Bildning
男性	Man
婚姻	Äktenskap
法语维基百科	Franskspråkiga Wikipedia
咖啡	Kaffe
果汁	Juice
山	Berg
第29届奧林匹克运动会	Olympiska sommarspelen 2008
孙中山	Sun Yat-sen
香港	Hongkong
首尔	Seoul
上海	Shanghai
伦敦 海斯楼 飞机场	London-Heathrow flygplats
清朝	Qingdynastin
越南战争	Vietnamkriget
巴斯克语	Baskiska
阿拉贡语	Aragonska
瓦伦西亚	Valencia
玛丽咏·高帝娅	Marion Cotillard
麦克斯韦	James Clerk Maxwell
原子	Atom
光	Ljus
罗鲍斯	Dayron Robles
韩语	Koreanska
官話	Mandarin (språk)
高棉文	Khmer (språk)
弗洛伊德	Sigmund Freud
泰语	Thai
马来语	Malajiska
蒙古语	Mongoliska
犹太教	Judendom
万象	Vientiane
莫白桑	Guy de Maupassant
司马迁	Sima Qian
朱熹	Zhu Xi
廷巴克图	Timbuktu
伦理学	Etik
沙·卢克·康	Shahrukh Khan
什叶派	Shia
道教	Taoism
子宫	Livmoder
颈	Hals
富克朗特群岛	Falklandsöarna
马恩岛	Isle of Man
戴安娜王妃	Diana, prinsessa av Wales
唐玄宗	Tang Xuanzong
Α	Alfa
Ω	Omega
Μ	My
明朝	Mingdynastin
朱元璋	Zhu Yuanzhang
Φ	Fi
朱由检	Chongzhen-kejsaren
Laura Robson	Laura Robson
2008年欧罗维竞唱歌比赛	Eurovision Song Contest 2008
强·马凯恩	John McCain
金正日	Kim Jong Il
元素周期表	Periodiska systemet
罗別脫 姆格比	Robert Mugabe
自杀	Självmord
爬蟲類	Kräldjur
Λ	Lambda
伍老虎	Tiger Woods
洋山芋	Potatis
三宝垄	Semarang
报纸	Tidning
电话	Telefon
?	Frågetecken
美国空军	USA:s flygvapen
菲德尔·卡斯特罗	Fidel Castro
元素单子	Grundämne
广域网	Wide Area Network
围棋	Go (brädspel)
电影	Film
气体	Gas
液体	Vätska
固体	Fast form
脚踏车	Cykel
农业	Jordbruk
温度	Temperatur
面积	Area
数	Tal
玛丽亚·莎拉波娃	Marija Sjarapova
重慶	Chongqing
天津市	Tianjin
武汉	Wuhan
世界地理索引	Lista över självständiga stater
担桑身	Graviditet
Google地图	Google Maps
癌	Cancer
残疾人	Funktionsnedsättning
抗生素	Antibiotikum
青霉素	Penicillin
肺炎	Lunginflammation
克来普	Crêpes
麻将	Mahjong
运河	Kanal
坝	Dammbyggnad
牛顿 (单位)	Newton (enhet)
世界报 (法国)	Le Monde
万里长城	Kinesiska muren
可再生能源	Förnybara energikällor
电	Elektricitet
核武器	Kärnvapen
Joomla!	Joomla
吉卜赛语	Romani
壮语	Zhuang (språk)
自由人报 (法国)	Libération
安吉丽娜	Angelina Jolie
阿拉伯语	Arabiska
马多符	Bernard Madoff
扬马延岛	Jan Mayen
弗	Dollar
科西嘉岛	Korsika
奥克语	Occitanska
克里斯蒂娜 艾伐脱	Chris Evert
李明博	Lee Myung-bak
Β	Beta
Γ	Gamma
Δ	Delta
Ε	Epsilon
Ζ	Zeta
Η	Eta
Θ	Theta
Ι	Jota
Κ	Kappa (bokstav)
Ν	Ny
Ξ	Xi
Ο	Omikron
Ρ	Rho
Σ	Sigma
Τ	Tau
Υ	Ypsilon
Χ	Chi
Ψ	Psi
复活节岛	Påskön
澳门	Macao
联想计算机公司	Lenovo
梁振英	CY Leung
董建华	Tung Chee-hwa
胡锦涛	Hu Jintao
习近平	Xi Jinping
深圳市	Shenzhen
廣東省	Guangdong
广西壮族自治区	Guangxi
施蒂文 呼克	Steven Hooker
鹿儿岛县	Kagoshima prefektur
C语言	C (programspråk)
手铐	Handbojor
艾米·麦克唐纳 (歌手)	Amy Macdonald
Wikipedia:Featured articles	Wikipedia:Utmärkta artiklar
模板:Link FA	Mall:Link FA
Wikipedia:红茶坊	Wikipedia:Bybrunnen
釜山广域市	Pusan
佛蒙特	Vermont
广州	Guangzhou
蔣中正	Chiang Kai-shek
江泽民	Jiang Zemin
温家宝	Wen Jiabao
南京市	Nanjing
首都圈电铁	Seouls tunnelbana
北京大学	Pekinguniversitetet
清華大學	Tsinghuauniversitetet
江苏省	Jiangsu
浙江省	Zhejiang
邓小平	Deng Xiaoping
琶兰那克	Parañaque
菲律宾比索	Filippinsk peso
西藏	Autonoma regionen Tibet
圆	Cirkel
同性婚姻	Samkönat äktenskap
Francesc Fàbregas	Cesc Fàbregas
手机	Mobiltelefoni
太平山 (香港)	Victoria Peak
欧洲杯足球赛	Uefa Champions League
马来亚半岛	Malackahalvön
平壤市	Pyongyang
奥斯卡奖	Oscar
各经济实体国内生产总值列表	Lista över länder efter BNP
ی	Yod
黑龍江省	Heilongjiang
芽庄市	Nha Trang
教皇	Påve
波多黎各独立党	Puertoricanska självständighetspartiet
四川省	Sichuan
蔡元培	Cai Yuanpei
圣诞	Jul
闰年	Skottår
大田广域市	Daejeon
大邱广域市	Daegu
仁川国际机场	Incheon International Airport
仁川广域市	Inchon
京畿道	Gyeonggi
计算机科学	Datavetenskap
阿鲁巴	Aruba
国际音标	Internationella fonetiska alfabetet
河北省	Hebei
GNU自由文档许可证	GNU Free Documentation License
陈水扁	Chen Shui-bian
台湾	Taiwan (ö)
纽约	New York (olika betydelser)
2012年欧洲足球冠军赛	Europamästerskapet i fotboll 2012
路由	Dirigering (nätverk)
人口密度	Befolkningstäthet
爱尔兰	Irland (ö)
鲁迅	Lu Xun
湖	Insjö
黄瓜	Gurka
南奥赛西亚	Sydossetien
阿什哈巴德	Asjchabad
岛屿	Ö (landområde)
马赛	Marseille
风牙己榜国家公园	Phong Nha-Ke Bang nationalpark
广平省	Quang Binh
赤道	Ekvator
字典	Ordbok
北塞浦路斯	Nordcypern
死海	Döda havet
英镑	Brittiskt pund
金兰国际机场	Cam Ranhs internationella flygplats
荷属安地列斯	Nederländska Antillerna
根西岛	Guernsey
斯瓦尔巴群岛	Svalbard
Benetice	Benetice (Světlá nad Sázavou)
摄氏温标	Grad Celsius
大叻市	Da Lat
岘港市	Da Nang
Washington	Washington (olika betydelser)
甴巴子	Kackerlackor
鱷魚	Krokodildjur
中国工商银行	Industrial and Commercial Bank of China
人造卫星	Satellit
太原省 (越南)	Thai Nguyen (provins)
杀人鲸	Späckhuggare
印科软件	Infosys
日本海	Japanska havet
东亚	Östasien
北亚	Nordasien
南欧	Sydeuropa
东欧	Östeuropa
北欧	Nordeuropa
西欧	Västeuropa
中欧	Centraleuropa
琉球国	Kungariket Ryukyu
县	County
氨基糖苷类抗生素	Aminoglykosider
伊斯兰历	Muslimska kalendern
柳京饭店	Ryugyong Hotel
霍顿汽车	Holden
市长	Borgmästare
中文维基百科	Kinesiskspråkiga Wikipedia
总统	President
满洲国	Manchukuo
安娜·伊凡诺维琪	Ana Ivanović
圣诞岛	Julön
臺灣省	Taiwan (provins)
拳击	Boxning
樟宜国际机场	Singapore Changi Airport
大西洋处女	Virgin Atlantic Airways
快达航空	Qantas Airways
斑马	Zebror
同奈省	Dong Nai
广义省	Quang Ngai (provins)
金瓯省	Ca Mau (provins)
广南省 (越南)	Quang Nam
槟椥省	Ben Tre (provins)
庆和省	Khanh Hoa
客家语	Hakka (språk)
北宁省	Bac Ninh (provins)
优八克	International Union of Pure and Applied Chemistry
赣语	Gan (dialekt)
海地克里奥耳语	Haitisk kreol
大熊猫	Jättepanda
孤立語言	Isolatspråk
卡纳达语	Kannada
杜甫	Du Fu
瓦尔帕莱索	Valparaíso
演员	Skådespelare
分类:程序编制言话	Kategori:Programspråk
瓦哈卡	Oaxaca
侗台语	Tai–kadaispråk
白脱	Smör
尼亚加拉瀑布	Niagarafallen
吴语	Wu (dialekt)
塔斯马尼亚	Tasmanien
贝拉齐尔‧布托	Benazir Bhutto
费利佩二世 (西班牙)	Filip II av Spanien
牛津大学	Oxfords universitet
基地 (恐怖组织)	Al-Qaida
英吉利海峡	Engelska kanalen
柴尔兹孛格	Salzburg
秦国	Qin (stat)
半岛	Halvö
新疆維吾爾自治區	Xinjiang
布里司班	Brisbane
东正教	Ortodoxa kyrkor
各国首都列表	Lista över huvudstäder
平面镜	Spegel
锡金语	Sikkimesiska
孛拉特 皮此	Brad Pitt
欧洲足球联合会	Uefa
议会	Parlament
大阪市	Osaka
剑桥大学	Universitetet i Cambridge
牙膏	Tandkräm
通货膨胀	Inflation
艾美 羅森	Emmy Rossum
竹	Bambu
刚果	Kongo
马失拉地	Maserati
科科斯群岛	Kokosöarna
昆士兰州	Queensland
明尼阿波利斯	Minneapolis
顺化市	Hué
马拉雅南语	Malayalam
逻辑语	Lojban
北江省	Bac Giang (provins)
耶稣会	Jesuitorden
承天顺化省	Thua Thien-Hué
北𣴓省	Bac Kan (provins)
阿伯丁	Aberdeen
莱州省	Lai Chau (provins)
河南省 (越南)	Ha Nam
上海浦东国际机场	Shanghai Pudong International Airport
政治學	Statsvetenskap
闽东语	Mindong
闽南语	Minnan
安江省	An Giang
茶荣省	Tra Vinh (provins)
Tycho Brahe	Tycho Brahe
薄辽省	Bac Lieu (provins)
嘉莱省	Gia Lai
平福省	Binh Phuoc
同塔省	Dong Thap
约旦河西岸	Västbanken
河江省	Ha Giang (provins)
维克多利亚州	Victoria, Australien
多乐省	Dak Lak
平定省	Binh Dinh
得农省	Dak Nong
水晶之夜	Kristallnatten
台语	Taiwanesiska
门	Dörr
猪流感	Svininfluensa
高平省	Cao Bang (provins)
平阳省	Binh Duong
平顺省	Binh Thuan
巴地头顿省	Ba Ria-Vung Tau
奠边省	Dien Bien
三船敏郎	Toshiro Mifune
AK-47	AK-47
八国集团	G8
孙武	Sun Zi
国际商用机器公司	IBM
互聯網電影數據庫	Internet Movie Database
贝克特	Samuel Beckett
达赖喇嘛	Dalai lama
邮政编码	Postnummer
Nicole Kidman	Nicole Kidman
联合国安理会	FN:s säkerhetsråd
洋火棒儿	Tändsticka
雹	Hagel
南海	Sydkinesiska havet
肯波拉圣吉奥瓦尼	Campora San Giovanni
朝鮮世宗	Sejong den store
奥克兰格兰玛学校	Auckland Grammar School
电冰箱	Kylskåp
黄海	Gula havet
大仲马	Alexandre Dumas den äldre
孟加拉湾	Bengaliska viken
哈马斯	Hamas
阿斯旺水坝	Assuandammen
人民币	Renminbi
富士山	Fuji
小鼠	Möss
索契	Sotji
迈克尔·菲尔普斯	Michael Phelps
卡地马党	Kadima
加沙地带	Gazaremsan
霍巴特	Hobart
金草莓奖	Golden Raspberry Awards
律师	Advokat
相扑	Sumobrottning
希斯·莱杰	Heath Ledger
安徽省	Anhui
内蒙古自治区	Inre Mongoliet
金日成	Kim Il Sung
全罗北道	Nordjeolla
济州特别自治道	Jeju
湄公河	Mekong
索尼	Sony
巴別塔	Babels torn
力学	Mekanik
南半球	Södra halvklotet
蔚山广域市	Ulsan
光州广域市	Gwangju
温室效应	Växthuseffekten
Julia Gillard	Julia Gillard
华国锋	Hua Guofeng
福建省	Fujian
克拉耿富合脱	Klagenfurt
小熊猫	Kattbjörn
大溪地	Tahiti
安东市	Andong
海南省	Hainan
汉语拼音	Pinyin
远东	Fjärran Östern
西班牙国家足球队	Spaniens herrlandslag i fotboll
华氏温标	Grad Fahrenheit
海峡群岛	Kanalöarna
甘肃省	Gansu
苏州市	Suzhou
无锡市	Wuxi
湖州市	Huzhou
绍兴市	Shaoxing
汉族	Hankineser
昆山	Kunshan
宁波市	Ningbo
ETA (民族组织)	Euskadi ta Askatasuna
隆城国际机场	Long Thanh Internationell flygplats
数据	Data (representation)
迪马 皮郎	Dima Bilan
记者	Reporter
基本粒子	Elementarpartikel
陆克文	Kevin Rudd
沙菲娅 劳塔露	Sofija Rotaru
些拉·班琳	Sarah Palin
云南省	Yunnan
苏丹 (称谓)	Sultan
德国国家足球队	Tysklands herrlandslag i fotboll
山东省	Shandong
福楼拜	Gustave Flaubert
英属印度洋领地	Brittiska territoriet i Indiska oceanen
地质年代	Geologisk tidsskala
河南省	Henan
乃堂雅虎	Benjamin Netanyahu
护照	Pass
遼寧省	Liaoning
件西卡 阿尔白	Jessica Alba
桑•班	Sean Penn
GNOME	GNOME
台湾桃园国际机场	Taiwan Taoyuan Internationella Flygplats
色子	Tärning
吉林省	Jilin
东海	Östkinesiska havet
2008年美国总统选举	Presidentvalet i USA 2008
阿南德	Viswanathan Anand
湖南省	Hunan
水族馆	Akvarium
青海省	Qinghai
豪納省	Rhône (departement)
陸龜	Landsköldpaddor
話筒	Mikrofon
山西省	Shanxi
魔方	Rubiks kub
尼德兰国家足球队	Nederländernas herrlandslag i fotboll
谜子	Gåta
艾西瓦娅·巴克罕	Aishwarya Rai
贵州省	Guizhou
Warren Buffett	Warren Buffett
蹔𧉆	Syrsor
纸币	Sedel
加沙城	Gaza
白斯克	Baskien
安达曼海	Andamansjön
胡适	Hu Shi
孛路內 (Blu-Ray)	Blu-ray Disc
法国国家足球队	Frankrikes herrlandslag i fotboll
后现代	Postmodernism
宮城县	Miyagi prefektur
帕荔斯 希尔顿	Paris Hilton
陕西省	Shaanxi
模板:Commonscat	Mall:Commonscat
岩手县	Iwate
死人	Lik
莱纳斯·鲍林	Linus Pauling
Patrick Swayze	Patrick Swayze
嫦娥1号	Chang'e 1
純合子	Homozygot
水彩画	Akvarell
李舜臣	Yi Sun-shin
巴黎地铁	Paris metro
陈方安生	Anson Chan
釜山地铁	Pusans tunnelbana
清迈	Chiang Mai
对马海峽	Tsushimasundet
珍珠港事件	Attacken mot Pearl Harbor
分类:化学模板	Kategori:Kemimallar
模板:Taxobox	Mall:Taxobox
松下电器	Panasonic Corporation
丰田汽车	Toyota
田鸡	Stjärtlösa groddjur
艾奇亚	Ikea
火车站	Järnvägsstation
洛东江	Nakdong
模板:中国历史	Mall:Kinas historia
金正恩	Kim Jong-un
豪萨语	Hausa
闽语	Min (språk)
江西省	Jiangxi
纳姆耶尔·旺楚克 (不丹国王)	Jigme Khesar Namgyal Wangchuck
阮明哲	Nguyen Minh Triet
宁夏回族自治区	Ningxia
拿督阿都拉萨	Najib Tun Razak
吉格梅·廷礼	Jigme Thinley
约翰·菲利普·凯伊	John Key
宿迁市	Suqian
扬州市	Yangzhou
泰州	Taizhou, Jiangsu
南通	Nantong
镇江市	Zhenjiang
常州市	Changzhou
嘉兴市	Jiaxing
金华市	Jinhua
衢州	Quzhou
台州市	Taizhou, Zhejiang
舟山市	Zhoushan
迪斯科	Disco
阉	Kastrering
以色列国防军	Israels försvarsmakt
寿春机场	Sao Vang flygplats
嘟嘟車	Tuk-tuk
海蒂·克鲁姆	Heidi Klum
阿拉伯文数字	Öst-arabiska siffror
空军	Flygvapen
大名	Daimyo
太仓	Taicang
劳莱士表	Rolex
数码照相机	Digitalkamera
数词	Räkneord
哈里发	Kalif
汇率	Växelkurs
青森县	Aomori prefektur
福岛县	Fukushima (prefektur)
青蛙	Rana (släkte)
海防市	Hai Phong
斯堪的纳维亚半岛	Skandinaviska halvön
里尔克	Rainer Maria Rilke
排列组合	Kombinatorik
鲍林标度	Elektronegativitet
街道	Gata
Wikipedia:新闻发布	Wikipedia:Tillkännagivanden
机器翻译	Maskinöversättning
阿根廷国家足球队	Argentinas herrlandslag i fotboll
面向对象程式编制	Objektorienterad programmering
千叶县	Chiba prefektur
定积分	Integral
故宫	Förbjudna staden
泰米尔猛虎解放组织	Tamilska befrielsetigrarna
印度卢比	Indisk rupie
Microsoft Outlook	Microsoft Outlook
早饭	Frukost
自动银行出纳机	Uttagsautomat
秋田县	Akita prefektur
乌克兰元	Hryvnja
Ségolène Royal	Ségolène Royal
通用汽车	General Motors
1998年个中国水灾	Yangtzeflodens översvämning 1998
差头	Taxi
乌赛	Region
拿塔莎 康埔西	Natascha Kampusch
新浪微博	Sina Weibo
模板:Cite book	Mall:Bokref
香农 (计算数学家)	Claude Shannon
宝莱坞	Bollywood
索里亚省	Kommuner i Soriaprovinsen
三角函数	Trigonometrisk funktion
2009年甲型H1N1流感疫情	H1N1-utbrottet 2009
草	Ogräs
文瑾莹	Moon Geun-young
2004年欧洲足球冠军赛	Europamästerskapet i fotboll 2004
严重急性呼吸道综合症	Sars (sjukdom)
Flickr	Flickr
John C. Mather	John C. Mather
索尔·珀尔马特	Saul Perlmutter
希腊数字	Grekiska siffror
人民力量党 (泰国)	Folkmaktspartiet
俞正声	Yu Zhengsheng
克里米亚鞑靼人	Krimtatarer
伊斯兰圣战组织 (巴勒斯坦)	Islamiska jihad
爱媛县	Ehime prefektur
