Afrik	Afrika
Moritani	Mauretanien
Moris	Mauritius
Mawòk	Marocko
Mozanbik	Moçambique
Namibi	Namibia
Nijè	Niger
Nijerya	Nigeria
Ouganda	Uganda
Rwanda	Rwanda
Zikonyòm	Zirkonium
Sen Tome ak Pwènsip	São Tomé och Príncipe
Senegal	Senegal
Sechèl	Seychellerna
Syera Leòn	Sierra Leone
Somali	Somalia
Nyobyòm	Niob
Julius Caesar	Julius Caesar
Soudan	Sudan
Swazilann	Swaziland
Lakansyèl	Regnbåge
Tèknesyòm	Teknetium
Metabolis	Metabolism
Evolisyon	Evolution
Aleksand Manzoni	Alessandro Manzoni
ONI	Förenta nationerna
Jewoloji	Geologi
Jewografi	Geografi
Kè	Hjärta
Sèvo	Hjärna
Po	Hud
Koulè	Färg
Prag	Prag
Rodyòm	Rodium
Ble (koulè)	Blå
Paladyòm	Palladium
Ajan (metal)	Silver
Kadmyòm	Kadmium
Endyòm	Indium
Eten	Tenn
Iranyòm	Uran
Antimwàn	Antimon
Plitonyòm	Plutonium
Yòd	Jod
Neptinyòm	Neptunium
Sezyòm	Cesium
Baryòm	Barium
Toryòm	Torium
Aktiniòm	Aktinium
Tantal	Tantal
Radyòm	Radium
Radon	Radon
Alzas	Alsace
Michigàn	Michigan
Pòtoriko	Puerto Rico
Usain Bolt	Usain Bolt
Ilinwa	Illinois
Dakota dinò	North Dakota
Dakota disid	South Dakota
Montana	Montana
Wayoming	Wyoming
Aydawo	Idaho
Wachintòn (eta)	Washington (delstat)
Nevada	Nevada
Endyen	Indiska oceanen
Bòryòm	Bohrium
Asyòm	Hassium
Kolorado	Colorado
Jam	Fruktkonserv
Kategori:Rasin	Kategori:Topp
Blaise Pascal	Blaise Pascal
Chikago	Chicago
The Beatles	The Beatles
Livè	Vinter
Prentan	Vår
Lete	Sommar
Lotòn	Höst
Ekinòks otòn	Dagjämning
Panyòl	Spanska
Montevideo	Montevideo
Pittsburgh, Pennsilvani	Pittsburgh
Philadelphia, Pennsilvani	Philadelphia
Daka	Dhaka
Areye	Spindlar
Atwopòd	Leddjur
Islamabad	Islamabad
Fwi	Frukt
Lajan	Pengar
Vijini	Virginia
Vijini de Lwès	West Virginia
Nou Yòk (eta)	New York (delstat)
Seryòm	Cerium
Rod Aylann	Rhode Island
Neyodim	Neodym
Ensèk	Insekter
Merilann	Maryland
Delawè	Delaware
Lenine	Vladimir Lenin
Ewòpyòm	Europium
Owayo (eta)	Ohio
Pènsilvani	Pennsylvania
Uetersen	Uetersen
Nou Jèze	New Jersey
Indiana	Indiana
Machin	Bil
Djòdji	Georgia
Zagreb	Zagreb
Teksas	Texas
Karolin dinò	North Carolina
Karolin disid	South Carolina
Manyl	Manila
Bwènozè	Buenos Aires
Meksiko	Mexico City
Tokyo	Tokyo prefektur
La Paz	La Paz
Zannanna	Ananas
Misisipi (eta)	Mississippi
Misisipi (rivyè)	Mississippifloden
Tenèsi	Tennessee
Abou Dabi	Abu Dhabi
Astana	Astana
Nou Meksiko	New Mexico
Atèn	Aten
Minesota	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wiskonnsenn	Wisconsin
Ayowa	Iowa
Nebraska	Nebraska
Siwdad	Guatemala City
Kènsas	Kansas
La Avàn	Havanna
Misouri (eta)	Missouri
Georg Ohm	Georg Ohm
Lwiziana	Louisiana
Luigi Galvani	Luigi Galvani
Kèntòki	Kentucky
Akennsas (eta)	Arkansas
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahoma
Volebòl	Volleyboll
Vyèn	Wien
Kopènag	Köpenhamn
Stokolm	Stockholm
Èlzinki	Helsingfors
Diblin	Dublin
Rèkyavik	Reykjavik
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Boudapès	Budapest
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Lantàn	Lantan
Samaryòm	Samarium
Gadolinyòm	Gadolinium
Liksanbou (kapital)	Luxemburg (stad)
Vadouz	Vaduz
Bib	Bibeln
Sen Maren (kapital)	San Marino (stad)
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Vil	Ho Chi Minh-staden
Litesyòm	Lutetium
Anòy	Hanoi
Legliz de Vre Jezi	The True Jesus Church
Angle	Engelska
Bangkok	Bangkok
Andò-la-Vyèy	Andorra la Vella
Kouala Loumpou	Kuala Lumpur
Taypè	Taipei
Amerisyòm	Americium
Dong Hoi	Dong Hoi
Concepción, Chili	Concepción, Chile
Bèkelyòm	Berkelium
Kalifònyòm	Californium
Achtaynyòm	Einsteinium
Fèmyòm	Fermium
Kyèv	Kiev
Nobèlyòm	Nobelium
Otawa	Ottawa
Erevàn	Jerevan
Końskowola	Końskowola
Kartoum	Khartoum
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Koldioxid
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Kolmonoxid
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Ormar
1e janvye	1 januari
2 janvye	2 januari
1920 (almanak gregoryen)	1920
3 janvye	3 januari
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	4 januari
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	5 januari
Arica	Arica
6 janvye	6 januari
Elektwon	Elektron
7 janvye	7 januari
8 janvye	8 januari
9 janvye	9 januari
10 janvye	10 januari
11 janvye	11 januari
12 janvye	12 januari
13 janvye	13 januari
14 janvye	14 januari
15 janvye	15 januari
16 janvye	16 januari
17 janvye	17 januari
18 janvye	18 januari
19 janvye	19 januari
20 janvye	20 januari
21 janvye	21 januari
22 janvye	22 januari
23 janvye	23 januari
24 janvye	24 januari
25 janvye	25 januari
Minsk	Minsk
26 janvye	26 januari
Microsoft	Microsoft
27 janvye	27 januari
28 janvye	28 januari
29 janvye	29 januari
30 janvye	30 januari
31 janvye	31 januari
Pwoton	Proton
2 desanm	2 december
1e desanm	1 december
3 desanm	3 december
7 desanm	7 december
5 desanm	5 december
8 desanm	8 december
10 desanm	10 december
6 desanm	6 december
9 desanm	9 december
4 desanm	4 december
1e fevriye	1 februari
2 fevriye	2 februari
3 fevriye	3 februari
Kurów (vil)	Kurów
4 fevriye	4 februari
5 fevriye	5 februari
6 fevriye	6 februari
7 fevriye	7 februari
8 fevriye	8 februari
9 fevriye	9 februari
10 fevriye	10 februari
Chimi	Kemi
14 fevriye	14 februari
13 fevriye	13 februari
15 fevriye	15 februari
11 fevriye	11 februari
12 fevriye	12 februari
19 fevriye	19 februari
17 fevriye	17 februari
16 fevriye	16 februari
18 fevriye	18 februari
20 fevriye	20 februari
Netwon	Neutron
21 fevriye	21 februari
22 fevriye	22 februari
23 fevriye	23 februari
24 fevriye	24 februari
25 fevriye	25 februari
26 fevriye	26 februari
27 (almanak jilyen)	27
27 fevriye	27 februari
28 fevriye	28 februari
11 desanm	11 december
29 fevriye	29 februari
12 desanm	12 december
13 desanm	13 december
14 desanm	14 december
15 desanm	15 december
2 mas	2 mars
3 mas	3 mars
5 mas	5 mars
1e mas	1 mars
7 mas	7 mars
8 mas	8 mars
4 mas	4 mars
10 mas	10 mars
11 mas	11 mars
6 mas	6 mars
13 mas	13 mars
9 mas	9 mars
12 mas	12 mars
15 mas	15 mars
14 mas	14 mars
16 desanm	16 december
17 desanm	17 december
16 mas	16 mars
17 mas	17 mars
18 mas	18 mars
19 mas	19 mars
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	20 mars
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	21 mars
1983 (almanak gregoryen)	1983
22 mas	22 mars
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	18 december
1980 (almanak gregoryen)	1980
23 mas	23 mars
Moukdicho	Mogadishu
19 desanm	19 december
24 mas	24 mars
25 mas	25 mars
20 desanm	20 december
26 mas	26 mars
27 mas	27 mars
28 mas	28 mars
29 mas	29 mars
30 mas	30 mars
31 mas	31 mars
Naso	Nassau, Bahamas
Sanaa	Sanaa
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Benedictus XVI
15 avril	15 april
13 avril	13 april
12 avril	12 april
14 avril	14 april
11 avril	11 april
10 avril	10 april
8 avril	8 april
9 avril	9 april
7 avril	7 april
6 avril	6 april
5 avril	5 april
4 avril	4 april
3 avril	3 april
1e avril	1 april
2 avril	2 april
16 avril	16 april
17 avril	17 april
18 avril	18 april
19 avril	19 april
20 avril	20 april
21 avril	21 april
22 avril	22 april
23 avril	23 april
24 avril	24 april
25 avril	25 april
26 avril	26 april
27 avril	27 april
28 avril	28 april
29 avril	29 april
30 avril	30 april
Satelit	Måne
1e me	1 maj
2 me	2 maj
3 me	3 maj
4 me	4 maj
5 me	5 maj
6 me	6 maj
7 me	7 maj
8 me	8 maj
9 me	9 maj
10 me	10 maj
11 me	11 maj
12 me	12 maj
13 me	13 maj
14 me	14 maj
15 me	15 maj
16 me	16 maj
17 me	17 maj
18 me	18 maj
19 me	19 maj
20 me	20 maj
21 me	21 maj
22 me	22 maj
23 me	23 maj
24 me	24 maj
25 me	25 maj
26 me	26 maj
27 me	27 maj
28 me	28 maj
29 me	29 maj
30 me	30 maj
31 me	31 maj
21 desanm	21 december
14 jen	14 juni
15 jen	15 juni
13 jen	13 juni
10 jen	10 juni
7 jen	7 juni
11 jen	11 juni
9 jen	9 juni
12 jen	12 juni
6 jen	6 juni
8 jen	8 juni
5 jen	5 juni
3 jen	3 juni
2 jen	2 juni
1e jen	1 juni
4 jen	4 juni
22 desanm	22 december
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16 juni
30 jen	30 juni
29 jen	29 juni
28 jen	28 juni
26 jen	26 juni
25 jen	25 juni
22 jen	22 juni
27 jen	27 juni
24 jen	24 juni
20 jen	20 juni
23 jen	23 juni
19 jen	19 juni
18 jen	18 juni
21 jen	21 juni
17 jen	17 juni
23 desanm	23 december
15 jiyè	15 juli
13 jiyè	13 juli
12 jiyè	12 juli
10 jiyè	10 juli
9 jiyè	9 juli
14 jiyè	14 juli
8 jiyè	8 juli
7 jiyè	7 juli
6 jiyè	6 juli
5 jiyè	5 juli
2 jiyè	2 juli
4 jiyè	4 juli
3 jiyè	3 juli
1e jiyè	1 juli
11 jiyè	11 juli
24 desanm	24 december
31 jiyè	31 juli
30 jiyè	30 juli
29 jiyè	29 juli
28 jiyè	28 juli
27 jiyè	27 juli
25 jiyè	25 juli
24 jiyè	24 juli
23 jiyè	23 juli
26 jiyè	26 juli
22 jiyè	22 juli
19 jiyè	19 juli
21 jiyè	21 juli
20 jiyè	20 juli
17 jiyè	17 juli
18 jiyè	18 juli
16 jiyè	16 juli
Foutbòl	Fotboll
25 desanm	25 december
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26 december
1962 (almanak gregoryen)	1962
14 out	14 augusti
15 out	15 augusti
13 out	13 augusti
12 out	12 augusti
11 out	11 augusti
10 out	10 augusti
8 out	8 augusti
7 out	7 augusti
9 out	9 augusti
5 out	5 augusti
4 out	4 augusti
2 out	2 augusti
3 out	3 augusti
6 out	6 augusti
1e out	1 augusti
27 desanm	27 december
Madrid	Madrid
16 out	16 augusti
29 out	29 augusti
28 out	28 augusti
30 out	30 augusti
25 out	25 augusti
26 out	26 augusti
23 out	23 augusti
27 out	27 augusti
21 out	21 augusti
20 out	20 augusti
24 out	24 augusti
18 out	18 augusti
17 out	17 augusti
22 out	22 augusti
19 out	19 augusti
31 out	31 augusti
Michael Jackson	Michael Jackson
28 desanm	28 december
Bogota	Bogotá
Brazilia	Brasília
15 septanm	15 september
14 septanm	14 september
13 septanm	13 september
12 septanm	12 september
8 septanm	8 september
11 septanm	11 september
7 septanm	7 september
10 septanm	10 september
5 septanm	5 september
4 septanm	4 september
9 septanm	9 september
2 septanm	2 september
6 septanm	6 september
1e septanm	1 september
3 septanm	3 september
29 desanm	29 december
Lima	Lima
30 septanm	30 september
29 septanm	29 september
28 septanm	28 september
27 septanm	27 september
26 septanm	26 september
25 septanm	25 september
Santyago	Santiago de Chile
23 septanm	23 september
22 septanm	22 september
24 septanm	24 september
21 septanm	21 september
20 septanm	20 september
18 septanm	18 september
17 septanm	17 september
19 septanm	19 september
16 septanm	16 september
Kito	Quito
30 desanm	30 december
Sik	Sucre
31 desanm	31 december
1e oktòb	1 oktober
15 oktòb	15 oktober
12 oktòb	12 oktober
10 oktòb	10 oktober
14 oktòb	14 oktober
9 oktòb	9 oktober
8 oktòb	8 oktober
13 oktòb	13 oktober
7 oktòb	7 oktober
11 oktòb	11 oktober
6 oktòb	6 oktober
4 oktòb	4 oktober
5 oktòb	5 oktober
3 oktòb	3 oktober
2 oktòb	2 oktober
Asounsyòn	Asunción
Kabrit	Tamget
Tibèf	Kalv (ungdjur)
31 oktòb	31 oktober
30 oktòb	30 oktober
29 oktòb	29 oktober
28 oktòb	28 oktober
26 oktòb	26 oktober
25 oktòb	25 oktober
24 oktòb	24 oktober
27 oktòb	27 oktober
22 oktòb	22 oktober
23 oktòb	23 oktober
20 oktòb	20 oktober
21 oktòb	21 oktober
19 oktòb	19 oktober
17 oktòb	17 oktober
16 oktòb	16 oktober
18 oktòb	18 oktober
15 novanm	15 november
14 novanm	14 november
13 novanm	13 november
12 novanm	12 november
11 novanm	11 november
10 novanm	10 november
7 novanm	7 november
8 novanm	8 november
9 novanm	9 november
6 novanm	6 november
5 novanm	5 november
4 novanm	4 november
3 novanm	3 november
2 novanm	2 november
1e novanm	1 november
Paramaribo	Paramaribo
Gason	Pojke
30 novanm	30 november
29 novanm	29 november
28 novanm	28 november
27 novanm	27 november
26 novanm	26 november
25 novanm	25 november
23 novanm	23 november
24 novanm	24 november
21 novanm	21 november
20 novanm	20 november
22 novanm	22 november
19 novanm	19 november
18 novanm	18 november
17 novanm	17 november
16 novanm	16 november
Tifi	Flicka
Katmandou	Katmandu
Bèlmopan	Belmopan
San Jozé	San José, Costa Rica
San Salvadò	San Salvador
Kanbera	Canberra
Vèt	Grön
Rouj	Röd
Dife	Eld
Foton	Foton
Pozitwon	Positron
Tegousigoualpa	Tegucigalpa
Managoua	Managua
Panama (kapital)	Panama City
Titanya	Titania
Oberon	Oberon (måne)
Enbryèl	Umbriel
Aryèl	Ariel (måne)
Miranda	Miranda (måne)
Triton	Triton (måne)
Raba	Rabat
Komèt	Komet
Alje	Alger, Algeriet
Tinis	Tunis
Tripoli	Tripoli
Djibouti (kapital)	Djibouti (stad)
Antofagasta	Antofagasta
Teheran	Teheran
Adis-Abeba	Addis Abeba
Jakarta	Jakarta
Ankara	Ankara
Asmara	Asmara
N'Djamèna	N'Djamena
Niamè	Niamey
Nouakchot	Nouakchott
Riyad	Riyadh
1961 (almanak gregoryen)	1961
Bamako	Bamako
Bèlgrad	Belgrad
Dakar	Dakar
Banjoul	Banjul
Konakri	Conakry
Biso	Bissau
Castro, Chili	Castro (Chile)
Monrovia	Monrovia
1960 (almanak gregoryen)	1960
Akra	Accra
Damas	Damaskus
Yamousoukro	Yamoussoukro
Giyàn franse	Franska Guyana
Chillán	Chillán
Ouagadougou	Ouagadougou
Fritonn	Freetown
Abouja	Abuja
Lome	Lomé
Pòto-Novo	Porto-Novo
Amàn	Amman
