frikytu'a	Afrika
danlu	Djur
surinam	Surinam
jinmrmanga	Mangan
paraguais	Paraguay
gudjanas	Guyana
larcu	Konst
ekuador	Ecuador
jinmlreni	Rhenium
kolombias	Colombia
ridjinme	Kobolt
jarjinme	Volfram
nikle	Nickel
bu'ojda	Buddhism
bolivias	Bolivia
jinmrbosmi	Osmium
tunka	Koppar
spati	Växt
zinki	Zink
leonardos.davintcis	Leonardo da Vinci
djamaikas	Jamaica
guatemal	Guatemala
onduras	Honduras
artik.zei braxamsi	Norra ishavet
salbador	El Salvador
iran	Iran
raksygu'e	Irak
kostarikas	Costa Rica
brogu'e	Israel
nowy.sontc	Nowy Sącz
panamas	Panama
jorgu'e	Jordanien
nikaraguas	Nicaragua
ku,uait	Kuwait
luaos	Laos
lu'orgu'e	Libanon
oregon	Oregon
mejgu'e	Malaysia
nepal	Nepal
kisygu'e	Pakistan
djogu'e	Saudiarabien
stalin.	Josef Stalin
sixygu'e	Syrien
platon	Platon
fasyjinme	Gallium
dotyjinme	Germanium
aristoteles	Aristoteles
tais	Thailand
arseniko	Arsenik
lurcmu	Selen
jinmrdiridi	Iridium
xunkliru	Brom
jinmrplati	Platina
vietnam	Vietnam
novosibirsk	Novosibirsk
snanu zei .xanguk	Sydkorea
mipnavni	Krypton
afyganisTAN	Afghanistan
jyryrys. tolkien	J.R.R. Tolkien
xunsodna	Rubidium
solji	Guld
begygu'e	Bangladesh
xorxes.luis.borxes	Jorge Luis Borges
sokrates	Sokrates
angol	Angola
tanzanias	Tanzania
margu	Kvicksilver
pilipinas	Filippinerna
jinmrtali	Tallium
aisak.niuton	Isaac Newton
la opyn,strit,map	Open Street Map
albert. ainctain	Albert Einstein
jinmrstronti	Strontium
jinmrtitri	Yttrium
jinmrbismu	Vismut
tunis	Tunisien
zambias	Zambia
zimbabues	Zimbabwe
beidjin	Peking
benin	Benin
botsuanas	Botswana
kongos	Kongo-Brazzaville
ob	Ob
roltrusi'o zei.kongos	Kongo-Kinshasa
jicmrpoloni	Polonium
badenvirtemberg	Baden-Württemberg
klirlxastati	Astat
gabon	Gabon
kamerun	Kamerun
libgu'e	Libyen
morgu'e	Marocko
mosambik	Moçambique
namibias	Namibia
nixerias	Nigeria
carl. daruin.	Charles Darwin
ugandas	Uganda
jinmrzirkoni	Zirkonium
senegal	Senegal
sieras. leon	Sierra Leone
somalias	Somalia
jinmrni,obi	Niob
.iulius. kaisar.	Julius Caesar
sudan	Sudan
mlibdena	Molybden
runjinme	Teknetium
gunma natmi	Förenta nationerna
ligytedyske	Geologi
tutske	Geografi
risna	Hjärta
besna	Hjärna
skari	Färg
pragas	Prag
rukyjinme	Rutenium
zgujinme	Rodium
jinmrpaladi	Palladium
rijno	Silver
jinmrkadmu	Kadmium
blajinme	Indium
tinci	Tenn
jinmrvurani	Uran
antimoni	Antimon
tedjicmu	Tellur
jinmrplutoni	Plutonium
zirkliru	Jod
jinmrneptuni	Neptunium
fangynavni	Xenon
blasodna	Cesium
jinmrproktini	Protaktinium
tijyjinme	Barium
lidycevjinme	Torium
jinmrxafni	Hafnium
jinmrtaktini	Aktinium
jinmrtantalu	Tantal
bil. klinton	Bill Clinton
dircyjinme	Radium
dircynavni	Radon
mymbais	Bombay
jinmlruterfordi	Rutherfordium
jinmrdubni	Dubnium
jinmrsiborgi	Seaborgium
xindo braxamsi	Indiska oceanen
karibes. zei xamsi	Karibiska havet
jinmrbori	Bohrium
jinmrxasi	Hassium
jinmrmaitneri	Meitnerium
kolorados	Colorado
jinmrdarmctati	Darmstadtium
crisa	Sommar
cteduncitsi	Dagjämning
sanbau	Spanska
io'an.zebastian.bax	Johann Sebastian Bach
niu,IORK	New York (delstat)
jinmrseri	Cerium
jinmrprase,odimi	Praseodym
jinmrne,odimi	Neodym
lenin	Vladimir Lenin
ronjinme	Europium
uetersen	Uetersen
la canko	Microsoft Windows
manilias.	Manila
buenosaires	Buenos Aires
mexygu'e tcadu	Mexico City
tokios	Tokyo prefektur
atenas	Aten
bagdad	Bagdad
nil.armstryg.	Neil Armstrong
berti xamsi	Nordsjön
eliogabalus	Heliogabalus
jinmrlantano	Lantan
fagycevjinme	Prometium
jinmrsamari	Samarium
jinmrgadolini	Gadolinium
jinmrterbi	Terbium
jinmrdisprosi	Dysprosium
jinmrxolmi	Holmium
jinmrberbi	Erbium
jinmrtuli	Tulium
Ho Chi Minh tcadu	Ho Chi Minh-staden
jinmrtiterbi	Ytterbium
jinmrluteti	Lutetium
stace lijda befi la .iecuax	The True Jesus Church
glibau	Engelska
merjinme	Americium
jinmrkuri	Curium
dong. xois.	Dong Hoi
konsepSION	Concepción, Chile
jinmrberkeli	Berkelium
jinmrkaliforni	Californium
jinmrtainctaini	Einsteinium
jinmrfermi	Fermium
jinmrmendelevi	Mendelevium
jinmrnobeli	Nobelium
jinmrlorensi	Lawrencium
konskovola	Końskowola
2000moi	2000
2003moi	2003
2002moi	2002
2001moi	2001
tabrelkijno	Koldioxid
2004moi	2004
2005moi	2005
2006moi	2006
2007moi	2007
1901moi	1901
carl. dygol.	Charles de Gaulle
1903moi	1903
1904moi	1904
1907moi	1907
1906moi	1906
1908moi	1908
1992moi	1992
1991moi	1991
1990moi	1990
1993moi	1993
1994moi	1994
1995moi	1995
1996moi	1996
1911moi	1911
1913moi	1913
1916moi	1916
1997moi	1997
1998moi	1998
1999moi	1999
1917moi	1917
cidja	Mat
nilsutra lo gusni	Ljusets hastighet
pavma'i 1moi	1 januari
pavma'i 2moi	2 januari
pavma'i 3moi	3 januari
1919moi	1919
pavma'i 4moi	4 januari
1923moi	1923
cmaplini	Dvärgplanet
pavma'i 5moi	5 januari
pavma'i 6moi	6 januari
dutydikca kantu	Elektron
pavma'i 7moi	7 januari
pavma'i 9moi	9 januari
pavma'i 10moi	10 januari
pavma'i 17moi	17 januari
pavma'i 18moi	18 januari
pavma'i 19moi	19 januari
pavma'i 20moi	20 januari
pavma'i 21moi	21 januari
pavma'i 22moi	22 januari
pavma'i 23moi	23 januari
latmo sosygugje'a	Romerska kejsardömet
pavma'i 24moi	24 januari
pavma'i 25moi	25 januari
pavma'i 26moi	26 januari
maikrosaft	Microsoft
pavma'i 27moi	27 januari
pavma'i 28moi	28 januari
pavma'i 29moi	29 januari
pavma'i 30moi	30 januari
pavma'i 31moi	31 januari
pavrelma'i 9moi	9 december
relma'i 1moi	1 februari
relma'i 2moi	2 februari
relma'i 3moi	3 februari
kuruf	Kurów
relma'i 4moi	4 februari
relma'i 5moi	5 februari
relma'i 6moi	6 februari
relma'i 7moi	7 februari
relma'i 8moi	8 februari
relma'i 9moi	9 februari
relma'i 10moi	10 februari
xumske	Kemi
relma'i 14moi	14 februari
relma'i 13moi	13 februari
relma'i 15moi	15 februari
relma'i 11moi	11 februari
relma'i 12moi	12 februari
relma'i 19moi	19 februari
relma'i 17moi	17 februari
relma'i 16moi	16 februari
relma'i 18moi	18 februari
relma'i 20moi	20 februari
relma'i 21moi	21 februari
relma'i 22moi	22 februari
relma'i 23moi	23 februari
relma'i 24moi	24 februari
relma'i 25moi	25 februari
relma'i 26moi	26 februari
relma'i 27moi	27 februari
relma'i 28moi	28 februari
cibma'i 2moi	2 mars
cibma'i 3moi	3 mars
cibma'i 5moi	5 mars
cibma'i 1moi	1 mars
cibma'i 7moi	7 mars
cibma'i 8moi	8 mars
cibma'i 4moi	4 mars
cibma'i 10moi	10 mars
cibma'i 11moi	11 mars
cibma'i 6moi	6 mars
cibma'i 13moi	13 mars
cibma'i 9moi	9 mars
cibma'i 12moi	12 mars
cibma'i 15moi	15 mars
cibma'i 14moi	14 mars
cibma'i 16moi	16 mars
cibma'i 17moi	17 mars
cibma'i 18moi	18 mars
cibma'i 19moi	19 mars
1989moi	1989
1988moi	1988
cibma'i 20moi	20 mars
1987moi	1987
1986moi	1986
1985moi	1985
1984moi	1984
cibma'i 21moi	21 mars
1983moi	1983
cibma'i 22moi	22 mars
1982moi	1982
1981moi	1981
1980moi	1980
cibma'i 23moi	23 mars
xiouz.of.mait.and.madjik to 5moi toi	Heroes of Might and Magic V
cibma'i 24moi	24 mars
cibma'i 25moi	25 mars
cibma'i 26moi	26 mars
cibma'i 27moi	27 mars
cibma'i 28moi	28 mars
cibma'i 29moi	29 mars
cibma'i 30moi	30 mars
cibma'i 31moi	31 mars
1970moi	1970
1971moi	1971
1972moi	1972
1973moi	1973
1974moi	1974
1975moi	1975
1976moi	1976
1977moi	1977
1978moi	1978
1969moi	1969
vonma'i 15moi	15 april
vonma'i 13moi	13 april
vonma'i 12moi	12 april
vonma'i 14moi	14 april
vonma'i 11moi	11 april
vonma'i 10moi	10 april
vonma'i 8moi	8 april
vonma'i 9moi	9 april
vonma'i 7moi	7 april
vonma'i 6moi	6 april
vonma'i 5moi	5 april
vonma'i 4moi	4 april
vonma'i 3moi	3 april
vonma'i 1moi	1 april
vonma'i 2moi	2 april
vonma'i 16moi	16 april
vonma'i 17moi	17 april
vonma'i 18moi	18 april
vonma'i 19moi	19 april
vonma'i 20moi	20 april
vonma'i 21moi	21 april
vonma'i 22moi	22 april
vonma'i 23moi	23 april
vonma'i 24moi	24 april
vonma'i 25moi	25 april
vonma'i 26moi	26 april
vonma'i 27moi	27 april
vonma'i 28moi	28 april
vonma'i 29moi	29 april
vonma'i 30moi	30 april
mumyma'i 1moi	1 maj
mumyma'i 2moi	2 maj
mumyma'i 3moi	3 maj
mumyma'i 4moi	4 maj
mumyma'i 5moi	5 maj
mumyma'i 6moi	6 maj
mumyma'i 7moi	7 maj
mumyma'i 8moi	8 maj
mumyma'i 29moi	29 maj
xavma'i 6moi	6 juni
xavma'i 1moi	1 juni
1968moi	1968
1967moi	1967
1966moi	1966
1965moi	1965
1964moi	1964
xavma'i 29moi	29 juni
arnold. cyvartseneger	Arnold Schwarzenegger
zelma'i 2moi	2 juli
zelma'i 4moi	4 juli
zelma'i 1moi	1 juli
1963moi	1963
pavrelma'i 26moi	26 december
1962moi	1962
bivma'i 24moi	24 augusti
fraiburg	Freiburg im Breisgau
marna snexu'i	Cannabis
sozma'i 26moi	26 september
antuan. dy. sant,egzuperis	Antoine de Saint-Exupéry
pavrelma'i 31moi	31 december
pavnonma'i 29moi	29 oktober
pavypavma'i 8moi	8 november
pavypavma'i 2moi	2 november
xunre	Röd
.ganymid.	Ganymedes (måne)
anil. zei rirxe	Nilen
1961moi	1961
1960moi	1960
amazonas. zei rirxe	Amazonfloden
Wikipedia:ciptumla	Wikipedia:Sandlådan
alxebra	Algebra
remna xadyske	Människans anatomi
rirxe	Flod
kuritcibas	Curitiba
pitr.djeksyn	Peter Jackson
kongzi	Konfucius
korbin blys	Corbin Bleu
Category:cmaci	Kategori:Matematik
ronru'u	Euro
mijytu'a xamsi	Medelhavet
xi'ojda	Kristendom
Template:zdotu'a	Mall:Asien
rismi	Ris
braplu	Världsdelar och kontinenter
cipni	Fåglar
monZON	Monzón
masti	Månad
1948moi	1948
1949moi	1949
almaZAN	Almazán
Huang Xianfan	Huang Xianfan
1956moi	1956
1941moi	1941
1945moi	1945
1958moi	1958
1926moi	1926
1947moi	1947
1944moi	1944
1952moi	1952
krilytabno	Diamant
bil. geits	Bill Gates
ponbau	Japanska
ralju ckupau	Portal:Huvudsida
1959moi	1959
pistabno	Grafit
1957moi	1957
siberias	Sibirien
baikal. zei lalxu	Bajkalsjön
mitcelyngelos	Michelangelo
makax	Mecka
tces.gevaras	Che Guevara
ma'os. dzedon.	Mao Zedong
vibna	Slida
pijyske	Filosofi
Category:sutra vimcu	Kategori:Snabbraderingar
pipno	Piano
tcati	Te
kaurpo'esi'o	Kommunism
nonje'asi'o	Anarkism
viltrusi'o	Fascism
gugde	Land
1452moi	1452
1453moi	1453
Category:kesyske	Kategori:Astronomi
Stanisław Lem	Stanisław Lem
sa'aras.zei kutytu'a	Sahara
jgita	Gitarr
karl.fridrix.gaus	Carl Friedrich Gauss
1627moi	1627
1807moi	1807
1809moi	1809
19xyxymoi	1900-talet
1725moi	1725
1812moi	1812
20xyxymoi	2000-talet
1814moi	1814
1815moi	1815
18xyxymoi	1800-talet
17xyxymoi	1700-talet
15moi na'acto	1400-talet
caurceisi'o	Ateism
emis.nyter	Emmy Noether
friko gunma	Afrikanska unionen
ginske	Genetik
plajva	Politik
roltrusi'o	Demokrati
maris.kuris	Marie Curie
aleksandr. puckin	Aleksandr Pusjkin
jmive	Organism
mark.tuein	Mark Twain
.alan turin	Alan Turing
cemtrusi'o	Socialism
tadjycolnunte'a	Terrorism
kristoforos.kolombos.	Christofer Columbus
ernan.kortes	Hernán Cortés
.iuxil.gygaxin.	Jurij Gagarin
banli lalxu	Stora sjöarna
dzipo braxamsi	Antarktiska oceanen
kerlo	Öra
nazbi	Nos
kanla	Öga
mabru	Däggdjur
ritcard. stalman	Richard Stallman
rirni	Förälder
1830moi	1830
1831moi	1831
1743moi	1743
1834moi	1834
1836moi	1836
leonard.euler	Leonhard Euler
1848moi	1848
1683moi	1683
1852moi	1852
1691moi	1691
1862moi	1862
1780moi	1780
1869moi	1869
rukybau	Ryska
1782moi	1782
1870moi	1870
flalu	Juridik
zginroknro	Rock'n'roll
1788moi	1788
xelso citri	Greklands historia
nanba	Bröd
1794moi	1794
1882moi	1882
1885moi	1885
1887moi	1887
jugbau	Kinesiska
ji'esle	Cell
fepri	Lunga
samselkei	Datorspel
ctuske	Pedagogik
samsmacu	Datormus
rarske	Naturvetenskap
tedyske	Geovetenskap
.uinstyn. tcyrtcil.	Winston Churchill
dilnu	Moln
logji	Logik
gerna	Grammatik
vlile carna xamsi brife	Tropisk cyklon
nintendos	Nintendo
dinske	Nationalekonomi
bauske	Språkvetenskap
zdosible'u	Kinesiska tecken
latmo lerfu	Latinska alfabetet
Category:bulgarias	Kategori:Bulgarien
Category:fasygu'e	Kategori:Frankrike
Category:zgike	Kategori:Musik
zgirjazu	Jazz
remce'u	Samhälle (sociologi)
lanzu	Familj
nanmu	Man
remna selcru	Mänskliga rättigheter
selbaise'u	Slaveri
ckafi	Kaffe
ladru	Mjölk
cmana	Berg
simon.bolivar	Simón Bolívar
rios. dis. djaneiros	Rio de Janeiro
canxais.	Shanghai
euklides	Euklides
jo'anes. kepler.	Johannes Kepler
maks.plank	Max Planck
kuarizmis	Muhammad ibn Musa al-Khwarizmi
nom.tcomskis	Noam Chomsky
karl. marks	Karl Marx
volter	Voltaire
ratni	Atom
gusni	Ljus
xesybau	Grekiska
samplabau	Programspråk
bangrmalti	Maltesiska
lijda	Religion
rynes dekart	René Descartes
zikmunt. freut.	Sigmund Freud
lijdrdjaina	Jainism
.adam. smit.	Adam Smith
ractu	Kaniner
menske	Psykologi
braxamsi	Ocean
sidartas.gautamas	Buddha
marde	Etik
vasxu	Andning
bybycys	BBC
moklu	Mun
canti	Mag- och tarmkanalen
lerfu	Bokstav
Ronald Reagan	Ronald Reagan
bangrklingo	Klingonska
kampindi	Fattigdom
kanba solgrixra	Stenbocken (stjärnbild)
jaurbei solgrixra	Vattumannen (stjärnbild)
Category:benesuel	Kategori:Venezuela
dikni selratni cartu	Periodiska systemet
respa	Kräldjur
banfi	Groddjur
skoselti'e	Ryggsträngsdjur
sutra binxo	Revolution
cirla	Ost
sakta	Socker
mi'irlarcu	Teknologi
fonxa	Telefon
kulnu	Kultur
xukmi veljmina	Kemisk förening
sapme'ocmaci	Aritmetik
Category:razgu'e	Kategori:Brasilien
Category:romanias	Kategori:Rumänien
selratni	Grundämne
fancu	Funktion
xumsle	Molekyl
dicmakseldi'e	Elektromagnetisk strålning
maircpukai	Gravitation
gos	Go (brädspel)
skina	Film
jinme	Metall
gasta	Stål
gapci	Gas
sligu	Fast form
sance	Ljud
cipra	Matematiskt bevis
namcu	Tal
relcimdyna'u	Komplexa tal
mitre	Meter
snidu	Sekund
zumri	Majs
kelvo	Kelvin
cintylarcu	Målarkonst
dansu	Dans
rutni menli	Artificiell intelligens
uuxan	Wuhan
gugde liste	Lista över självständiga stater
prucitri	Förhistorisk tid
rokci cedra	Stenåldern
ransu cedra	Bronsåldern
cribe	Björnar
tixa	Tychy
gurni	Sädesslag
madjan	Mahjong
cripu	Bro
silna	Salter
treci'e	Internationella måttenhetssystemet
nacycmaci	Talteori
jungo ke banli bitmu	Kinesiska muren
mulna'u	Heltal
la'ortu'a	Latinamerika
mexygu'e xamsi	Mexikanska golfen
cladakyxa'i	Svärd
remoi me la fernandos. pe la .aragon	Ferdinand II av Aragonien
pavycimdyna'u	Reella tal
frederik. bastias	Frédéric Bastiat
drupepa	Stenfrukt
djirafa	Giraff
sofygu'e	Sovjetunionen
selrunme	Smältpunkt
Queen	Queen
rober.cuman	Robert Schuman
Template:Link FA	Mall:Link FA
konstantinupolis	Konstantinopel
monopolis	Monopol (spel)
tibet	Tibet
strutione	Struts
dcosyn/xanguk	Korea
1927moi	1927
djeims.kuk.braun	James Cooke Brown
1955moi	1955
1954moi	1954
1953moi	1953
1951moi	1951
1950moi	1950
1946moi	1946
1943moi	1943
1942moi	1942
1940moi	1940
1939moi	1939
1937moi	1937
1936moi	1936
1934moi	1934
1933moi	1933
1932moi	1932
1930moi	1930
mlijilkle	Alkalisk jordartsmetall
binjimkle	Övergångsmetall
klirylei	Halogen
luvr	Louvren
1928moi	1928
xindo ropno bangu	Indoeuropeiska språk
tirxu	Tiger
cidjrspageti	Spaghetti
bertu'a	Skandinavien
samske	Datavetenskap
kacna'u	Naturliga tal
sornai bacru alfabeta	Internationella fonetiska alfabetet
sovmabru	Kloakdjur
ctile	Petroleum
lalxu	Insjö
di,orsais. zei muzga	Musée d’Orsay
remske	Antropologi
daplu	Ö (landområde)
blabi	Vit
paltoga	Paltoga
997moi	997
stedu	Huvud
timske	Meteorologi
jacke'o	Grad Celsius
sirenias	Sirendjur
troneim	Trondheim
1xyxyxymoi	1000-talet (millennium)
0xyxyxymoi	0000-talet (millennium)
1812moi nanca jamna	1812 års krig
2xyxyxymoi	2000-talet (millennium)
pifcpi	Näshornsfåglar
jmive remske	Fysisk antropologi
beryrontu'a	Nordeuropa
mijropno	Centraleuropa
selpliske	Tillämpad vetenskap
paiton	Python (programspråk)
denmi	Densitet
pinpedi	Sälar
avril.lavin	Avril Lavigne
tunba	Syskon
sumji	Addition
runbau	Konstgjorda språk
pardali	Ozelot
lev. trotskis	Lev Trotskij
cionmau la barda	Jättepanda
bercribe	Isbjörn
rarbau	Naturligt språk
pidjni	Pidginspråk
plugri	Ögrupp
fla,ui,us.klaudius.iulianus	Julianus Apostata
xeldraci	Skådespelare
fla,ui,us.klaudius.io,ui,anus	Jovianus
la by sy dy poi gubni	OpenBSD
zgitci	Musikinstrument
zbabu	Tvål
198xymoi	1980-talet
199xymoi	1990-talet
makfartci	Kompass
rutrpaupau	Papaya
200xymoi	2000-talet (decennium)
liste be lo merja'a	Lista över USA:s presidenter
nikitas. xrucof.	Nikita Chrusjtjov
rabybau	Araber
titikakas. zei lalxu	Titicacasjön
voksnaske	Fonetik
192moi na'ardekto	1920-talet
marji	Materia
bambusa	Bambu
interlingua	Interlingua
mleske	Estetik
finci'a	Skribent
lojban.	Lojban
loglan	Loglan
ctemidju	Midnatt
ki'orna'a	Millennium
zgifi'i	Kompositör
rianys	Rihanna
tokiponas	Toki pona
volapuk	Volapük
Tociro Mifune	Toshiro Mifune
zgirpopu	Popmusik
alzaitu	Olivträd
boxna	Vågrörelse
preske	Lärare
genlalske	Syntax
zunsna	Konsonant
zatsi'o	Existentialism
nobel.zei termu'eske velne'u	Nobelpriset i fysik
rafske	Morfologi (lingvistik)
184moi na'ardekto	1840-talet
ka sezga'o	Autism
remna kamfarvi namcu	Human Development Index
smuske	Semantik
lastu	Mässing
dekna'a	Decennium
selpinxe	Dryck
jordo rirxe	Jordan
vraga	Hävstång
merko jecta vlile binxo fasnu	Amerikanska frihetskriget
odbenu	Valross
snage'a	Fonologi
kurt.gedyl	Kurt Gödel
dujro'i	Magmatisk bergart
biork	Björk (musiker)
be'ejda be lei fanmo djedi cespre bei la iecy,ys.krist	Jesu Kristi Kyrka av Sista Dagars Heliga
trixexo	Manater
dikca mi'irlarcu	Elektroteknik
kantrbocuni	Boson
xasyske	Oceanografi
mataios	Matteus
mu'amad.djunus	Muhammad Yunus
ranmi	Legend
ritcard.dokinz	Richard Dawkins
gynus	GNU
182moi na'ardekto	1820-talet
imazixen	Berber
The Doors	The Doors
rikteropu	Jordsvin
fla,ui,us.iulius konstantius	Constantius II
ma'arlinsi	Bergskedja
djosef.smit	Joseph Smith
auskalerik	Baskien
grin.deis	Green Day
363moi	363
fedoras	Fedora (linuxdistribution)
nalfendi kacna'u	Primtal
Template:selro'i datyta'e	Mall:Infobox mineral
Template:Taxobox	Mall:Taxobox
jbonunsla	Cykelsport
toiotas	Toyota
visbis	Visby
astrid. lindgren	Astrid Lindgren
sambau	Maskinkod
gombesa	Tofsstjärtfiskar
rafsi	Affix
.siluren. cedran.	Silur
la glico selmikce	Den engelske patienten
.devon. cedran.	Devon (period)
karl. von. klausevits	Carl von Clausewitz
me la napoleon nunjamna	Napoleonkrigen
sampla	Programmering
tcimpazi	Schimpanser
aris.puakares	Henri Poincaré
bolci danti cecla xarci	Kanon
nimre	Citrussläktet
akenatyn	Akhenaton
onkapi	Okapi
cmevla	Egennamn
nalre'ucti	Vegetarianism
oradeas	Oradea
nalvelganzu sligu	Amorf struktur
fu'ivla	Lånord
rokci pelji jinci	Sten, sax, påse
gismu	Ordstam
namsos	Namsos kommun
kalkopairait	Kopparkis
condi jorne xamsi	Djuphavsgrav
mivyfu'i	Kloning
1036 .ganymed.	1036 Ganymed
snanilsutra	Ljudhastighet
nikolaus.lobatceskis	Nikolaj Lobatjevskij
ketlete	Body Mass Index
konstantius.xlorus	Constantius I Chlorus
me la .OIdipus. stura	Oidipuskomplex
.ganymidis.	Ganymedes
cange	Gård
befsraku	Seppuku
iosef.ben.matitia'uv	Josefus
kumte	Kameldjur
sordaivla	Plural
Wikipedia:galfi lo ckupau ta'i ma kau	Wikipedia:Redigering
moresnet	Moresnet
spatrmeliace	Meliaceae
mari'an.re'iefskis	Marian Rejewski
euklidi tamcmaci	Euklidisk geometri
prolog	Prolog (programspråk)
kauntyr. straik	Counter-Strike
starkraft	Starcraft
nunjamna le gligu'e la zanzibar	Anglo-zanzibariska kriget
Nagardjunas	Nagarjuna
fi'orxruki	Pärlhöns
cagyske	Lantbruksvetenskap
voncimdyna'u	Kvaternion
nikaraguas. zei lalxu	Nicaraguasjön
cevni	Gudom
mluske to pijyske	Fenomenologi
tabra	Bleckblåsinstrument
cicna	Cyan
banpliske	Pragmatik
baklanme	Myskoxe
vlaba'u	Uttal
gerna selcni	Modus
ve'erze'erna'u	Fält (fysik)
banli vlile carna xamsi brife de'i 1780moi nanca	Stora orkanen 1780
ponslakyle'u	Kana (skriftsystem)
teingyld.	Trassel (film)
gramin. zei banxa	Grameen Bank
bancuvysi'o	Språkrensning
.i mi pacna da	I Have a Dream
ka'o	Imaginära enheten
peljma daskysmacu	Antechinus flavipes
latmo veldetri	Romerska kalendern
rafael.del.riegos	Rafael del Riego
poxiol	Pohjola
finpre	Uppfinnare
detri	Datum
dat.seventiz.cous	That '70s Show
la cabna cedra	Vår tideräkning
la uigyn	Wigan
1812moi nanca bancu zgike sidbo selfinti	1812 (ouvertyr)
dys.uar.yv.dys.uyrldz.	Världarnas krig
nu damba befi la berstici	Kampen om Wesnoth
