አፍሪቃ	Afrika
ጀርመን	Tyskland
ቤላሩስ	Vitryssland
ጀርመንኛ	Tyska
አይስላንድ	Island
እግዚአብሔር	Gud
ኤስቶኒያ	Estland
ማህፈድ	Saturnus
አውሮፕላን	Flygplan
0	0 (tal)
አዕላፍ	Oändlighet
ጆርጅ ደብሊዩ ቡሽ	George W. Bush
ላትቪያ	Lettland
ዩክሬን	Ukraina
ቼክ ሪፐብሊክ	Tjeckien
ስሎቫኪያ	Slovakien
ስሎቬኒያ	Slovenien
ቪልኒውስ	Vilnius
ሞልዶቫ	Moldavien
ሮማንያ	Rumänien
ቡልጋሪያ	Bulgarien
ሮማ	Rom
የመቄዶንያ ሬፑብሊክ	Makedonien
አልባኒያ	Albanien
ግሪንላንድ	Grönland
ክሮኤሽያ	Kroatien
ቦስኒያና ሄርጸጎቪና	Bosnien och Hercegovina
አዘርባይጃን	Azerbajdzjan
አንዶራ	Andorra
ቆጵሮስ	Cypern
ጂዮርጂያ	Georgien
ካዛክስታን	Kazakstan
ማልታ	Malta
ሞናኮ	Monaco
ሞንቴኔግሮ	Montenegro
ቫቲካን ከተማ	Vatikanstaten
ሳን ማሪኖ (አገር)	San Marino
ብሩክሴል	Bryssel (region)
ኩባ	Kuba
ቤሊዝ	Belize
ባርቤዶስ	Barbados
ጃቫ	Java (programspråk)
ኢንዶኔዥያ	Indonesien
ቮልፍጋንግ አማዴኡስ ሞፃርት	Wolfgang Amadeus Mozart
ሉድቪግ ቫን ቤትሆቨን	Ludwig van Beethoven
ቱርክኛ	Turkiska
ደቡብ አፍሪካ	Sydafrika
አልጄሪያ	Algeriet
ኡዝቤኪስታን	Uzbekistan
ታሽኬንት	Tasjkent
ዋርሶው	Warszawa
ውሃ	Vatten
እንጨት	Trä
ቴሌቪዥን	Television
ቺሌ	Chile
ኢየሱስ	Jesus
ኤልቭስ ፕሬስሊ	Elvis Presley
ጋሊልዮ	Galileo Galilei
ኣጣርድ	Merkurius
ታሪክ	Historia
አፕል ኮርፖሬሽን	Apple Inc.
ዘሃራ	Venus
ቋንቋ	Språk
ፍቅር	Kärlek
ጁፒተር	Jupiter
ሚሼል ባቼሌት	Michelle Bachelet
ሚልኪ ዌይ	Vintergatan
ኡራኑስ	Uranus
ኒኮላ ሳርኮዚ	Nicolas Sarkozy
ነፕቲዩን	Neptunus
ሥነ ፈለክ	Astronomi
ሲንጋፖር	Singapore
ሳይንስ	Vetenskap
ፕሉቶ	Pluto
ሞንትሬያል	Montréal
ማርያም	Jungfru Maria
ሊክተንስታይን	Liechtenstein
ስፖርት	Sport
አዶልፍ ሂትለር	Adolf Hitler
ፌስቡክ	Facebook
የመጀመሪያው የዓለም ጦርነት	Första världskriget
2ኛው ዓለማዊ ጦርነት	Andra världskriget
ኮልን	Köln
ሰአት (መሳሪያ)	Ur
ኡቡንቱ	Ubuntu
ስኮፕዬ	Skopje
ሊኑክስ	Linux
ትምህርተ ሂሳብ	Matematik
ሮማይስጥ	Latin
ባሕሬን	Bahrain
አርመኒያ	Armenien
ሰርቢያ	Serbien
ጨረቃ	Månen
ኢስታንቡል	Istanbul
አውስትራልያ	Australien
ቦብ ማርሊ	Bob Marley
የተፈጥሮ ሕግጋት ጥናት	Fysik
አርጀንቲና	Argentina
ፔሩ	Peru
ሥነ ሕይወት	Biologi
ሰሜን ኮርያ	Nordkorea
ካምቦዲያ	Kambodja
ቁርአን	Koranen
እስልምና	Islam
ልዩብልያና	Ljubljana
ለክ ቫለሳ	Lech Wałęsa
ድኒ ዲድሮ	Denis Diderot
ልዮን	Lyon
አውሮፓ ህብረት	Europeiska unionen
ሶፊያ	Sofia
ሚላኖ	Milano
አርተር ራምቦ	Arthur Rimbaud
ቶሪኖ	Turin
ሎሚ	Citron
ስተንዳል	Stendhal
666 እ.ኤ.አ.	666
ኤቨረስት ተራራ	Mount Everest
ከተማ	Stad
ናፖሌዎን ቦናፓርት	Napoleon I
ኮኮብ	Stjärna
ደብረ ቬሱቪዩስ	Vesuvius
ፀሐይ	Solen
ሰማይ	Himmel
ሉዊ ፓስቴ	Louis Pasteur
የብርሃን ዓመት	Ljusår
ቪክቶር ኢውጎ	Victor Hugo
ኦሺያኒያ	Oceanien
የፀሐይ ሥርዓተ ፈለክ	Solsystemet
ባልቲክ ባሕር	Östersjön
ቪስቱላ ወንዝ	Wisła
ጥርስ	Tänder
ሃይድሮጅን	Väte
ሒሊየም	Helium
አንጌላ መርክል	Angela Merkel
ሊቲየም	Litium
ቤሪሊየም	Beryllium
ቀን	Dygn
ምሥራቅ ቲሞር	Östtimor
ሌሊት	Natt
አመት	År
ሞን ብላን	Mont Blanc
ራይን ወንዝ	Rhen
ኦስሎ	Oslo
ቦን	Bonn
ካቶቪጸ	Katowice
ሊዝቦን	Lissabon
ሮን ወንዝ	Rhône
ዱባይ	Dubai
ሊዮኔል ሜሲ	Lionel Messi
ቦሮን	Bor
ኒኮላውስ ኮፐርኒኩስ	Nicolaus Copernicus
ካርቦን	Kol
ቮልጋ ወንዝ	Volga
ናይትሮጅን	Kväve
ኦክሲጅን	Syre
ፕላኔት	Planet
ሙዚቃ	Musik
ቬኒስ	Venedig
ፖ ወንዝ	Po
ሞስኮ	Moskva
ፍሎሪን	Fluor
ጣልያንኛ	Italienska
ኒዮን	Neon
ሳንክት ፔቴርቡርግ	Sankt Petersburg
ቻድ	Tchad
ሶዲየም	Natrium
ሰሜን	Norr
ማግኒዥየም	Magnesium
አሉምንም	Aluminium
ኒው ዚላንድ	Nya Zeeland
ደቡብ	Söder
ህንድ	Indien
ሲልከን	Kisel
ፍራንሺየም	Francium
ቱቫሉ	Tuvalu
ዋንፒስ	One Piece (serie)
ፎስፈረስ	Fosfor
ብረት	Järn
ቶንጋ	Tonga
ምዕራብ	Väster
ድኝ	Svavel
ሳሞዓ	Samoa
ምሥራቅ	Öster
ሰለሞን ደሴቶች	Salomonöarna
ቫኑአቱ	Vanuatu
ሞሊዬር	Molière
ክሎሪን	Klor
ፓፑዋ ኒው ጊኒ	Papua Nya Guinea
ሼክስፒር	William Shakespeare
ፐላው	Palau
አርገን	Argon
ናውሩ	Nauru
ሞዚላ ፋየርፎክስ	Mozilla Firefox
ማይክሮኔዥያ	Mikronesiens federerade stater
ፖታሺየም	Kalium
ካልሲየም	Kalcium
እርሳስ	Bly
ማርሻል ደሴቶች	Marshallöarna
ኪሪባስ	Kiribati
ሞንጎልያ	Mongoliet
ፊጂ	Fiji
ስካንዲየም	Skandium
ቲታኒየም	Titan
ቬኔዝዌላ	Venezuela
ሰንጠረዥ	Schack
ቺንግስ ካን	Djingis khan
ቫናዲየም	Vanadin
መይን	Maine
ክሮሚየም	Krom
ፈረስ	Häst
አምስተርዳም	Amsterdam
እንስሳ	Djur
ሱሪናም	Surinam
ማንጋኒዝ	Mangan
ፓራጓይ	Paraguay
ጋያና	Guyana
ኤኳዶር	Ecuador
ሬኒየም	Rhenium
ኮሎምቢያ	Colombia
ኮባልት	Kobolt
ተንግስተን	Volfram
ኒኬል	Nickel
ቡዲስም	Buddhism
ቦሊቪያ	Bolivia
ኦስሚየም	Osmium
መዳብ	Koppar
ትሪኒዳድና ቶቤጎ	Trinidad och Tobago
ሰይንት ቪንሰንትና ዘ ግረነዲንዝ	Saint Vincent och Grenadinerna
ዚንክ	Zink
ኒው ሃምፕሸር	New Hampshire
ሰይንት ሉሻ	Saint Lucia
ሊዮናርዶ ዳቬንቺ	Leonardo da Vinci
ሰይንት ኪትስና ኒቨስ	Saint Kitts och Nevis
ፈንገስ	Svampar
ጃማይካ	Jamaica
ግረነይዳ	Grenada
ማሣቹሰትስ	Massachusetts
ጓቴማላ	Guatemala
ባሃማስ	Bahamas
ኮነቲከት	Connecticut
ዶሮ	Tamhöna
አንቲጋ እና ባርቡዳ	Antigua och Barbuda
ሃዋኢ	Hawaii
ሆንዱራስ	Honduras
ዶመኒካ	Dominica
ዶሚኒካን ሪፐብሊክ	Dominikanska republiken
ኣሳማ	Gris
አርክቲክ ውቅያኖስ	Norra ishavet
ሃይቲ	Haiti
ኤል ሳልቫዶር	El Salvador
ፋርስ	Iran
ኢራቅ	Irak
አላስካ	Alaska
ኮስታ ሪካ	Costa Rica
እስራኤል	Israel
ፓናማ	Panama
የመን (አገር)	Jemen
ቫይረስ	Virus
ፖልኛ	Polska
ዮርዳኖስ	Jordanien
ኒካራጓ	Nicaragua
ፍሎሪዳ	Florida
ኪርጊዝስታን	Kirgizistan
አሪዞና	Arizona
ኩዌት (አገር)	Kuwait
ላዎስ	Laos
ሊባኖስ	Libanon
ኦረጎን	Oregon
ማልዲቭስ	Maldiverna
አሜሪካዎች	Amerika
ዩታህ	Utah
ላም	Nötkreatur
ማሌዢያ	Malaysia
ምየንማ	Burma
ኔፓል	Nepal
ኦማን	Oman
ፓኪስታን	Pakistan
ቃጣር	Qatar
ሳዑዲ አረቢያ	Saudiarabien
ሽሪ ላንካ	Sri Lanka
ጆሴፍ ስታሊን	Josef Stalin
ሶርያ	Syrien
ፕላቶ	Platon
ጋሊየም	Gallium
ታጂኪስታን	Tadzjikistan
የቻይና ሪፐብሊክ	Taiwan
ዩ ቱብ	Youtube
ጀርማኒየም	Germanium
አሪስጣጣሊስ	Aristoteles
ታይላንድ	Thailand
ባቡር	Tåg
አርሰኒክ	Arsenik
ራዲዮ	Radio
ቱርክመኒስታን	Turkmenistan
ሴሊኒየም	Selen
ኢሪዲየም	Iridium
የተባበሩት የዓረብ ግዛቶች	Förenade Arabemiraten
ብሮሚን	Brom
ፕላቲነም	Platina
ቬት ናም	Vietnam
ቻርሊ ቻፕሊን	Charlie Chaplin
ደቡብ ኮርያ	Sydkorea
ክሪፕተን	Krypton
አፍጋኒስታን	Afghanistan
ሩቢዲየም	Rubidium
ወርቅ	Guld
ባንግላዴሽ	Bangladesh
ፍራንዝ ካፍካ	Franz Kafka
ማሊ	Mali
ሶቅራጠስ	Sokrates
አንጎላ	Angola
ቡታን	Bhutan
ብሩናይ	Brunei
ታንዛኒያ	Tanzania
ባዜቃ	Kvicksilver
ፊሊፒንስ	Filippinerna
የመካከለኛው አፍሪካ ሪፐብሊክ	Centralafrikanska republiken
ታሊየም	Tallium
አይሳክ ኒውተን	Isaac Newton
አልበርት አይንስታይን	Albert Einstein
ስትሮንቲየም	Strontium
ይትሪየም	Yttrium
ቢስመዝ	Vismut
ቢጫ	Gul
ቶጎ	Togo
ቱኒዚያ	Tunisien
ዛምቢያ	Zambia
ዚምባብዌ	Zimbabwe
ቤዪጂንግ	Peking
ደቡብ ሱዳን	Sydsudan
ቤኒን	Benin
ቦትስዋና	Botswana
ቡርኪና ፋሶ	Burkina Faso
ቡሩንዲ	Burundi
ኮሞሮስ	Komorerna
ኮንጎ ሪፐብሊክ	Kongo-Brazzaville
ኮንጎ ዲሞክራሲያዊ ሪፐብሊክ	Kongo-Kinshasa
ጅቡቲ	Djibouti
ፖሎኒየም	Polonium
ባቫሪያ	Bayern
ኢኳቶሪያል ጊኔ	Ekvatorialguinea
ባደን-ቩርተምቡርግ	Baden-Württemberg
ኤርትራ	Eritrea
ኒው ዴሊ	New Delhi
ፍዮዶር ዶስቶየቭስኪ	Fjodor Dostojevskij
ትብሊሲ	Tbilisi
አስታታይን	Astat
ጋቦን	Gabon
ማህተማ ጋንዲ	Mahatma Gandhi
ጋምቢያ	Gambia
ጊኔ	Guinea
ጊኔ-ቢሳው	Guinea-Bissau
ኮት ዲቯር	Elfenbenskusten
ካሜሩን	Kamerun
ኬፕ ቨርድ	Kap Verde
ሌሶቶ	Lesotho
ላይቤሪያ	Liberia
ሊቢያ	Libyen
ማዳጋስካር	Madagaskar
ማላዊ	Malawi
ሽቱትጋርት	Stuttgart
ሞሪታኒያ	Mauretanien
ሞሪሸስ	Mauritius
ሞሮኮ	Marocko
ሞዛምቢክ	Moçambique
ናሚቢያ	Namibia
ፍራንስ ፕረሸረን	France Prešeren
ኒጄር	Niger
ናይጄሪያ	Nigeria
ቻርልስ ዳርዊን	Charles Darwin
ዩጋንዳ	Uganda
ሩዋንዳ	Rwanda
ዚርኮኒየም	Zirkonium
ሳን ቶሜ እና ፕሪንሲፔ	São Tomé och Príncipe
ሴኔጋል	Senegal
ሲሸልስ	Seychellerna
ካርል ሊኒዩስ	Carl von Linné
ሴየራ ሌዎን	Sierra Leone
ሶማሊያ	Somalia
ኒዮቢየም	Niob
ዩሊዩስ ቄሳር	Julius Caesar
ሱዳን	Sudan
ስዋዚላንድ	Swaziland
ቀስተ ደመና	Regnbåge
ሞሊብዴነም	Molybden
ቴክኔቲየም	Teknetium
ሃምቡርግ	Hamburg
ዝግመተ ለውጥ	Evolution
የተባበሩት መንግሥታት ድርጅት	Förenta nationerna
ዳንቴ አሊጊዬሪ	Dante Alighieri
መሬት ጥናት (ጂዮሎጂ)	Geologi
መልክዓ ምድር	Geografi
ልብ	Hjärta
አንጎል	Hjärna
ቆዳ	Hud
ቀለም	Färg
ፕራግ	Prag
ሩቴኒየም	Rutenium
ሮዲየም	Rodium
ሰማያዊ	Blå
ፓላዲየም	Palladium
ብር (ብረታብረት)	Silver
ካድሚየም	Kadmium
ኢንዲየም	Indium
ቆርቆሮ	Tenn
ዩራኒየም	Uran
ኩል	Antimon
ቴሉሪየም	Tellur
ፕሉቶኒየም	Plutonium
አዮዲን	Jod
ኔፕቲዩኒየም	Neptunium
ዜኖን	Xenon
አኒሜ	Anime
ሴሲየም	Cesium
ፕሮታክቲኒየም	Protaktinium
ቻርጅ	Elektrisk laddning
ባሪየም	Barium
ቶሪየም	Torium
ሀፍኒየም	Hafnium
አክቲኒየም	Aktinium
ታንታለም	Tantal
ቢል ክሊንተን	Bill Clinton
ራዲየም	Radium
ራዶን	Radon
ሎሬን	Lorraine
ኢንድራ ጋንዲ	Indira Gandhi
ሙምባይ	Bombay
ሚሺጋን	Michigan
ፕዌርቶ ሪኮ	Puerto Rico
ኖርድራይን-ቬስትፋለን	Nordrhein-Westfalen
ኢሊኖይ	Illinois
ኖርዝ ዳኮታ	North Dakota
ብራንደንቡርግ	Brandenburg
ደቡብ ዳኮታ	South Dakota
ሞንታና	Montana
ዋዮሚንግ	Wyoming
እየሩሳሌም	Jerusalem
አይዳሆ	Idaho
ዋሽንግተን (ክፍላገር)	Washington (delstat)
ሩተርፎርዲየም	Rutherfordium
ነቫዳ	Nevada
ዶን ወንዝ	Don (flod)
ዱብኒየም	Dubnium
ሲቦርጂየም	Seaborgium
ሕንድ ውቅያኖስ	Indiska oceanen
ኮሶቮ	Kosovo
ካሪቢያን ባሕር	Karibiska havet
ቦህሪየም	Bohrium
ሀሲየም	Hassium
ሊጉርያ	Ligurien
ሜይትኔሪየም	Meitnerium
ኮሎራዶ	Colorado
ዳርምስታድቲየም	Darmstadtium
ሮየንቴኒየም	Röntgenium
ኮፐርኒኪየም	Copernicium
መደብ:Project	Kategori:Topp
ሺካጎ	Chicago
ዘ ቢተልስ	The Beatles
ዩነንትሪየም	Ununtrium
ፍሌሮቪየም	Flerovium
ዩነንፔንቲየም	Ununpentium
ሊቨርሞሪየም	Livermorium
ዩነንሴፕቲየም	Ununseptium
ዩነኖክቲየም	Ununoktium
ሳዳም ሁሴን	Saddam Hussein
ቢን ላዲን	Usama bin Ladin
እስፓንኛ	Spanska
ሞንቴቪዴዎ	Montevideo
ዮሐን ሴባስትያን ባክ	Johann Sebastian Bach
ፊላዴልፊያ	Philadelphia
ኮልካታ	Calcutta
ዴሊ	Delhi
ዳካ	Dhaka
ኢስላማባድ	Islamabad
ፍራፍሬ	Frukt
ገንዘብ	Pengar
ቨርጂኒያ	Virginia
ዌስት ቨርጂኒያ	West Virginia
ኒው ዮርክ	New York (delstat)
ሴሪየም	Cerium
ፕራሲዮዲሚየም	Praseodym
ሮድ አይላንድ	Rhode Island
ኒዮዲሚየም	Neodym
ሦስት አጽቄ	Insekter
ሜሪላንድ	Maryland
ዴላዌር	Delaware
ቭላዲሚር ሌኒን	Vladimir Lenin
ኢዩሮፒየም	Europium
ኦሃዮ	Ohio
ዌርጊሊዩስ	Vergilius
ፔንስልቬኒያ	Pennsylvania
ኢውተዘን	Uetersen
አውግስጦስ	Augustus
ኒው ጄርዚ	New Jersey
ካሊጎላ	Caligula
ጅብራልታር	Gibraltar
ፊንኛ	Finska
ኢንዲያና	Indiana
ቤስጳስያን	Vespasianus
መኪና	Bil
ዩቬንቱስ እግር ኳስ ክለብ	Juventus FC
ትራያኑስ	Trajanus
ሮጀር ፌዴረር	Roger Federer
ጆርጂያ	Georgia
ዛግሬብ	Zagreb
ቴክሳስ	Texas
ጄኖቫ	Genua
ኖርዝ ካሮላይና	North Carolina
ሳውዝ ካሮላይና	South Carolina
ሲኪልያ	Sicilien
ማኒላ	Manila
ሳርዲኒያ	Sardinien
ሏር ወንዝ	Loire
ቦርዶ	Bordeaux
ብዌኖስ አይሬስ	Buenos Aires
ሜክሲኮ ከተማ	Mexico City
ቶክዮ	Tokyo prefektur
ላፓዝ	La Paz
ባርሴሎና	Barcelona
ኣናናስ	Ananas
ሚሲሲፒ	Mississippi
ፈርዲናንድ ማጄላን	Ferdinand Magellan
ሚሲሲፒ ወንዝ	Mississippifloden
ቴነሲ	Tennessee
አቡ ዳቢ	Abu Dhabi
አስታና	Astana
ኒው ሜክሲኮ	New Mexico
አቴና	Aten
ሚንሶታ	Minnesota
ባግዳድ	Bagdad
ካራካስ	Caracas
ዊስኮንሲን	Wisconsin
ኪኬሮ	Cicero
አዮዋ	Iowa
ነብራስካ	Nebraska
ካንሳስ	Kansas
ሀቫና	Havanna
ትምባሆ	Tobak
ህንዲ	Hindi
ሚዙሪ	Missouri
ሉዊዚያና	Louisiana
ኬንታኪ	Kentucky
አርካንሳው	Arkansas
ኒል አርምስትሮንግ	Neil Armstrong
ኤልበ ወንዝ	Elbe
ኦክላሆማ	Oklahoma
ዳኑብ ወንዝ	Donau
ሞዘል ወንዝ	Mosel
ስሜን ባሕር	Nordsjön
ዲውስልዶርፍ	Düsseldorf
ማይንጽ	Mainz
ቪስባድን	Wiesbaden
ሙኒክ	München
ድረስደን	Dresden
ብሬገንጽ	Bregenz
ቪየና	Wien
ኮፐንሀገን	Köpenhamn
ስቶኮልም	Stockholm
ሄልሲንኪ	Helsingfors
ደብሊን	Dublin
ሬይኪያቪክ	Reykjavik
ታሊን	Tallinn
ሪጋ	Riga
ብራቲስላቫ	Bratislava
ቡዳፔስት	Budapest
ግዳንስክ	Gdańsk
ፍራንክፉርት	Frankfurt am Main
ላንታኒየም	Lantan
ፕሮሜቲየም	Prometium
ፊልጶስ አረባዊ	Filip Araben
ሳማሪየም	Samarium
ጋዶሊኒየም	Gadolinium
ተርቢየም	Terbium
ሉክሰምበርግ (ከተማ)	Luxemburg (stad)
ዲስፕሮሲየም	Dysprosium
ፋዱጽ	Vaduz
መጽሐፍ ቅዱስ	Bibeln
ሆልሚየም	Holmium
ሳን ማሪኖ (ከተማ)	San Marino (stad)
ኢርቢየም	Erbium
ፕኖም ፔን	Phnom Penh
ቱሊየም	Tulium
ሆ ቺ ሚን ከተማ	Ho Chi Minh-staden
ይተርቢየም	Ytterbium
ሉቴቲየም	Lutetium
ሀኖይ	Hanoi
ዕውነተኛ ኢየሱስ ቤተ ክርስቲያን	The True Jesus Church
እንግሊዝኛ	Engelska
ባንግኮክ	Bangkok
አንዶራ ላ ቬላ	Andorra la Vella
ኩዋላ ሉምፑር	Kuala Lumpur
ታይፔ	Taipei
አሜሪኪየም	Americium
ኩሪየም	Curium
ዶንግ ሆይ	Dong Hoi
ኮንሴፕሲዮን	Concepción, Chile
በርከሊየም	Berkelium
ዲውረን	Düren
ካሊፎርኒየም	Californium
ኤይንስቴኒየም	Einsteinium
ቦሎኛ የእግር ኳስ ክለብ 1909	Bologna FC 1909
ፌርሚየም	Fermium
ሜንደሊቭየም	Mendelevium
ኪየቭ	Kiev
ኖብሊየም	Nobelium
ላውረንሲየም	Lawrencium
ኦታዋ	Ottawa
ዬሬቫን	Jerevan
ኮኝስኮቮላ	Końskowola
ካርቱም	Khartoum
2000 እ.ኤ.አ.	2000
2003 እ.ኤ.አ.	2003
2002 እ.ኤ.አ.	2002
2001 እ.ኤ.አ.	2001
2012 እ.ኤ.አ.	2012
2011 እ.ኤ.አ.	2011
2010 እ.ኤ.አ.	2010
2009 እ.ኤ.አ.	2009
ካርቦን ክልቶኦክሳይድ	Koldioxid
2013 እ.ኤ.አ.	2013
2014 እ.ኤ.አ.	2014
2015 እ.ኤ.አ.	2015
2008 እ.ኤ.አ.	2008
2004 እ.ኤ.አ.	2004
2005 እ.ኤ.አ.	2005
2006 እ.ኤ.አ.	2006
2007 እ.ኤ.አ.	2007
1900 እ.ኤ.አ.	1900
1901 እ.ኤ.አ.	1901
ፍራንስዋ ሚቴራን	François Mitterrand
ሻርል ደ ጎል	Charles de Gaulle
1902 እ.ኤ.አ.	1902
ፍሎረንስ	Florens
1903 እ.ኤ.አ.	1903
1904 እ.ኤ.አ.	1904
1905 እ.ኤ.አ.	1905
1907 እ.ኤ.አ.	1907
1906 እ.ኤ.አ.	1906
ሴኔካ	Seneca den yngre
1908 እ.ኤ.አ.	1908
1909 እ.ኤ.አ.	1909
1992 እ.ኤ.አ.	1992
1991 እ.ኤ.አ.	1991
1990 እ.ኤ.አ.	1990
1993 እ.ኤ.አ.	1993
1994 እ.ኤ.አ.	1994
1995 እ.ኤ.አ.	1995
1996 እ.ኤ.አ.	1996
1910 እ.ኤ.አ.	1910
1911 እ.ኤ.አ.	1911
1912 እ.ኤ.አ.	1912
ላይፕጽግ	Leipzig
1913 እ.ኤ.አ.	1913
1914 እ.ኤ.አ.	1914
1915 እ.ኤ.አ.	1915
1916 እ.ኤ.አ.	1916
1997 እ.ኤ.አ.	1997
1998 እ.ኤ.አ.	1998
ኑረምበርግ	Nürnberg
1999 እ.ኤ.አ.	1999
1917 እ.ኤ.አ.	1917
1918 እ.ኤ.አ.	1918
ዱይስቡርግ፣ ጀርመን	Duisburg
እባብ	Ormar
ዣክ ሺራክ	Jacques Chirac
የብርሃን ፍጥነት	Ljusets hastighet
ማንሃይም	Mannheim
ቫሌሪ ጊስካር ዴስቴን	Valéry Giscard d’Estaing
1 January	1 januari
2 January	2 januari
1920 እ.ኤ.አ.	1920
3 January	3 januari
1919 እ.ኤ.አ.	1919
1921 እ.ኤ.አ.	1921
1922 እ.ኤ.አ.	1922
4 January	4 januari
1923 እ.ኤ.አ.	1923
1924 እ.ኤ.አ.	1924
ዦርዥ ፖምፒዱ	Georges Pompidou
5 January	5 januari
ማሌሜ	Malmö
6 January	6 januari
7 January	7 januari
8 January	8 januari
9 January	9 januari
10 January	10 januari
11 January	11 januari
12 January	12 januari
13 January	13 januari
በርሚንግሃም	Birmingham
14 January	14 januari
15 January	15 januari
16 January	16 januari
17 January	17 januari
18 January	18 januari
19 January	19 januari
20 January	20 januari
21 January	21 januari
22 January	22 januari
23 January	23 januari
የሮሜ መንግሥት	Romerska kejsardömet
24 January	24 januari
25 January	25 januari
ሚንስክ	Minsk
26 January	26 januari
ማይክሮሶፍት	Microsoft
27 January	27 januari
28 January	28 januari
29 January	29 januari
30 January	30 januari
31 January	31 januari
2 December	2 december
1 December	1 december
3 December	3 december
7 December	7 december
5 December	5 december
8 December	8 december
10 December	10 december
6 December	6 december
9 December	9 december
4 December	4 december
1 February	1 februari
2 February	2 februari
ጨው	Natriumklorid
3 February	3 februari
ኩሩቭ	Kurów
4 February	4 februari
5 February	5 februari
6 February	6 februari
7 February	7 februari
8 February	8 februari
9 February	9 februari
10 February	10 februari
የጥንተ ንጥር ጥናት	Kemi
14 February	14 februari
13 February	13 februari
15 February	15 februari
11 February	11 februari
12 February	12 februari
19 February	19 februari
17 February	17 februari
16 February	16 februari
18 February	18 februari
20 February	20 februari
21 February	21 februari
22 February	22 februari
23 February	23 februari
24 February	24 februari
25 February	25 februari
26 February	26 februari
27 እ.ኤ.አ.	27
27 February	27 februari
28 February	28 februari
11 December	11 december
29 February	29 februari
12 December	12 december
13 December	13 december
14 December	14 december
15 December	15 december
2 March	2 mars
3 March	3 mars
5 March	5 mars
1 March	1 mars
7 March	7 mars
8 March	8 mars
4 March	4 mars
10 March	10 mars
11 March	11 mars
6 March	6 mars
13 March	13 mars
9 March	9 mars
12 March	12 mars
15 March	15 mars
14 March	14 mars
16 December	16 december
17 December	17 december
16 March	16 mars
17 March	17 mars
18 March	18 mars
19 March	19 mars
1989 እ.ኤ.አ.	1989
1988 እ.ኤ.አ.	1988
20 March	20 mars
1987 እ.ኤ.አ.	1987
1986 እ.ኤ.አ.	1986
1985 እ.ኤ.አ.	1985
1984 እ.ኤ.አ.	1984
21 March	21 mars
1983 እ.ኤ.አ.	1983
22 March	22 mars
1982 እ.ኤ.አ.	1982
