Aprika	Afrika
Merkuryo (planeta)	Merkurius
Kasaysayan	Historia
Apple Inc.	Apple Inc.
Benus (planeta)	Venus
Wika	Språk
Pag-ibig	Kärlek
Diktadura	Diktatur
Galaksiya	Galax
Hupiter (planeta)	Jupiter
Daang Magatas	Vintergatan
Big Bang	Big Bang
Urano	Uranus
Bretanya	Bretagne
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptunus
Astronomiya	Astronomi
Singapore	Singapore
Agham	Vetenskap
Kosmolohiya	Kosmologi
Pluton (astronomiya)	Pluto
Montréal, Québec	Montréal
Malayang sopwer	Fri programvara
Kinabukasan	Framtid
Maria (ina ni Hesus)	Jungfru Maria
Louis IX ng Pransiya	Ludvig IX av Frankrike
Liechtenstein	Liechtenstein
Palakasan	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Första världskriget
Ikalawang Digmaang Pandaigdig	Andra världskriget
Cologne	Köln
Korupsiyon	Korruption
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrolohiya	Mätteknik
Matematika	Matematik
U2	U2
Wikang Latin	Latin
Barein	Bahrain
Armenya	Armenien
Kuneiporme	Kilskrift
Higgs boson	Higgsboson
Serbiya	Serbien
Buwan (astronomiya)	Månen
Istanbul	Istanbul
Linda Lovelace	Linda Lovelace
Australya	Australien
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiologi
Pisika	Fysik
Arhentina	Argentina
Telekomunikasyon	Telekommunikation
Peru	Peru
Biyolohiya	Biologi
UFO	Ufo
Hilagang Korea	Nordkorea
Kambodya	Kambodja
Koran	Koranen
Dinosauro	Dinosaurier
Soolohiya	Zoologi
Islam	Islam
Peras	Päronsläktet
Liubliana	Ljubljana
Botanika	Botanik
Lech Wałęsa	Lech Wałęsa
Gulong	Hjul
Isip	Psyke
Kapayapaan	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	Europeiska unionen
Plovdiv	Plovdiv
Star Wars	Star Wars
World Wide Web	World Wide Web
Babae	Kvinna
Sofia	Sofia
Akwedukto	Akvedukt
Ñ	Ñ
Don Quixote	Don Quijote
Panulaan	Poesi
Birus ng kompyuter	Datorvirus
Ngiti	Leende
Lungsod ng Milano	Milano
Kaibigan	Vänskap
Alaala	Minne
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turin
Ipot	Avföring
Butas ng puwit	Analöppning
Kili-kili	Armhåla
Lemon	Citron
Saging	Banan
Émile Zola	Émile Zola
666	666
Bulaklak	Blomma
Googol	Googol
Bambang ng Marianas	Marianergraven
Bundok Everest	Mount Everest
Anatomiya	Anatomi
Lungsod	Stad
Napoleon I ng Pransiya	Napoleon I
Pisyolohiya	Fysiologi
Bituin	Stjärna
Vesubio	Vesuvius
Araw (astronomiya)	Solen
Louis Pasteur	Louis Pasteur
Sinag-taon	Ljusår
Victor Hugo	Victor Hugo
Oceania	Oceanien
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Friidrott
Sistemang Pang-araw	Solsystemet
Dagat Baltiko	Östersjön
Champs-Élysées	Champs-Élysées
Ngipin	Tänder
Idrohino	Väte
Helyo	Helium
Impiyerno	Helvete
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Skärselden
Angela Merkel	Angela Merkel
Lityo	Litium
Berilyo	Beryllium
Palakas-tinig	Högtalare
Aklat	Bok
Araw (panahon)	Dygn
Silangang Timor	Östtimor
Taon	År
Daang taon	Sekel
Ilog Rin	Rhen
Oslo	Oslo
Undas	Alla helgons dag
Itim na butas	Svart hål
Seres (astronomiya)	Ceres (dvärgplanet)
Lisboa	Lissabon
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea (dvärgplanet)
Rodano (ilog)	Rhône
Makemake (astronomiya)	Makemake (dvärgplanet)
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Sex (aktivitet)
Kateri Tekakwitha	Kateri Tekakwitha
Eris (astronomiya)	Eris (dvärgplanet)
Dubai	Dubai
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padua
Boron	Bor
Nicolaus Copernicus	Nicolaus Copernicus
Karbon	Kol
Ilog Volga	Volga
Nitroheno	Kväve
Lungsod ng Bergamo	Bergamo
Oksiheno	Syre
Planeta	Planet
Cleopatra VII ng Ehipto	Kleopatra VII av Egypten
Tugtugin	Musik
Lungsod ng Venezia	Venedig
Naruto	Naruto
Mosku	Moskva
Plurina	Fluor
Wikang Italyano	Italienska
Tsiwawa	Chihuahua (hundras)
Neon	Neon
Chihuahua	Chihuahua (delstat)
San Petersburgo	Sankt Petersburg
Chad	Tchad
Sodyo	Natrium
Magnesyo	Magnesium
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminium
New Zealand	Nya Zeeland
India	Indien
Silikon	Kisel
Pransiyo	Francium
Tuvalu	Tuvalu
One Piece	One Piece (serie)
Posporo (elemento)	Fosfor
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prosa
Bakal	Järn
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Svavel
Samoa	Samoa
Kapuluang Salomon	Salomonöarna
Vanuatu	Vanuatu
Molière	Molière
Kloro	Klor
Papua New Guinea	Papua Nya Guinea
William Shakespeare	William Shakespeare
Pabula	Fabel
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Saga
Mga Estadong Pederado ng Mikronesya	Mikronesiens federerade stater
Potasyo	Kalium
Kalsiyo	Kalcium
Tingga	Bly
Kapuluang Marshall	Marshallöarna
Kiribati	Kiribati
Mongolia	Mongoliet
Fiji	Fiji
Eskandiyo	Skandium
Stevie Wonder	Stevie Wonder
Titanyo	Titan
Venezuela	Venezuela
Ahedres	Schack
Genghis Khan	Djingis khan
Banadyo	Vanadin
Maine	Maine
Kromyo	Krom
Kabayo	Häst
Amsterdam	Amsterdam
Sandata	Vapen
Hayop	Djur
Surinam	Surinam
Mangganeso	Mangan
Paraguay	Paraguay
Guyana	Guyana
Sining	Konst
Ecuador	Ecuador
Colombia	Colombia
Kobalto	Kobolt
Wolpramyo	Volfram
Budismo	Buddhism
Bolivia	Bolivia
Tanso	Koppar
Trinidad at Tobago	Trinidad och Tobago
Halaman	Växt
San Vicente at ang Kagranadinahan	Saint Vincent och Grenadinerna
Sink	Zink
Bagong Hampshire	New Hampshire
Santa Lucia (bansa)	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	Saint Kitts och Nevis
Fungus	Svampar
Hamayka	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Manok	Tamhöna
Antigua at Barbuda	Antigua och Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	Dominikanska republiken
Baboy	Gris
Karagatang Artiko	Norra ishavet
Hayti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Iran
Iraq	Irak
Alaska	Alaska
Karunungan	Visdom
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Yemen	Jemen
Birus	Virus
Wikang Polako	Polska
Hordan	Jordanien
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirgizistan
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Libanon
Oregon	Oregon
Maldives	Maldiverna
Kaamerikahan	Amerika
Utah	Utah
Baka	Nötkreatur
Malaysia	Malaysia
Myanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Qatar
Tenis	Tennis
Saudi Arabia	Saudiarabien
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Syria	Syrien
Platon	Platon
Tayikistan	Tadzjikistan
Pokémon	Pokémon
Republika ng Tsina	Taiwan
YouTube	Youtube
Aristoteles	Aristoteles
Taylandiya	Thailand
Tren	Tåg
Arseniko	Arsenik
Radyo	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan
United Arab Emirates	Förenade Arabemiraten
Bromina	Brom
Platino	Platina
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Timog Korea	Sydkorea
The Simpsons	Simpsons
Yekaterinburg	Jekaterinburg
Kripton	Krypton
Afghanistan	Afghanistan
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nizjnij Novgorod
J. R. R. Tolkien	J.R.R. Tolkien
Rubidyo	Rubidium
Ginto	Guld
Omsk	Omsk
Agusan ng Suez	Suezkanalen
Kazan	Kazan
Bangladesh	Bangladesh
Bleach	Bleach (manga)
Franz Kafka	Franz Kafka
Chelyabinsk	Tjeljabinsk
Rostov-on-Don	Rostov-na-Donu
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali (bansa)	Mali
Socrates	Sokrates
Volgograd	Volgograd
Angola	Angola
Perm	Perm, Ryssland
Bhutan	Bhutan
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brunei	Brunei
Tanzania	Tanzania
Asoge	Kvicksilver
Roald Amundsen	Roald Amundsen
Pilipinas	Filippinerna
Republika ng Gitnang Aprika	Centralafrikanska republiken
Uzumaki Naruto	Uzumaki Naruto
Polong Timog	Sydpolen
Hilagang Polo	Nordpolen
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Strontium
Pedro I ng Brasil	Peter I av Brasilien
Itriyo	Yttrium
Bismuto	Vismut
Dilaw	Gul
Mekaniks na kwantum	Kvantmekanik
Togo	Togo
Tunisya	Tunisien
John Bardeen	John Bardeen
Sambya	Zambia
Zimbabwe	Zimbabwe
Beijing	Peking
Timog Sudan	Sydsudan
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Komorerna
Republika ng Congo	Kongo-Brazzaville
Demokratikong Republika ng Congo	Kongo-Kinshasa
San Antonio, Texas	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meme	Mem
Polonium	Polonium
Bavaria	Bayern
Gineang Ekwatoriyal	Ekvatorialguinea
Eritrea	Eritrea
New Delhi	New Delhi
Papa Juan Pablo II	Johannes Paulus II
Fëdor Dostoevskij	Fjodor Dostojevskij
Tangway ng Kamchatka	Kamtjatka
Tiflis	Tbilisi
Sanggol	Spädbarn
Astatino	Astat
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Komiks	Tecknad serie
Ang Gambiya	Gambia
Ginea	Guinea
Ginea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbenskusten
Cameroon	Kamerun
Kabo Berde	Kap Verde
Lesoto	Lesotho
Liberia	Liberia
Libya	Libyen
Aachen	Aachen
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauretanien
Mauritius	Mauritius
Maruekos	Marocko
Mozambique	Moçambique
Namibia	Namibia
Niger	Niger
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Rwanda
Sirkonyo	Zirkonium
Santo Tome at Prinsipe	São Tomé och Príncipe
Senegal	Senegal
Seychelles	Seychellerna
Carl Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalia
Julio Cesar	Julius Caesar
Sudan	Sudan
Swaziland	Swaziland
Bahaghari	Regnbåge
Metabolismo	Metabolism
Sistemang immuno	Immunförsvar
Gujarat	Gujarat
Ebolusyon	Evolution
Mga Nagkakaisang Bansa	Förenta nationerna
Dante Alighieri	Dante Alighieri
Heolohiya	Geologi
Ahmedabad	Ahmedabad
Heograpiya	Geografi
Puso (anatomiya)	Hjärta
Utak	Hjärna
Balat (anatomiya)	Hud
Kulay	Färg
Pangngalan	Substantiv
Praga	Prag
Bughaw	Blå
Pilak	Silver
Star Trek	Star Trek
Lata	Tenn
Uranyo	Uran
Antimonyo	Antimon
Plutonyo	Plutonium
Iodine	Jod
Henon (elemento)	Xenon
Anime	Anime
Sesyo	Cesium
Karga ng kuryente	Elektrisk laddning
Baryo (elemento)	Barium
Aktinyo	Aktinium
Bill Clinton	Bill Clinton
Radyo (elemento)	Radium
Radon	Radon
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercurius
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Goa	Goa
Borgonya	Bourgogne
Maurice Ravel	Maurice Ravel
Aquitania	Aquitaine
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	Nordrhein-Westfalen
Hesse	Hessen
Sahonya	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	North Dakota
Brandeburgo	Brandenburg
Lombardy	Lombardiet
Timog Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Herusalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Aostadalen
Washington	Washington (delstat)
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Alto Adige
Karagatang Indiyano	Indiska oceanen
Veneto	Veneto
Kosovo	Kosovo
Dagat Karibe	Karibiska havet
Boryo	Bohrium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurien
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado
Frederic Francois Chopin	Frédéric Chopin
Minatamis (prutas)	Fruktkonserv
Tuskanya	Toscana
Marche	Marche
Umbria	Umbrien
Kategorya:Mga nilalaman	Kategori:Topp
Lazio	Lazio
Abruzzo	Abruzzo
Alpes	Alperna
Jansenismo	Jansenism
Kabundukang Carpatos	Karpaterna
Blaise Pascal	Blaise Pascal
Dama	Damspel
Gante	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Flerovium
Ununoctium	Ununoktium
Como (lungsod)	Como
Taglamig	Vinter
Tagsibol	Vår
Tag-init	Sommar
Taglagas	Höst
Ekinoks	Dagjämning
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Ladin
Wikang Kastila	Spanska
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Opera
Philadelphia, Pennsylvania	Philadelphia
Kolkata	Calcutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
West Bengal	Västbengalen
Gagamba	Spindlar
Arachnida	Spindeldjur
Arthropoda	Leddjur
Hyderabad, Andhra Pradesh	Hyderabad
Islamabad	Islamabad
Bungang-kahoy	Frukt
Salapi	Pengar
Virginia (estado)	Virginia
West Virginia	West Virginia
New York	New York (delstat)
Seryo	Cerium
Rhode Island	Rhode Island
Neodimyo	Neodym
Kulisap	Insekter
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Vladimir Lenin
Ohio	Ohio
Vergilius	Vergilius
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Wikang Pinlandes	Finska
Nero	Nero
Galba	Galba
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia	Nokia
Vespasian	Vespasianus
Kotse	Bil
Titus	Titus (romersk kejsare)
Domitian	Domitianus
Nerva	Nerva
Trajan	Trajanus
Roger Federer	Roger Federer
Hadrian	Hadrianus
Georgia	Georgia
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Marcus Aurelius
Lucius Verus	Lucius Verus
Commodus	Commodus
Lungsod ng Zagreb	Zagreb
Pertinax	Publius Helvius Pertinax
Rajasthan	Rajasthan
Campania	Kampanien
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Caracalla	Caracalla
Apulia	Apulien
Lungsod ng Genova	Genua
Bruno Mars	Bruno Mars
Bundok Pinatubo	Pinatubo
Basilicata	Basilicata
Hilagang Karolina	North Carolina
South Carolina	South Carolina
Calabria	Kalabrien
Sicilia	Sicilien
Maynila	Manila
Sardinia	Sardinien
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III
Lungsod ng Cebu	Cebu City
Ilog Sena	Seine
Lungsod ng Dabaw	Davao
Lungsod Quezon	Quezon City
Kalookan	Kalookan City
Burdeos	Bordeaux
Corazon Aquino	Corazon Aquino
Lungsod ng Kabite	Cavite City
Bulkang Mayon	Mayon
Lungsod ng Buenos Aires	Buenos Aires
Lungsod ng Mehiko	Mexico City
Tokyo	Tokyo prefektur
Lungsod ng Barcelona	Barcelona
Pinya	Ananas
Misisipi	Mississippi
Fernando de Magallanes	Ferdinand Magellan
Ilog Mississippi	Mississippifloden
José Rizal	José Rizal
Sikkim	Sikkim
Makati	Makati
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
Bagong Mehiko	New Mexico
Ramesses II	Ramses II
Atenas	Aten
Rotonda	Cirkulationsplats
Ramesses I	Ramses I
Minesota	Minnesota
Ramesses III	Ramses III
Baghdad	Bagdad
Ramesses IV	Ramses IV
Caracas	Caracas
Pandaigdigang Batayan ng Oras	Koordinerad universell tid
Wisconsin	Wisconsin
Pune	Pune
Cicero	Cicero
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa
Nebraska	Nebraska
Lungsod ng Guwatemala	Guatemala City
Kansas	Kansas
Havana	Havanna
Tabako	Tobak
Wikang Hindi	Hindi
Internet Explorer	Internet Explorer
Sigarilyo	Cigarett
Missouri	Missouri
George Ohm	Georg Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela
Lungsod ng Pasig	Pasig
Lungsod ng Zamboanga	Zamboanga City
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig City
Ilog Elba	Elbe
Cagayan de Oro	Cagayan de Oro City
Oklahoma	Oklahoma
Danubio	Donau
Butuan	Butuan City
Dagat Hilaga	Nordsjön
Bayugan	Bayugan
Legazpi, Albay	Legazpi City
Moscow Oblast	Moskva oblast
Serge Gainsbourg	Serge Gainsbourg
Ligao	Ligao
Tabaco, Albay	Tabaco
Isabela, Basilan	Isabela (Basilan)
Lamitan	Lamitan
Balanga	Balanga
Mainz	Mainz
Wiesbaden	Wiesbaden
Lungsod ng Batangas	Batangas City
Lipa, Batangas	Lipa City
Munich	München
Samara Oblast	Samara oblast
Tanauan	Tanauan
Dresde	Dresden
Balibol (palakasan)	Volleyboll
Vienna	Wien
Madonna	Madonna (artist)
Copenhague	Köpenhamn
Kaliningrad Oblast	Kaliningrad oblast
Macrinus	Macrinus
Estokolmo	Stockholm
Lungsod ng Helsinki	Helsingfors
Murmansk Oblast	Murmansk oblast
Dublin	Dublin
Elagabalus	Heliogabalus
Murmansk	Murmansk
Reikiavik	Reykjavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alexander Severus
Tallin	Tallinn
Riga	Riga
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian I	Gordianus I
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Breslavia	Wrocław
Gordian II	Gordianus II
Balbinus	Balbinus
Prometyo	Prometium
Yunit na pang-astronomiya	Astronomisk enhet
Gordian III	Gordianus III
Felipe ang Arabo	Filip Araben
Baguio	Baguio City
Aceh	Aceh
Tagbilaran	Tagbilaran City
Kaliningrado	Kaliningrad
Decius (emperor)	Decius
Death Note	Death Note
Katolisismo	Katolicism
Lungsod ng Luksemburgo	Luxemburg (stad)
Vaduz	Vaduz
Bibliya	Bibeln
San Marino, San Marino	San Marino (stad)
Phnom Penh	Phnom Penh
Arkhangelsk	Archangelsk
Lungsod ng Ho Chi Minh	Ho Chi Minh-staden
Iterbiyo	Ytterbium
Malaybalay	Malaybalay
Hanoi	Hanoi
Totoong Simbahan ni Hesus	The True Jesus Church
Wikang Ingles	Engelska
Bangkok	Bangkok
Lungsod ng Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Amerisyo	Americium
Odessa	Odessa
Arkhangelsk Oblast	Archangelsk oblast
Dong Hoi	Dong Hoi
Concepción, Tsile	Concepción, Chile
Berkelyo	Berkelium
Diplomasya	Diplomati
Petrozavodsk	Petrozavodsk
Lungsod ng Cagliari	Cagliari
Kiev	Kiev
Nobelyo	Nobelium
Lungsod ng Catania	Catania
Ontario, Canada	Ontario
Republika ng Karelia	Karelska republiken
Ottawa	Ottawa
Juba, Timog Sudan	Juba
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nova Scotia
Yerevan	Jerevan
Vologda	Vologda
Końskowola	Końskowola
Hartum	Khartoum
New Brunswick	New Brunswick
Formula One	Formel 1
British Columbia	British Columbia
Prince Edward Island	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Dioksidong karbono	Koldioxid
2013	2013
2014	2014
2015	2015
Newfoundland at Labrador	Newfoundland och Labrador
2008	2008
Hilagang Kanlurang mga Nasasakupan	Northwest Territories
Yukon	Yukon
2004	2004
Vologda Oblast	Vologda oblast
Wikitravel	Wikitravel
2005	2005
Dragon Ball	Dragon Ball
2006	2006
Nunavut	Nunavut
2007	2007
Lungsod ng Verona	Verona
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Livy	Titus Livius
Charles de Gaulle	Charles de Gaulle
1902	1902
