Aprika	Afrika
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Canberra
Ret (kala)	Röd
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Kategori:Mallar
1960	1960
Freetown	Freetown
Wes Papua	Västpapua
Skul	Skola
Osasku	Osasco
Ples balus Dong Hoi	Dong Hoi flygplats
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Konfucius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Kategori:Matematik
Templet:Country data Iran	Mall:Landsdata Iran
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Kristendom
Kontinen	Världsdelar och kontinenter
Kapitol	Huvudstad
Monzón	Monzón
Mun (taim)	Månad
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japanska
Ensaiklopedia	Uppslagsverk
Fran pes	Portal:Huvudsida
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Betlehem
Pilosopi	Filosofi
Grup:All articles proposed for deletion	Kategori:Snabbraderingar
Piano	Piano
Ti	Te
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Kategori:Astronomi
Carcassonne	Carcassonne
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Buddha (titel)
Politikis	Politik
Gavman	Regering
Kantri	Stat
Kamel	Kameler
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Ryska
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	FN:s deklaration om de mänskliga rättigheterna
Tok Balgeria	Bulgariska
Nelson Mandela	Nelson Mandela
Lajik	Logik
Grama	Grammatik
Ikonimikis	Nationalekonomi
Yen bilong Siapan	Yen
Stadi bilong pasin bilong ol tokples	Språkvetenskap
Hangul	Hangul
Grup:Pranis	Kategori:Frankrike
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Alexander den store
Edukesen	Bildning
Famili	Familj
Kopi	Kaffe
Sol	Seoul
Tokples long Albenia	Albanska
Valencia	Valencia
Tok Denmak	Danska
Tok Nowe	Norska
Tok Slovakia	Slovakiska
Tok Hangari	Ungerska
Tok Lituwenia	Litauiska
Tok Belaras	Vitryska
Tok Gris	Grekiska
Tok Aialan	Iriska
Imel	E-post
Tokples Pesia	Persiska
Lotu	Religion
Tok Koria	Koreanska
Tok Vietnam	Vietnamesiska
Georg Wilhelm Friedrich Hegel	Friedrich Hegel
Judaisim	Judendom
Immanuel Kant	Immanuel Kant
Saikolosi	Psykologi
Sidarta	Buddha
Martin Luther	Martin Luther
Elisabet II	Elizabeth II
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Periodiska systemet
Diwai	Träd
Kubuntu	Kubuntu
Grup:Romenia	Kategori:Rumänien
Egrikalsa	Jordbruk
Elektroniks	Elektronik
Ol kantri	Lista över självständiga stater
Kensa	Cancer
Villarreal	Vila-real
Mislata	Mislata
Kokonas	Kokospalm
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch
Kyushu	Kyushu
Honshu	Honshu
Shikoku	Shikoku
Ista Ailan	Påskön
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Templet:Link FA	Mall:Link FA
Wol	Världen
Vemont	Vermont
Koria	Korea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Nupela Testamen	Nya Testamentet
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Påve
Rafael Correa	Rafael Correa
Busares	Bukarest
1928	1928
Olpela Testamen	Gamla Testamentet
Indo-Yuropien famili bilong tokples	Indoeuropeiska språk
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi
Ol Tokples Siamanik	Germanska språk
Sosiolosi	Sociologi
Taiwan	Taiwan (ö)
Bahai	Bahá'í
Aialan	Irland (ö)
7	7
Wik	Vecka
Antropolosi	Antropologi
Ailan	Ö (landområde)
Moshchena	Mosjtjena
Akiolosi	Arkeologi
George H. W. Bush	George H.W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quang Binh
Protestan	Protestantism
Bryan Cranston	Bryan Cranston
Bikpela Briten	Storbritannien (ö)
Kadinol daireksion	Väderstreck
Lila Downs	Lila Downs
Famili bilong tokples	Språkfamilj
Pichilemu	Pichilemu
Pukpuk	Krokodildjur
Amerika	Amerika (olika betydelser)
Kokomo	Näshornsfåglar
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Centralamerika
Kaunti	County
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Valerij Leontiev
Tok Hawai	Hawaiiska
Hiri Motu	Hiri motu
Niu Kaledonia	Nya Kaledonien
Marlon Brando	Marlon Brando
Tok Pisin	Tok pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjektiv
Kristen Otodos	Ortodoxa kyrkor
Ido	Ido
44 yia i go bipo Jisas	44 f.Kr.
Bislama	Bislama
Hokkaido	Hokkaido
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
Cork	Cork
Arancón	Arancón
.fi	.fi
Melanesia	Melanesien
Maket	Marknad (ekonomi)
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.uk	.uk
Kaukau	Sötpotatis
Yokohama	Yokohama
.ee	.ee
Lubuntu	Lubuntu
Maikroekonomiks	Makroekonomi
Hobat	Hobart
Niugini	Nya Guinea
.eg	.eg
23 yia i go bipo Jisas	23 f.Kr.
.se	.se
Julia Gillard	Julia Gillard
Saikoanalisis	Psykoanalys
Frank Gorshin	Frank Gorshin
Kevin Rudd	Kevin Rudd
Plak bilong Siapan	Japans flagga
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Molinaseca	Molinaseca
.nu	.nu
The Doors	The Doors
Pécs	Pécs
Plak bilong Pinlan	Finlands flagga
Templet:Commons category	Mall:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Albaniens flagga
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Mall:Taxobox
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Niu Briten	Niu Briten
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Salomonöarnas flagga
Nonvailens	Icke-våld
Debrecen	Debrecen
Plak bilong Kanada	Kanadas flagga
Harrison Ford	Harrison Ford
Plak bilong Andora	Andorras flagga
Kimi ga Yo	Kimi ga yo
Szeged	Szeged
Plak bilong Ostrelia	Australiens flagga
Plak bilong Hangari	Ungerns flagga
Plak bilong Azerbaijan	Azerbajdzjans flagga
Plak bilong Nowe	Norges flagga
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Kommuner i Burgosprovinsen
Ol taun bilong León provins	Kommuner i Leonprovinsen
Tauns long Soria provins	Kommuner i Soriaprovinsen
Plak bilong Aislan	Islands flagga
Plak bilong Indonisia	Indonesiens flagga
Plak bilong Skotlan	Skottlands flagga
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Plak bilong Tuvalu	Tuvalus flagga
Holly Hunter	Holly Hunter
Stet	Delstat
Meditesen	Meditation
James Garner	James Garner
Joey King	Joey King
Plak bilong Kiribas	Kiribatis flagga
Saut Ailan	Sydön
Plak bilong Spen	Spaniens flagga
Dziecinów	Dziecinów
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Sydkoreas flagga
Plak bilong Slovenia	Sloveniens flagga
Plak bilong Romenia	Rumäniens flagga
Grup:Manmeri bilong Hangari	Ungrare
Dunedin	Dunedin
Kamikaze	Kamikaze
Phu Quoc	Phu Quoc
Wikipedia:Save long senisim pes	Wikipedia:Redigering
Lệ Thủy	Lệ Thủy
Buai	Betelpalm
Brobergen	Brobergen
Daka	Piper betle
Klostu Tudak	Twilight
Plak bilong Niu Silan	Nya Zeelands flagga
Kaunti Cork	Cork (grevskap)
St. Peter's College, Auckland	St Peter's College, Auckland
Siaman Niugini	Tyska Nya Guinea
Behaviourisim	Behaviorism
Samuel L. Jackson	Samuel L. Jackson
Kumul	Paradisfåglar
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotskij
Plak bilong Fiji	Fijis flagga
Plak bilong Papua Niugini	Papua Nya Guineas flagga
Plak bilong Nauru	Naurus flagga
Plak bilong Vanuatu	Vanuatus flagga
Plak bilong Wels	Wales flagga
Mike Myers	Mike Myers
Plak bilong Tonga	Tongas flagga
Plak bilong Samoa	Samoas flagga
Plak bilong Palau	Palaus flagga
Christopher Plummer	Christopher Plummer
E pluribus unum	E pluribus unum
Expo 2010	Expo 2010
James Woods	James Woods
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Landskap i Sverige
Plak bilong ol Masol Ailan	Marshallöarnas flagga
Kina	Kina (valuta)
Bogenvil	Bougainville
Plak bilong Niue	Niues flagga
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Niu Ailan
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sago
Plak bilong Hawai	Hawaiis flagga
Nesenel mak bilong Ostrelia	Australiens statsvapen
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Franska Polynesiens flagga
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Norfolköns flagga
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Guams flagga
Julie Newmar	Julie Newmar
Carol Channing	Carol Channing
Makó	Makó
Joan Rivers	Joan Rivers
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Marcus Stephen	Marcus Stephen
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Plak bilong Wolis na Futuna	Wallis- och Futunas flagga
Madang (provins)	Madang (provins)
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
Olaf Stapledon	Olaf Stapledon
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Con Dao
Richard Kiel	Richard Kiel
Derek Sikua	Derek Sikua
Cesar Romero	Cesar Romero
Sarah Vowell	Sarah Vowell
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Mormons bok
Fernanda Torres	Fernanda Torres
Ham Lini	Ham Lini
Ples balus Tan Son Nhat	Tan Son Nhat internationella flygplats
Michael Clarke Duncan	Michael Clarke Duncan
Medinaceli	Medinaceli
Alcoy	Alcoy
Daru	Daru
Carrot Top	Carrot Top
Seeheim-Jugenheim	Seeheim-Jugenheim
Mike Connors	Mike Connors
Madang (taun)	Madang
Simbu	Simbu
Lae	Lae, Papua Nya Guinea
Magani	Vallaby
Wes Niu Briten	West New Britain
Blupela kumul	Blå paradisfågel
Is Sepik	East Sepik
Histori long Koria	Koreas historia
Paul Winchell	Paul Winchell
Jenny Slate	Jenny Slate
Oro	Oro (provins)
Sandaun	Sandaun
Is Niu Briten	East New Britain
Ben Stein	Ben Stein
Aldealafuente	Aldealafuente
Niu Ailan	New Ireland
Kinsale	Kinsale
Pilosopi long Wes	Västerländsk filosofi
Westen Provins	Western Province
Sauten Hailans	Southern Highlands
Westen Hailans	Western Highlands
Isten Hailans	Eastern Highlands
Morobe	Morobe
Bill Cobbs	Bill Cobbs
Enga	Enga
Manus	Manus (provins)
Sentral Provins	Central, Papua Nya Guinea
Milen Be	Milne Bay
Gulf Provins	Gulf (provins)
Kavieng	Kavieng
Kokopo	Kokopo
Lorengau	Lorengau
Casey Kasem	Casey Kasem
Ples balus	Flygplats
Pat Carroll	Pat Carroll
Nesenel Alains Pati	Nationella allianspartiet
Nesenel Kapitol Distrik	National Capital District
Grup:Siamani	Kategori:Tyskland
Grup:Itali	Kategori:Italien
Grup:Ol Yunaitet Stet	Kategori:USA
Grup:Kanada	Kategori:Kanada
Grup:Yunaitet Kingdom	Kategori:Storbritannien
Grup:Spen	Kategori:Spanien
Grup:Siapan	Kategori:Japan
Grup:Ostrelia	Kategori:Australien
Grup:India	Kategori:Indien
Grup:Isrel	Kategori:Israel
Grup:Ijip	Kategori:Egypten
Grup:Niu Silan	Kategori:Nya Zeeland
Grup:Indonisia	Kategori:Indonesien
Grup:Irak	Kategori:Irak
Grup:Polan	Kategori:Polen
Grup:Saut Koria	Kategori:Sydkorea
Grup:Tailan	Kategori:Thailand
Grup:Yukren	Kategori:Ukraina
Grup:Vietnam	Kategori:Vietnam
Grup:Ol pisin	Kategori:Fåglar
Grup:Ol Sayor	Kategori:Växter
Grup:Save long Laip	Kategori:Biologi
Grup:Kemistri	Kategori:Kemi
Grup:Histori	Kategori:Historia
Grup:Save long giraun	Kategori:Geografi
Grup:Sosaiti	Kategori:Samhälle
Grup:Lotu	Kategori:Religion
Grup:Saiens	Kategori:Vetenskap
Grup:Giraun	Kategori:Jorden
Grup:Ol pes bilong kliaim ol link	Kategori:Förgreningssidor
Grup:Pilosopi	Kategori:Filosofi
Grup:Saikolosi	Kategori:Psykologi
Grup:Budisim	Kategori:Buddhism
Grup:Kristen	Kategori:Kristendom
Grup:Islam	Kategori:Islam
Pangu Pati	Pangu-partiet
Benedicta Boccoli	Benedicta Boccoli
Conrad Bain	Conrad Bain
Grup:Ol pes i liklik tumas	Kategori:Stubbar
Grup:Ol planet	Kategori:Planeter
Grup:Kontinen	Kategori:Världsdelar
Lenny Henry	Lenny Henry
Templet:Footer SolarSystem	Mall:Solsystemet
Templet:T	Mall:Mall
Templet:Babel bokis	Mall:Användarbox
Grup:Ol kantri	Kategori:Världens länder
Grup:Ekonomikis	Kategori:Nationalekonomi
Wikipedia:Administrators	Wikipedia:Administratörer
Grup:Manmeri	Kategori:Personer
Wikipedia:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
Grup:Politikis	Kategori:Politik
Grup:Saiens bilong ai	Kategori:Optik
Ijip	Egypten
Templet:Bot	Mall:Bot
Kanada	Kanada
Grup:Hangari	Kategori:Ungern
Grup:Estonia	Kategori:Estland
Grup:Gris	Kategori:Grekland
Grup:Latvia	Kategori:Lettland
Grup:Aislan	Kategori:Island
Grup:Lituwenia	Kategori:Litauen
Grup:Slovakia	Kategori:Slovakien
Wikipedia:Copyrights	Wikipedia:Upphovsrätt
Templet:Flagicon	Mall:Flaggbild
Grup:Ol kantri long Yurop	Kategori:Europas länder
Grup:Yurop	Kategori:Europa
Templet:Template doc	Mall:Dokumentation
Grup:Yusa tokples	Kategori:Användare efter språk
Wikipedia:Faipela lo	Wikipedia:Grundprinciperna
Templet:Softredirect	Mall:Mjuk omdirigering
Templet:Delete	Mall:Radera
Grup:Ol tokples	Kategori:Språk
Grup:Grama	Kategori:Grammatik
Solija	Soldat
Grup:Ol siti na taun bilong kantri	Kategori:Orter efter land
Templet:Navbox	Mall:Navbox
Bikpela magani	Känguru
Templet:Shortcut	Mall:Genväg
Templet:!	Mall:!
Templet:!-	Mall:!-
Templet:!!	Mall:!!
Templet:Tnavbar	Mall:Navbar
Templet:Loop	Mall:Loop
Templet:Unicode	Mall:Unicode
Templet:Small	Mall:Small
Templet:Clear	Mall:Clear
Templet:Nowrap	Mall:Nowrap
Templet:Anchor	Mall:Ankare
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipedia:Artiklar som bör finnas på Wikipedia
Grup:Elektroniks	Kategori:Elektronik
Templet:Babel	Mall:Babel
Templet:Commons	Mall:Commons
Templet:Link GA	Mall:Link GA
Templet:Stub	Mall:Stub
Templet:User ar-1	Mall:Användare ar-1
Templet:User ast-1	Mall:Användare ast-1
Templet:User az	Mall:Användare az
Templet:Yusa eo-1	Mall:Användare eo-1
Templet:See also	Mall:Se även
Templet:User da	Mall:Användare da
Templet:User ca-1	Mall:Användare ca-1
Templet:User cs-1	Mall:Användare cs-1
Templet:User eo-3	Mall:Användare eo-3
Templet:User de	Mall:Användare de
Templet:User de-1	Mall:Användare de-1
Templet:User el	Mall:Användare el
Templet:User es	Mall:Användare es
Templet:User de-3	Mall:Användare de-3
Templet:User en-3	Mall:Användare en-3
Templet:User en-1	Mall:Användare en-1
Templet:User en-2	Mall:Användare en-2
Templet:User eo-2	Mall:Användare eo-2
Templet:User en-4	Mall:Användare en-4
Templet:User en-0	Mall:Användare en-0
Templet:User en	Mall:Användare en
Templet:User de-2	Mall:Användare de-2
Templet:User es-1	Mall:Användare es-1
Templet:User fa	Mall:Användare fa
Templet:User fr-1	Mall:Användare fr-1
Grup:Laip	Kategori:Liv
Templet:User hu-N	Mall:Användare hu
Templet:User sk	Mall:Användare sk
Templet:User tr-2	Mall:Användare tr-2
Templet:User fr-2	Mall:Användare fr-2
Templet:User ja	Mall:Användare ja
Templet:User ja-1	Mall:Användare ja-1
Templet:User it-1	Mall:Användare it-1
Templet:User fr	Mall:Användare fr
Templet:Unsigned	Mall:Signatur
Templet:Country data Tajikistan	Mall:Landsdata Tadzjikistan
Grup:Azerbaijan	Kategori:Azerbajdzjan
Grup:Esia	Kategori:Asien
Grup:Castile na León	Kategori:Kastilien och Leon
Templet:Country data Kuwait	Mall:Landsdata Kuwait
Templet:Mod	Mall:Mod
Templet:ISO639-3 documentation	Mall:Språk/kodlista
Templet:User es-2	Mall:Användare es-2
Templet:NewUser	Mall:Nybörjare
Templet:Ref-ru	Mall:Ru ikon
Templet:WikipediaSista	Mall:Wikipediasystrar
Templet:Country data Belgium	Mall:Landsdata Belgien
Templet:Country data Slovakia	Mall:Landsdata Slovakien
Templet:Country data El Salvador	Mall:Landsdata El Salvador
Templet:Country data Panama	Mall:Landsdata Panama
Templet:Navy/core	Mall:Flotta/core
Templet:Country data Tunisia	Mall:Landsdata Tunisien
Templet:Country data Czech Republic	Mall:Landsdata Tjeckien
Templet:Country data Cuba	Mall:Landsdata Kuba
Templet:Country data Indonesia	Mall:Landsdata Indonesien
Templet:Country data Senegal	Mall:Landsdata Senegal
Templet:Country data Madagascar	Mall:Landsdata Madagaskar
Templet:Country data Albania	Mall:Landsdata Albanien
Templet:Country data Macau	Mall:Landsdata Macao
Templet:Country data Kenya	Mall:Landsdata Kenya
Templet:Country data Republic of China	Mall:Landsdata Republiken Kina
Templet:Country data Nicaragua	Mall:Landsdata Nicaragua
Templet:Country data Honduras	Mall:Landsdata Honduras
Templet:Country data Uzbekistan	Mall:Landsdata Uzbekistan
Templet:Country data Dominican Republic	Mall:Landsdata Dominikanska republiken
Templet:Country data Togo	Mall:Landsdata Togo
Templet:Country data Guatemala	Mall:Landsdata Guatemala
Grup:Lingwistikis	Kategori:Lingvistik
Templet:Country data Haiti	Mall:Landsdata Haiti
Templet:Country data Mali	Mall:Landsdata Mali
Templet:Country data Iceland	Mall:Landsdata Island
Templet:Country data Poland	Mall:Landsdata Polen
Templet:ITA	Mall:ITA
Templet:Country data Bulgaria	Mall:Landsdata Bulgarien
Templet:Country data Bosnia and Herzegovina	Mall:Landsdata Bosnien och Hercegovina
Grup:Yusa fr-1	Kategori:Användare fr-1
Templet:Country data Norway	Mall:Landsdata Norge
Templet:Country data South Africa	Mall:Landsdata Sydafrika
Templet:Country showdata	Mall:Land showdata
Templet:Country data Trinidad and Tobago	Mall:Landsdata Trinidad och Tobago
Templet:Country data Sri Lanka	Mall:Landsdata Sri Lanka
Templet:Country data Mexico	Mall:Landsdata Mexiko
Templet:Country data Greece	Mall:Landsdata Grekland
Templet:Country data Luxembourg	Mall:Landsdata Luxemburg
Templet:Country data Saudi Arabia	Mall:Landsdata Saudiarabien
Templet:Country data Croatia	Mall:Landsdata Kroatien
Templet:Country data United Arab Emirates	Mall:Landsdata Förenade Arabemiraten
Templet:Country data U.S. Virgin Islands	Mall:Landsdata Amerikanska Jungfruöarna
Templet:Country data Morocco	Mall:Landsdata Marocko
Templet:Collapsible list	Mall:Hopfällbar lista
Templet:Country data Ostrelia	Mall:Landsdata Australien
Templet:Country data France	Mall:Landsdata Frankrike
Templet:Ambox	Mall:Ambox
Templet:Rnd	Mall:Rnd
Templet:Steady	Mall:Stabil
Templet:Infobokis Kantri	Mall:Landsfakta
Templet:Country data Laos	Mall:Landsdata Laos
Templet:Fi icon	Mall:Fi ikon
Templet:Collapsible option	Mall:Hopfällbart alternativ
Templet:Str left	Mall:Str left
Templet:Country data Nepal	Mall:Landsdata Nepal
Templet:Country data Finland	Mall:Landsdata Finland
Templet:Country data Japan	Mall:Landsdata Japan
Templet:Cite journal	Mall:Tidskriftsref
