Afríka	Afrika
Pizza	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Þýskaland	Tyskland
Hvíta-Rússland	Vitryssland
Il Canto degli Italiani	Il Canto degli Italiani
Þýska	Tyska
Ísland	Island
Guð	Gud
Eistland	Estland
David Cameron	David Cameron
Satúrnus (reikistjarna)	Saturnus
Súkkulaði	Choklad
Kirsuber	Körsbär
Flugvél	Flygplan
Stríð	Krig
Einn	1 (tal)
Tveir	2 (tal)
Þrír	3 (tal)
Fjórir	4 (tal)
Fimm	5 (tal)
Núll	0 (tal)
Óendanleiki	Oändlighet
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Rétthyrningur	Rektangel
Rétt horn	Rät vinkel
Lettland	Lettland
Úkraína	Ukraina
Tékkland	Tjeckien
Slóvakía	Slovakien
Slóvenía	Slovenien
Vilníus	Vilnius
Moldóva	Moldavien
Rúmenía	Rumänien
Búlgaría	Bulgarien
Róm	Rom
Lýðveldið Makedónía	Makedonien
Albanía	Albanien
Grænland	Grönland
Króatía	Kroatien
Bosnía og Hersegóvína	Bosnien och Hercegovina
Nuuk	Nuuk
Aserbaídsjan	Azerbajdzjan
Andorra	Andorra
Kýpur	Cypern
Georgía	Georgien
Kasakstan	Kazakstan
Malta	Malta
Flæmingjaland	Flandern
Mónakó	Monaco
Svartfjallaland	Montenegro
Vatíkanið	Vatikanstaten
San Marínó	San Marino
Brussel	Bryssel (region)
Kúba	Kuba
Belís	Belize
Eiffelturninn	Eiffeltornet
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel
Þráðlaus samskipti	Trådlöst nätverk
Lyklaborð	Tangentbord
Java (forritunarmál)	Java (programspråk)
Indónesía	Indonesien
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Tyrkneska	Turkiska
Mandelbrot mengið	Mandelbrotmängden
Suður-Afríka	Sydafrika
Linkin Park	Linkin Park
Alsír	Algeriet
Wikiheimild	Wikisource
Úsbekistan	Uzbekistan
Poznań	Poznań
Taskent	Tasjkent
Varsjá	Warszawa
Söngvakeppni evrópskra sjónvarpsstöðva	Eurovision Song Contest
Módena	Modena
Viskí	Whisky
Vín	Vin
Vatn	Vatten
Leður	Läder
Viður	Trä
Sjónvarp	Television
Klám	Pornografi
Íslenska	Isländska
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Síle	Chile
Íslendingasögur	Islänningasagor
El Greco	El Greco
Jesús frá Nasaret	Jesus
Elvis Presley	Elvis Presley
Galíleó Galílei	Galileo Galilei
Merkúríus (reikistjarna)	Merkurius
Saga	Historia
Apple Inc.	Apple Inc.
Venus (reikistjarna)	Venus
Tungumál	Språk
Ást	Kärlek
Einræði	Diktatur
Stjörnuþoka	Galax
Júpíter (reikistjarna)	Jupiter
Michelle Bachelet	Michelle Bachelet
Vetrarbrautin	Vintergatan
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Miklihvellur	Big Bang
Úranus (reikistjarna)	Uranus
Nicolas Sarkozy	Nicolas Sarkozy
Neptúnus (reikistjarna)	Neptunus
Stjörnufræði	Astronomi
Singapúr	Singapore
Vísindi	Vetenskap
Heimsfræði	Kosmologi
Plútó (dvergreikistjarna)	Pluto
Montréal	Montréal
Frjáls hugbúnaður	Fri programvara
Framtíð	Framtid
María mey	Jungfru Maria
Loðvík 9.	Ludvig IX av Frankrike
Liechtenstein	Liechtenstein
Íþrótt	Sport
Cambridge	Cambridge
Yellowstone-þjóðgarðurinn	Yellowstone nationalpark
Adolf Hitler	Adolf Hitler
Blanka af Kastilíu	Blanche av Kastilien
Facebook	Facebook
Wikileaks	Wikileaks
Julian Assange	Julian Assange
Fyrri heimsstyrjöldin	Första världskriget
Seinni heimsstyrjöldin	Andra världskriget
Þriðja heimsstyrjöldin	Tredje världskriget
Köln	Köln
Spilling	Korruption
Wikibækur	Wikibooks
Augusto Pinochet	Augusto Pinochet
Wikivitnun	Wikiquote
Vodka	Vodka
Vaffla	Våffla
Klukka	Ur
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu
Skopje	Skopje
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Stærðfræði	Matematik
U2	U2
Latína	Latin
Barein	Bahrain
Armenía	Armenien
Fleygrúnir	Kilskrift
Higgs-bóseind	Higgsboson
Serbía	Serbien
Tunglið	Månen
Istanbúl	Istanbul
Ástralía	Australien
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Stjörnulíffræði	Astrobiologi
Eðlisfræði	Fysik
Argentína	Argentina
Fjarskipti	Telekommunikation
Perú	Peru
Líffræði	Biologi
Fljúgandi furðuhlutur	Ufo
Norður-Kórea	Nordkorea
Kambódía	Kambodja
Kuiperbelti	Kuiperbältet
Kóran	Koranen
Risaeðlur	Dinosaurier
Dýrafræði	Zoologi
Íslam	Islam
Bókasafnið í Alexandríu	Biblioteket i Alexandria
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Grasafræði	Botanik
Lech Wałęsa	Lech Wałęsa
Hjól	Hjul
Denis Diderot	Denis Diderot
Hugur	Psyke
Friður	Fred
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Evrópusambandið	Europeiska unionen
Plovdiv	Plovdiv
Star Wars	Star Wars
Veraldarvefurinn	World Wide Web
Kona	Kvinna
Sófía	Sofia
Vatnsveitubrú	Akvedukt
Don Kíkóti	Don Quijote
Ljóðlist	Poesi
Tölvuveira	Datorvirus
Kjarnorkuárásirnar á Hiroshima og Nagasaki	Atombomberna över Hiroshima och Nagasaki
Mílanó	Milano
Minni	Minne
Arthur Rimbaud	Arthur Rimbaud
Tórínó	Turin
Saur	Avföring
Endaþarmsop	Analöppning
Sítróna	Citron
Charles Baudelaire	Charles Baudelaire
Banani	Banan
Blóm	Blomma
Googol	Googol
Googolplex	Googolplex
Maríanadjúpáll	Marianergraven
Vladimír Vísotskí	Vladimir Vysotskij
Everestfjall	Mount Everest
Líffærafræði	Anatomi
Borg	Stad
Napóleon Bónaparte	Napoleon I
Ólympusfjall (Mars)	Olympus Mons
Lífeðlisfræði	Fysiologi
Sólstjarna	Stjärna
Vesúvíus	Vesuvius
Sólin	Solen
Himinn	Himmel
Louis Pasteur	Louis Pasteur
Ljósár	Ljusår
Victor Hugo	Victor Hugo
Eyjaálfa	Oceanien
Orvieto	Orvieto
Frjálsar íþróttir	Friidrott
Ritskoðun	Censur
Sólkerfið	Solsystemet
Eystrasalt	Östersjön
Visla	Wisła
Odra	Oder
Tönn	Tänder
Vetni	Väte
Helín	Helium
Helvíti	Helvete
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litín	Litium
Beryllín	Beryllium
Hátalari	Högtalare
Bók	Bok
Dagur (tímatal)	Dygn
Austur-Tímor	Östtimor
Ár	År
Öld	Sekel
Łódź	Łódź
Hvítfjall	Mont Blanc
Rín (fljót)	Rhen
Ósló	Oslo
Bonn	Bonn
Allraheilagramessa	Alla helgons dag
Katowice	Katowice
Svarthol	Svart hål
Luís de Camões	Luís de Camões
Seres (dvergreikistjarna)	Ceres (dvärgplanet)
Lissabon	Lissabon
Rzeszów	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Rón	Rhône
Michael Bloomberg	Michael Bloomberg
Eris (dvergreikistjarna)	Eris (dvärgplanet)
Dúbaí	Dubai
Lionel Messi	Lionel Messi
Padúa	Padua
Bór	Bor
Nikulás Kópernikus	Nicolaus Copernicus
Versalir	Versailles
Ludwigsburg	Ludwigsburg
Kolefni	Kol
Volga	Volga
Köfnunarefni	Kväve
Súrefni	Syre
F.C. Internazionale Milano	FC Internazionale Milano
Reikistjarna	Planet
Kleópatra 7.	Kleopatra VII av Egypten
Tónlist	Musik
Feneyjar	Venedig
Pó	Po
Neva	Neva
Hitamælir	Termometer
Lille	Lille
Moskva	Moskva
Flúor	Fluor
Ítalska	Italienska
Neon	Neon
Sankti Pétursborg	Sankt Petersburg
Tsjad	Tchad
Natrín	Natrium
Norður	Norr
Magnesín	Magnesium
Ál	Aluminium
Nýja-Sjáland	Nya Zeeland
Suður	Söder
Indland	Indien
Kísill	Kisel
Fransín	Francium
Túvalú	Tuvalu
Fosfór	Fosfor
André-Marie Ampère	André-Marie Ampère
Óbundið mál	Prosa
Járn	Järn
Tonga	Tonga
Vestur	Väster
Brennisteinn	Svavel
Samóa	Samoa
Austur	Öster
Salómonseyjar	Salomonöarna
Vanúatú	Vanuatu
Molière	Molière
Klór	Klor
Delft	Delft
Papúa Nýja-Gínea	Papua Nya Guinea
William Shakespeare	William Shakespeare
Suður-Holland	Zuid-Holland
Palá	Palau
Argon	Argon
Nárú	Nauru
Mozilla Firefox	Mozilla Firefox
Ævintýri	Saga
Norður-Holland	Noord-Holland
Míkrónesía (ríki)	Mikronesiens federerade stater
Kalín	Kalium
Sjáland (Holland)	Zeeland
Kalsín	Kalcium
Flevoland	Flevoland
Blý	Bly
Marshalleyjar	Marshallöarna
Kíribatí	Kiribati
Mongólía	Mongoliet
Fídjieyjar	Fiji
Skandín	Skandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Títan	Titan
Venesúela	Venezuela
Skák	Schack
Gengis Kan	Djingis khan
Vanadín	Vanadin
Maine	Maine
Króm	Krom
Hestur	Häst
Amsterdam	Amsterdam
Vopn	Vapen
Dýr	Djur
Súrínam	Surinam
Mangan	Mangan
Paragvæ	Paraguay
Gvæjana	Guyana
List	Konst
Ekvador	Ecuador
Renín	Rhenium
Kólumbía	Colombia
Kóbolt	Kobolt
Jean Racine	Jean Racine
Volfram	Volfram
Nikkel	Nickel
Jarðarber	Smultronsläktet
Pierre Corneille	Pierre Corneille
Búddismi	Buddhism
Bólivía	Bolivia
Osmín	Osmium
Groningen (fylki)	Groningen (provins)
Kopar	Koppar
Trínidad og Tóbagó	Trinidad och Tobago
Jurt	Växt
Sankti Vinsent og Grenadíneyjar	Saint Vincent och Grenadinerna
Sink	Zink
New Hampshire	New Hampshire
Sankti Lúsía	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Sankti Kristófer og Nevis	Saint Kitts och Nevis
Sveppir	Svampar
Dario Fo	Dario Fo
Jamaíka	Jamaica
Grenada	Grenada
Frísland	Friesland
Massachusetts	Massachusetts
Drenthe	Drenthe
Overijssel	Overijssel
Gvatemala	Guatemala
Gelderland	Gelderland
Utrecht (fylki)	Utrecht (provins)
Google Chrome	Google Chrome
Bahamaeyjar	Bahamas
Connecticut	Connecticut
Nytjahænsni	Tamhöna
Antígva og Barbúda	Antigua och Barbuda
Hawaii	Hawaii
Hondúras	Honduras
Dóminíka	Dominica
Jersey	Jersey
Dóminíska lýðveldið	Dominikanska republiken
Svín (tegund)	Gris
Norður-Íshaf	Norra ishavet
Haítí	Haiti
Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Íran	Iran
Írak	Irak
Alaska	Alaska
Assen	Assen
Kosta Ríka	Costa Rica
Ísrael	Israel
Utrecht	Utrecht
Panama	Panama
Jemen	Jemen
Lausanne	Lausanne
Veira	Virus
Pólska	Polska
Jórdanía	Jordanien
Níkaragva	Nicaragua
Flórída	Florida
Kirgisistan	Kirgizistan
Arizona	Arizona
Kúveit	Kuwait
Laos	Laos
Líbanon	Libanon
Oregon	Oregon
Maldíveyjar	Maldiverna
Ameríka	Amerika
Utah	Utah
Nautgripur	Nötkreatur
Malasía	Malaysia
Valais	Valais
Mikhaíl Búlgakov	Michail Bulgakov
Búrma	Burma
Nepal	Nepal
Óman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tennis	Tennis
Sádí-Arabía	Saudiarabien
Andrej Tarkovskíj	Andrej Tarkovskij
Srí Lanka	Sri Lanka
Jósef Stalín	Josef Stalin
Strikamerki	Streckkod
Sýrland	Syrien
Platon	Platon
Gallín	Gallium
Joseph Brodsky	Joseph Brodsky
Tadsjikistan	Tadzjikistan
Pokémon	Pokémon
Lýðveldið Kína	Taiwan
YouTube	Youtube
German	Germanium
Aristóteles	Aristoteles
Taíland	Thailand
Járnbrautarlest	Tåg
Arsen	Arsenik
Útvarp	Radio
Meryl Streep	Meryl Streep
Túrkmenistan	Turkmenistan
Selen	Selen
Iridín	Iridium
Sameinuðu arabísku furstadæmin	Förenade Arabemiraten
Bróm	Brom
Platína	Platina
Víetnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Suður-Kórea	Sydkorea
Józef Piłsudski	Józef Piłsudski
Simpsonfjölskyldan	Simpsons
Krypton	Krypton
Afganistan	Afghanistan
J. R. R. Tolkien	J.R.R. Tolkien
Samara	Samara
Rúbidín	Rubidium
Gull	Guld
Súesskurðurinn	Suezkanalen
Bangladess	Bangladesh
Bleach (anime)	Bleach (manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Malí	Mali
Sókrates	Sokrates
Volgograd	Volgograd
Angóla	Angola
Bútan	Bhutan
Twitter	Twitter
Brúnei	Brunei
Alexander (mannsnafn)	Alexander
Tansanía	Tanzania
Kvikasilfur	Kvicksilver
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filippseyjar	Filippinerna
Mið-Afríkulýðveldið	Centralafrikanska republiken
Þallín	Tallium
Suðurpóllinn	Sydpolen
Norðurheimskautið	Nordpolen
Isaac Newton	Isaac Newton
OpenStreetMap	Open Street Map
Albert Einstein	Albert Einstein
Strontín	Strontium
Yttrín	Yttrium
Bismút	Vismut
Gulur	Gul
Skammtafræði	Kvantmekanik
Tógó	Togo
Donald Tusk	Donald Tusk
Túnis	Tunisien
John Bardeen	John Bardeen
Sambía	Zambia
Simbabve	Zimbabwe
Beijing	Peking
Suður-Súdan	Sydsudan
Vladivostok	Vladivostok
Benín	Benin
Botsvana	Botswana
Búrkína Fasó	Burkina Faso
Búrúndí	Burundi
Kómoreyjar	Komorerna
Vestur-Kongó	Kongo-Brazzaville
Alkmaar	Alkmaar
Ob	Ob
Austur-Kongó	Kongo-Kinshasa
San Antonio	San Antonio
Djíbútí	Djibouti
Pólon	Polonium
Bæjaraland	Bayern
Miðbaugs-Gínea	Ekvatorialguinea
Baden-Württemberg	Baden-Württemberg
Erítrea	Eritrea
Nýja Delí	New Delhi
Jóhannes Páll 2.	Johannes Paulus II
Fjodor Dostojevskíj	Fjodor Dostojevskij
Amersfoort	Amersfoort
Kamsjatka	Kamtjatka
Tíblisi	Tbilisi
Andrei Sakarov	Andrej Sacharov
Astat	Astat
Gabon	Gabon
Mohandas Gandhi	Mahatma Gandhi
Samstaða (pólskt verkalýðsfélag)	Solidaritet (fackförening)
Teiknimyndasaga	Tecknad serie
Gambía	Gambia
Gínea	Guinea
Gínea-Bissá	Guinea-Bissau
Fílabeinsströndin	Elfenbenskusten
Kamerún	Kamerun
Grænhöfðaeyjar	Kap Verde
Lesótó	Lesotho
Líbería	Liberia
Líbýa	Libyen
Aachen	Aachen
Madagaskar	Madagaskar
Malaví	Malawi
Stuttgart	Stuttgart
Máritanía	Mauretanien
Máritíus	Mauritius
Marokkó	Marocko
Mósambík	Moçambique
Namibía	Namibia
France Prešeren	France Prešeren
Níger	Niger
Nígería	Nigeria
Biel/Bienne	Biel
Charles Darwin	Charles Darwin
Úganda	Uganda
Rúanda	Rwanda
Sirkon	Zirkonium
Saó Tóme og Prinsípe	São Tomé och Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seychelles-eyjar	Seychellerna
Carolus Linnaeus	Carl von Linné
Síerra Leóne	Sierra Leone
Sómalía	Somalia
Níóbín	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Júlíus Caesar	Julius Caesar
Súdan	Sudan
Svasíland	Swaziland
Regnbogi	Regnbåge
Mólýbden	Molybden
Teknetín	Teknetium
Hamborg	Hamburg
Italo Balbo	Italo Balbo
Efnaskipti	Metabolism
Ónæmiskerfi	Immunförsvar
Gujarat	Gujarat
Þróunarkenningin	Evolution
Sameinuðu þjóðirnar	Förenta nationerna
Lake Superior	Övre sjön
Dante Alighieri	Dante Alighieri
Jarðfræði	Geologi
Ahmedabad	Ahmedabad
Landfræði	Geografi
Hjarta	Hjärta
Heili	Hjärna
Húð	Hud
Litur	Färg
Nafnorð	Substantiv
Prag	Prag
Rúten	Rutenium
Ródín	Rodium
Blár	Blå
Palladín	Palladium
Silfur	Silver
Kadmín	Kadmium
Star Trek	Star Trek
Limburg (Holland)	Limburg (Nederländerna)
Indín	Indium
Limburg (Belgía)	Limburg (Belgien)
Tin	Tenn
Úran	Uran
Antímon	Antimon
Tellúr	Tellur
Norður-Brabant	Noord-Brabant
Plútóníum	Plutonium
Joð	Jod
Neptúnín	Neptunium
Xenon	Xenon
Anime	Anime
Sesín	Cesium
Rafhleðsla	Elektrisk laddning
Barín	Barium
Vestur-Flæmingjaland	Västflandern
Austur-Flæmingjaland	Östflandern
Þórín	Torium
Antwerpen-hérað	Antwerpen (provins)
Flæmska Brabant	Flamländska Brabant
Hafnín	Hafnium
Vallónska Brabant	Vallonska Brabant
Tantal	Tantal
Bill Clinton	Bill Clinton
Lúxemborg (hérað)	Luxemburg (vallonsk provins)
Liege (hérað)	Liège (provins)
Radín	Radium
Hainaut	Hainaut
Radon	Radon
Elsass	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkúríus (guð)	Mercurius
Hector Berlioz	Hector Berlioz
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bíhar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michiganvatn	Michigansjön
Góa (fylki)	Goa
Bourgogne	Bourgogne
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Jammú og Kasmír	Jammu och Kashmir
Púertó Ríkó	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Slésvík-Holtsetaland	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenborg-Vorpommern	Mecklenburg-Vorpommern
Neðra-Saxland	Niedersachsen
Norðurrín-Vestfalía	Nordrhein-Westfalen
Hessen	Hessen
Rínarland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Saxland	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Þýringaland	Thüringen
Saxland-Anhalt	Sachsen-Anhalt
Norður-Dakóta	North Dakota
Brandenborg	Brandenburg
Langbarðaland	Lombardiet
Suður-Dakóta	South Dakota
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Fjallaland	Piemonte
Jerúsalem	Jerusalem
Idaho	Idaho
Ágústudalur	Aostadalen
Washington (fylki)	Washington (delstat)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordín	Rutherfordium
Nevada	Nevada
Don	Don (flod)
Francesco Cossiga	Francesco Cossiga
Seborgín	Seaborgium
Giovanni Leone	Giovanni Leone
Trentínó-Suður-Týról	Trentino-Alto Adige
Indlandshaf	Indiska oceanen
Antonio Segni	Antonio Segni
Luigi Einaudi	Luigi Einaudi
Venetó	Veneto
Kosóvó	Kosovo
Karíbahaf	Karibiska havet
Friúlí	Friuli-Venezia Giulia
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Lígúría	Ligurien
Colorado	Colorado
Emilía-Rómanja	Emilia-Romagna
U Thant	U Thant
Frédéric Chopin	Frédéric Chopin
Sulta	Fruktkonserv
Röntgenín	Röntgenium
Toskana	Toscana
Leonard Cohen	Leonard Cohen
Marke	Marche
Úmbría	Umbrien
Flokkur:Efnisflokkar	Kategori:Topp
Latíum	Lazio
Abrútsi	Abruzzo
Appennínafjöll	Apenninerna
Alpafjöll	Alperna
Jansenismi	Jansenism
Karpatafjöll	Karpaterna
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Damm	Damspel
Dortmund	Dortmund
Gent	Gent
Chicago	Chicago
Bítlarnir	The Beatles
Ununquadín	Flerovium
Maastricht	Maastricht
Arnhem	Arnhem
Vetur	Vinter
Vor	Vår
Sumar	Sommar
Haust	Höst
Jafndægur	Dagjämning
Saddam Hussein	Saddam Hussein
Osama bin Laden	Usama bin Ladin
Spænska	Spanska
Friedrich Hayek	Friedrich von Hayek
Montevídeó	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Pittsburgh	Pittsburgh
Ópera	Opera
Philadelphia	Philadelphia
Kolkata	Calcutta
Chennai	Chennai
Delí	Delhi
Dakka	Dhaka
Bangalore	Bangalore
Vestur-Bengal	Västbengalen
Köngulær	Spindlar
Áttfætlur	Spindeldjur
Liðdýr	Leddjur
Hyderabad	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Ávöxtur	Frukt
Peningar	Pengar
Virginía (fylki)	Virginia
Vestur-Virginía	West Virginia
Píran	Piran
New York-fylki	New York (delstat)
Rhode Island	Rhode Island
Skordýr	Insekter
Maryland	Maryland
Delaware (fylki)	Delaware
Vladímír Lenín	Vladimir Lenin
Ohio	Ohio
Virgill	Vergilius
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvanía	Pennsylvania
Francesco Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Ágústus	Augustus
Microsoft Windows	Microsoft Windows
Tíberíus	Tiberius
New Jersey	New Jersey
Calígúla	Caligula
Gíbraltar	Gibraltar
Claudíus	Claudius
Finnska	Finska
Neró	Nero
Galba	Galba
Indiana (fylki)	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia	Nokia
Vespasíanus	Vespasianus
Bifreið	Bil
Títus	Titus (romersk kejsare)
Juventus FC	Juventus FC
Dómitíanus	Domitianus
Nerva	Nerva
Trajanus	Trajanus
Roger Federer	Roger Federer
Hadríanus	Hadrianus
Georgía (fylki BNA)	Georgia
Antonínus Píus	Antoninus Pius
Markús Árelíus	Marcus Aurelius
KDE	KDE
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Rajasthan	Rajasthan
Kampanía	Kampanien
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Mólíse	Molise
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Apúlía	Apulien
Genúa	Genua
Bruno Mars	Bruno Mars
Pínatúbó	Pinatubo
Basilíkata	Basilicata
Norður-Karólína	North Carolina
Hokkí	Landhockey
Suður-Karólína	South Carolina
Kalabría	Kalabrien
Sikiley	Sicilien
Maníla	Manila
Sardinía	Sardinien
Leira (fljót)	Loire
Signa	Seine
Davaó	Davao
Le Mans	Le Mans
Bordeaux	Bordeaux
Mayon	Mayon
Rauðir úlfar	Systemisk lupus erythematosus
Búenos Aíres	Buenos Aires
Tölvuþrjótur	Hackare
Mexíkóborg	Mexico City
Tókýó	Tokyo prefektur
La Paz	La Paz
Barselóna	Barcelona
Ananas	Ananas
Mississippi (fylki)	Mississippi
Ferdinand Magellan	Ferdinand Magellan
Mississippifljót	Mississippifloden
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Sundlaug	Bassäng
Mizoram	Mizoram
Sikkim	Sikkim
Patagónía	Patagonien
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abú Dabí	Abu Dhabi
Astana	Astana
New Mexico	New Mexico
Ramses 2.	Ramses II
Aþena	Aten
Hringtorg	Cirkulationsplats
Minnesota	Minnesota
Bagdad	Bagdad
Karakas	Caracas
UTC	Koordinerad universell tid
Wisconsin	Wisconsin
Pune	Pune
Cíceró	Cicero
AC Milan	AC Milan
Iowa	Iowa
Nebraska	Nebraska
Gvatemalaborg	Guatemala City
Kansas	Kansas
Havana	Havanna
Tóbak	Tobak
Hindí	Hindi
Internet Explorer	Internet Explorer
Vindill	Cigarr
Sígaretta	Cigarett
Missouri	Missouri
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Úrdú	Urdu
