អាហ្វ្រិក	Afrika
សាធារណរដ្ឋឥស្លាមអាហ្វហ្កានីស្ថាន	Afghanistan
ព្រែកជីកស៊ុយអែស	Suezkanalen
បង់ក្លាដែស្ស	Bangladesh
សូក្រាត	Sokrates
ធ្វិតថឺរ	Twitter
ប៊្រុយណេ	Brunei
ហ្វីលីពីន	Filippinerna
អ៊ីសាក់ ញូតុន	Isaac Newton
OpenStreetMap	Open Street Map
អាល់បឺត អែងស្តែង	Albert Einstein
ប្រទេសហ្សំប៊ី	Zambia
ប៉េកាំង	Peking
មហាត្មះគន្ធី	Mahatma Gandhi
ឆាលែស ដាវីន	Charles Darwin
ជូលីស៍ សេសារ	Julius Caesar
ឥន្ទធនូ	Regnbåge
អង្គការសហប្រជាជាតិ	Förenta nationerna
ភូមិវិទ្យា	Geografi
ទីក្រុងប្រាក	Prag
បន្ទុកអគ្គីសនី	Elektrisk laddning
ខេត្តជើងភ្នំ (ប្រទេសអ៊ីតាលី)	Piemonte
មហាសមុទ្រឥណ្ឌា	Indiska oceanen
អូសាម៉ា ប៊ីន ឡាឌែន	Usama bin Ladin
ភាសាអេស្ប៉ាញ	Spanska
ភីឡាដេលផ្យា	Philadelphia
ញូវយ៉ក	New York (delstat)
វ្លាឌីមៀរ អ៊ីលីច លេនីន	Vladimir Lenin
អូហ្គុសទុស	Augustus
លោកកៃយុសសេសារ	Caligula
ត្រាហ្សាន	Trajanus
Kde	KDE
កូរ៉ាស៊ូន អាគីណូ	Corazon Aquino
ទីក្រុងតូខ្យូ	Tokyo prefektur
ហ្វឺឌីណាន់ដ៏ ម៉ាហ្សេឡង់	Ferdinand Magellan
ស៊ីសេរ៉ូ	Cicero
ភ្នំពេញ	Phnom Penh
ទីក្រុងព្រៃនគរ	Ho Chi Minh-staden
ទីក្រុងហានូយ	Hanoi
គ្រិស្តសាសនា	The True Jesus Church
ភាសាអង់គ្លេស	Engelska
គូឡាឡាំពួ	Kuala Lumpur
២០០១	2001
JavaScript	Javascript
HTML5	HTML5
ល្បឿនពន្លឺ	Ljusets hastighet
JPEG	JPEG
អេឡិចត្រុង	Elektron
ចក្រភព រ៉ូម	Romerska kejsardömet
Microsoft	Microsoft
គីមីវិទ្យា	Kemi
ស៊ីទ្រុងជ្រូក	C-sharp
បេណេឌីកទី១៦	Benedictus XVI
៧ កក្កដា	7 juli
បាល់ទាត់	Fotboll
ទីក្រុងបូកូតា	Bogotá
ថ្ងៃទី៣១ខែធ្នូ	31 december
រិសថា	4 Vesta
ស៊ីដនីយ៏	Sydney
ភ្លើង	Eld
ខ្យល់	Jordens atmosfär
កោះស៊ូម៉ាត្រា	Sumatra
ចាការតា	Jakarta
ចំណាត់ថ្នាក់ក្រុម:Wikipedia templates	Kategori:Mallar
កោះជ្វា	Java
ចំណាត់ថ្នាក់ក្រុម:ចំណាត់ថ្នាក់ក្រុមនៃទំព័រគំរូវិគីភីឌា	Kategori:Mallar efter ämne
កាលីម៉ាន់តាន់	Kalimantan
ខេត្តបន្ទាយមានជ័យ	Banteay Meanchey
វិគីភីឌា:ប្រអប់ខ្សាច់	Wikipedia:Sandlådan
អាកាសយានដ្ឋាន ដុង ហ៊យ	Dong Hoi flygplats
អាន់ ហ្វ្រែង	Anne Frank
ខុង ជឺ	Konfucius
ម៉ារីលីន ម៉ុនរ៉ូ	Marilyn Monroe
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទ្យា	Kategori:Matematik
ទំព័រគំរូ:ទិន្នន័យប្រទេស អ៊ីរ៉ង់	Mall:Landsdata Iran
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្ត្រខ្មែរ	Kategori:Kambodjas historia
ចំណាត់ថ្នាក់ក្រុម:ប្រវត្តិសាស្រ្តសិង្ហបុរី	Kategori:Singapores historia
សមុទ្រ មេឌីទែរ៉ានេ	Medelhavet
វីនដូអេច	Windows 8
ទំព័រគំរូ:ប្រទេសនៅទ្វីបអាស៊ី	Mall:Asien
ទន្លេហ្គារ៉ូន	Garonne
ស៊ីតថល	Seattle
ជញ្ជាំង ប៊ែរឡាំង	Berlinmuren
ស្រូវ	Ris
ទំព័រគំរូ:Lang-tr	Mall:Lang-tr
ទំព័រគំរូ:ផតថល	Mall:Portal
ទំព័រគំរូ:តំបន់នៃពិភពលោក	Mall:Världens regioner
ប៊ីល ហ្គេត	Bill Gates
ភាសាជប៉ុន	Japanska
ប្រជុំវីជ្ជា	Uppslagsverk
ឌីវីឌី	DVD
ទំព័រដើម	Portal:Huvudsida
Central processing unit	Central Processing Unit
រេស៊ីស្ទ័រ	Resistor
កីឡាអូឡាំពិក	Olympiska spelen
សមុទ្រ កាសព្យែន	Kaspiska havet
ឈី ហ្គីវ៉ារ៉ា	Che Guevara
ទីក្រុងកាបូល	Kabul
ហ្គ្រាប្រីអ៊ែល ហ្រ្គារ៉ាស្សៀ ម៉ារ៉ាហ្គេស	Gabriel García Márquez
ទស្សនវិជ្ជា	Filosofi
ចំណាត់ថ្នាក់ក្រុម:លុប	Kategori:Snabbraderingar
លិទ្ធិកុម្មុយនិស្ត	Kommunism
ហ៊ីលឡារី រូដហេម គ្លីនតុន	Hillary Clinton
Boeing 737	Boeing 737
អាហារនៅប្រទេសបារំាង និង របៀបធ្វើ	Franska köket
មណ្ឌលម៉ាញេតូ	Magnetosfären
ភាសាកាតាឡាន	Katalanska
បណ្ណាល័យ	Bibliotek
នីល ហេនរីក ដេវីដ ប៊័រ	Niels Bohr
និវេសនវិទ្យា	Ekologi
ក្លឹបបាល់ទាត់បារសេឡូណា	FC Barcelona
នយោបាយ	Politik
ធនាគារពិភពលោក	Världsbanken
ប្រជាធិបតេយ្យ	Demokrati
អង្គការសន្ធិសញ្ញាអាត្លង់ទិកខាងជើង	Nato
ម៉ារី ស្កូដូស្កា គុយរី	Marie Curie
រង្វាន់ណូបែល	Nobelpriset
មជ្ឈិមបូព៌ា	Mellanöstern
រាជវង្សហាន	Handynastin
ប្រទេស	Stat
គ្រឹស្តុបផើ កូឡំបូស (Christopher Columbus)	Christofer Columbus
ព្រែកជីកប៉ាណាម៉ា	Panamakanalen
មហាសមុទ្រខាងត្បូង	Antarktiska oceanen
ត្រីផ្សោតនៅកម្ពុជា	Delfiner
ក្មេង	Barn
លេអុនហាដ អយល័រ	Leonhard Euler
ណាប៉ូលេអុងទី៣	Napoleon III
ភាសារុស្ស៊ី	Ryska
ល្វី ដ៏អស្ចារ្យ	Ludvig XIV av Frankrike
សមាគមប្រជាជាតិអាស៊ីអាគ្នេយ៍	Association of Southeast Asian Nations
ប្រវត្តិសាស្ត្របារាំង	Frankrikes historia
តុលាការយុត្តិធម៌អន្តរជាតិ	Internationella domstolen i Haag
យូណេស្កូ	Unesco
អង្គការសុខភាពពិភពលោក	Världshälsoorganisationen
អង្គការពាណិជ្ជកម្មពិភពលោក	Världshandelsorganisationen
ភាសាចិន	Kinesiska
ធម្មជាតិ	Natur
ឈាម	Blod
រញ្ជួយផែនដី	Jordbävning
សមុទ្រឡាប់តែវ	Laptevhavet
ភ្លើងចរាចរ	Trafiksignal
ម៉ាទីន ឡូតធឺរ ឃីង	Martin Luther King
ត្រីកោណមាត្រ	Trigonometri
ធរណីមាត្រ	Geometri
វេយ្យាករណ៍	Grammatik
សេដ្ឋកិច្ច	Nationalekonomi
អក្សរក្រិច	Grekiska alfabetet
អក្សរឡាតាំង	Latinska alfabetet
រឿងមហាភារតយុទ្ធ	Mahabharata
ការិយាល័យសហព័ន្ធស៊ើបអង្កេត	Federal Bureau of Investigation
វីយោឡុង	Violin
ឃឹម	Tsymbaly
អេឡិចសាន់ដឺ ដឹ ហ្គារ៉ែត	Alexander den store
សង្គម	Samhälle (sociologi)
ការអប់រំ	Bildning
មនុស្សប្រុស	Man
វិគីភីឌាភាសាអេស៉្បាញ	Spanskspråkiga Wikipedia
សិទ្ធិមនុស្ស	Mänskliga rättigheter
ទាសភាព	Slaveri
សង្គ្រាមស៊ីវិល	Inbördeskrig
ភ្នំ	Berg
ហុងកុង	Hongkong
សង្គ្រាមត្រជាក់	Kalla kriget
សេអ៊ូល	Seoul
សង្គ្រាមវៀតណាម	Vietnamkriget
ម៉ៃឃើល ហ្វារ៉ាដេយ	Michael Faraday
អង់រីកូ ហ្វែរមី	Enrico Fermi
ភាសាអ៊ុយក្រែន	Ukrainska
HTML	HTML
ច្យូហានេស គូទេនបឺគ	Johannes Gutenberg
ភាសាដាណឺម៉ាក	Danska
ភាសាអេស្តូនី	Estniska
ហិណ្ឌូសាសនា	Hinduism
ភាសាពែក	Persiska
សាសនា	Religion
ភាសាកូរ៉េ	Koreanska
ភាសាខ្មែរ	Khmer (språk)
ហ្រ្គេតស៊ីងមួន	Sigmund Freud
ភាសាថៃ	Thai
ភាសាម៉ាឡេ	Malajiska
ភាសាឥណ្ឌូនេស៊ី	Indonesiska
ភាសាហេប្រ៊ូ	Hebreiska
ចន ឡុក	John Locke
ថ្លើម	Lever
ចិត្តវិទ្យា	Psykologi
មហាសមុទ្រ	Ocean
ពុទ្ធប្រវត្តិសង្ខេប	Buddha
ចរិយាមារយាទ	Etik
សារជីវកម្មផ្សព្វផ្សាយព័ត៌មានរបស់ចក្រភពអង់គ្លេស(BBC)	BBC
ក្លិបបាល់ទាត់ឆេលស៊ី	Chelsea FC
គ្រោងឆ្អឹងមនុស្ស	Människans skelett
ក (អវយវៈ)	Hals
រាជវង្សថាង	Tangdynastin
John F. Kennedy	John F. Kennedy
LibreOffice	LibreOffice
ផ្លូវរូងដីក្រោមសមុទ្រ	Kanaltunneln
តារាងខួបនៃធាតុគីមី	Periodiska systemet
ប្រូម៉ាស	Ost
ទំពាំងបាយជូរ	Druva
បន្លែ	Grönsaker
បច្ចេកវិទ្យា	Teknologi
វិស្វកម្ម	Ingenjörsvetenskap
ទំនាក់ទំនង	Kommunikation
វិជ្ជាជីវៈខាងសារព័ត៌មាន	Journalistik
កាសែត	Tidning
ទូរស័ព្ទ	Telefon
វប្បធម៌	Kultur
សំស្ក្រឹត	Sanskrit
ប្រដាប់របត់ឈាម	Hjärt- och kärlsystemet
The Guardian	The Guardian
សមីការឌីផេរ៉ង់ស្យែល	Differentialekvation
មៃក្រូសូហ្វអ៊ិសេល	Microsoft Excel
មុំ	Vinkel
សំទុះ	Acceleration
ព្រះសិវៈ	Shiva
ព្រះវិស្ណុ	Vishnu
Local Area Network	Lokalt datornät
Wide Area Network	Wide Area Network
ព្រះព្រហ្ម	Brahma
កម្លាំង	Kraft
អេឡិចត្រូម៉ាញ៉េទិច	Elektromagnetism
កសិកម្ម	Jordbruk
សំលៀកបំពាក់	Kläder
ល្បឿន	Hastighet
ក្រដាស	Papper
សុញ្ញកាស	Vakuum
ក្រលាផ្ទៃ	Area
ទ្រឹស្តីបទពីតាករ	Pythagoras sats
ចំនួនកុំផ្លិច	Komplexa tal
Cristiano Ronaldo	Cristiano Ronaldo
អ្នកថតរូប	Fotografi
ល្ខោន	Teater
គ្រឿងអេឡិចត្រូនិច	Elektronisk komponent
ព័ត៌មានវិទ្យា	Informationsteknik
អាស៊ីអាគ្នេយ៍	Sydostasien
ក្រុងសៀមរាប	Siem Reap
បញ្ជីរាយនាម ប្រទេស	Lista över självständiga stater
វិគីភីឌាភាសាព័រទុយហ្គាល់	Portugisiskspråkiga Wikipedia
ប្រដាប់រំលាយអាហារ	Matspjälkning
កីឡាចាក់សាប	Fäktsport
រោគផ្ដាសាយធម្មតា	Förkylning
រោគសរសៃប្រសាទ	Psykisk störning
ប្រតិទិន ក្រេកូរី	Gregorianska kalendern
សុខភាព	Hälsa
ជម្ងឺរលាកទងសួត	Lunginflammation
ជំងឺអេដស៍	Aids
កូដ QR	QR-kod
ជំងឺទឹកនោមផ្អែម	Diabetes
ទំព័រគំរូ:Location map Belgium	Mall:Kartposition Belgien
ទំព័រគំរូ:Location map Croatia	Mall:Kartposition Kroatien
ទំព័រគំរូ:Location map Ukraine	Mall:Kartposition Ukraina
ទំព័រគំរូ:Location map Vietnam	Mall:Kartposition Vietnam
ទំព័រគំរូ:Location map Australia	Mall:Kartposition Australien
ញូតុន	Newton (enhet)
ចក្រភព អូតូម៉ង់	Osmanska riket
ម៉ាស៊ីនចំហេះក្នុង	Förbränningsmotor
ក្បាច់គិតលេខ	Abakus
វឺតប្រែស	Wordpress
Joomla!	Joomla
ដើមដូង	Kokospalm
ភាសាណាវ៉ាថ្ល៍	Nahuatl
ភាសាម៉ាយ៉ាយូកាតិក	Yukatek
អែនជេលីណា ចូលី	Angelina Jolie
អ៊ីលដឺហ្រ្វែន	Île-de-France
ភាសាអារ៉ាប់	Arabiska
Thanksgiving	Thanksgiving
តំបន់ឃ្ជឺស្សឺ	Kyushu
តំបន់ស៊ីកុគឹ	Shikoku
នាយករដ្ឋមន្ត្រី	Premiärminister
ទង់ជាតិ	Flagga
ខ្មៅដៃ	Blyertspenna
សហភាពសូវៀត	Sovjetunionen
ចំណុចរលាយ	Smältpunkt
កាមេរ៉ា	Kamera
កម្មវិធីទូរទស្សន៍	TV-program
ខេត្តខាហ្គុស៊ីម៉ា	Kagoshima prefektur
ភាសាស៊ី	C (programspråk)
ម៉ង់តេរីយើ	Charles-Louis de Secondat Montesquieu
វិគីភីឌា:អត្ថបទពិសេស	Wikipedia:Utmärkta artiklar
ទំព័រគំរូ:Link FA	Mall:Link FA
ពិភពលោក	Världen
ឈូក	Indisk lotus
ឡងប៊ិច (កាលីផ្វនញ៉ា)	Long Beach
រង្វង់	Cirkel
ប្លង់	Plan (geometri)
ទៀបកោះម៉ាឡេ	Malackahalvön
អេប៉ុងហ្ស៍ (ពពុះទឹក)	Svampdjur
មធ្យមនព្វន្ធ	Aritmetiskt medelvärde
World Cup	Världsmästerskapet i fotboll
សម្ដេចប៉ាប	Påve
IATA	International Air Transport Association
បុណ្យណូអែល	Jul
ត្រីកោណ	Triangel
លោកអេលីសេ រីខ្លាស	Élisée Reclus
អ្នកប្រើប្រាស់:អេង ឡុង/សង្គមវិទ្យាមូលដ្ឋាន	Sociologi
សញ្ញាសំលេងអន្តរជាតិ	Internationella fonetiska alfabetet
តៃវ៉ាន់	Taiwan (ö)
Friedrich Schiller	Friedrich Schiller
ជំនឿបាហៃ	Bahá'í
១	1
អាប្រាហាម ម៉ាស្លូ	Abraham H. Maslow
ខ្ទឹមស	Vitlök
អ៊ូលេនបាធរ	Ulan Bator
កោះ	Ö (landområde)
ភាសាផ្លូវការ	Officiellt språk
ខ្សែអេក្វាទ័រ	Ekvator
ទិស	Väderstreck
លេខអាតូម	Atomnummer
អាល់ហ្វ្រិដ ណូបែល	Alfred Nobel
សម្ដេចប៉ាប យូហាន ទី២៣	Johannes XXIII
កិរិយាសព្ទ	Verb
ទីតានិច	RMS Titanic
សត្វឆ្អឹងកង	Ryggradsdjur
បាគូ	Härfågel
អំពែរ	Ampere
១ មុនគ.ស	1 f.Kr.
ម៉ែត្រការ៉េ	Kvadratmeter
ជំនួយ:Interlanguage links	Plankton
សហស្សវត្សរ៍ទី២	1000-talet (millennium)
ខេត្តកំពង់គោ	Long An
ទ្រឹស្តីបទទ្វេធា	Binomialsatsen
សមុទ្រជប៉ុន	Japanska havet
អាស៊ីខាងកើត	Östasien
អាមេរិក កណ្ដាល	Centralamerika
គ្រីស្ទអឌែលហ្វៀន	Kristadelfianer
បរិមាត្រ	Omkrets
ចក្រភព អូទ្រីស-ហុងគ្រី	Österrike-Ungern
បណ្ណាល័យជាតិ	Folkbibliotek
ផាយថុន	Python (programspråk)
អានន្ទ	Ananda
បាកាន	Pagan
ចិន	Kina (region)
ច្បាប់ធម្មតា	Common law
អ្នកម្តាយ តេរេសា​ (Mother Teresa)	Moder Teresa
ប្លូក	Blogg
រោគគ្រុនចាញ់	Denguefeber
ដុល្លារហុងកុង	Hongkongdollar
ខ្សែបណ្ដោយ	Meridian
ខេត្តឃ្លាំង	Soc Trang (provins)
ខេត្តទឹកខ្មៅ	Ca Mau (provins)
សមុទ្រខារ៉ា	Karahavet
កំរងកោះ	Ögrupp
តួប្រុស	Skådespelare
អំបូរភាសាយូតូអាហ្សតិក	Uto-aztekiska språk
ចាស្ទីន ពីពេ្រ	Justin Bieber
ក្រុម​ភាសា​ថៃកៈដៃ	Tai–kadaispråk
ចក្រភព រុស្ស៊ី	Kejsardömet Ryssland
មឞវជ	Mošovce
បេណាហ្សៀរ ប៊ូតូ	Benazir Bhutto
ស៊ីឌី	CD
ឧទ្ធម្ភាគចក្រ	Helikopter
គុណនាម	Adjektiv
វីតាមីន	Vitamin
វែបសាយ	Webbplats
តំបន់ហុកកៃដូ	Hokkaido
រូបមន្តសមមូលម៉ាស់-ថាមពល	E = mc²
សមុទ្រ អារ៉ាល់	Aralsjön
ហូ ជីមិញ	Ho Chi Minh
ម៉ាក ហ្សុកឃឺបឺក	Mark Zuckerberg
ប្រតិកម្មគីមី	Kemisk reaktion
ខេត្តក្រមួនស	Kien Giang
ខេត្តមាត់ជ្រូក	An Giang
ខេត្តរោងដំរី	Tay Ninh (provins)
ខេត្តព្រះត្រពាំង	Tra Vinh (provins)
Binomial nomenclature	Binomial nomenklatur
ខេត្តពលលាវ	Bac Lieu (provins)
ខេត្តផ្សារដែក	Dong Thap
វ៉ែសបែង	Västbanken
ភាសាបាលី	Pali
គេហទំព័រ	Webbsida
ចតុកោណ	Fyrhörning
ឈិន ឡុង	Jackie Chan
ទិវាកុមារអន្តរជាតិ	Internationella barndagen
Yahoo!	Yahoo!
បន្ទាត់	Rät linje
ហ្មរិឩពឡ	Mariupol
G8	G8
អង្កត់ផ្ចិត	Diameter
គ្រូបង្រៀន	Lärare
ស្នាដៃនៃបុព្វបុរសខ្មែរ	Skrivkonst
ស្ដេចប៉ាប យ៉ូហាន ប៉ូលទី១	Johannes Paulus I
ណៃពិដោ	Naypyidaw
ISO 4217	ISO 4217
ព្យែរ គុយរី	Pierre Curie
ក្រុមប្រឹក្សាសន្តិសុខ អង្គការសហប្រជាជាតិ	FN:s säkerhetsråd
ពហុកោណ	Polygon
ទិវានៃក្ដីស្រលាញ់	Alla hjärtans dag
ហ្គូហ្គល	Marknad (ekonomi)
សមុទ្រចិនខាងត្បូង	Sydkinesiska havet
និវេសនប្រព័ន្ធ	Ekosystem
សមុទ្រលឿង	Gula havet
យ៉ាំងហ្គូន	Rangoon
សូរព្យញ្ជនៈ	Konsonant
ច្បាប់ចលនារបស់ញូតុន	Newtons rörelselagar
ឈូងសមុទ្របេងហ្គាល់	Bengaliska viken
ទិវានារីអន្តរជាតិ	Internationella kvinnodagen
ភ្នំហ្វឹជី	Fuji
ប៉ុលពត	Pol Pot
Xian H-6	Xian H-6
Chengdu J-7	Chengdu Jian-7
Shenyang J-8	Shenyang Jian-8
ភ្នំភ្លើង អ៊ីស៊ាឡឺក	Eyjafjallajökull
ម៉ាក្រូសេដ្ឋកិច្ច	Makroekonomi
ដីជ្រោយហ្គាស្សា	Gazaremsan
​វិទ្យុ​ស្ទូឌីយោ 54 បណ្តាញ	Radio Studio 54 Network
អេលីប	Ellips (matematik)
វិទ្យុអាស៊ីសេរី	Radio Free Asia
សមាគមន៍សារព័ត៌មាន	Associated Press
អធិដ្ឋាន	Bön
គណៈកម្មាធិការអូឡាំពិកអន្តរជាតិ	Internationella olympiska kommittén
Skype	Skype
ចតុកោណស្មើ	Romb
ទន្លេមេគង្គ	Mekong
មេកានិច	Mekanik
វិចិត្រសាលវលញ្ឆករប្រទេស	Lista över statsvapen
ហែងរីហ ហឺត	Heinrich Hertz
អង់រី បិកកឺរ៉ែល	Henri Becquerel
ទស្សនាវដ្ដី	Tidskrift
សមីការដឺក្រេទី២	Andragradsekvation
រូពីឥណ្ឌូនេស៊ី	Rupiah
សមុទ្រអុកហុតស្គ៍	Ochotska havet
ចិត្តវិភាគ	Psykoanalys
ខ្មែរម៉ាស្ទើ	Webbansvarig
URL	Uniform Resource Locator
ក្រុមបាល់ទាត់ជម្រើសជាតិ អេស្ប៉ាញ	Spaniens herrlandslag i fotboll
Google Earth	Google Earth
ប៊ែនហាដ រីម៉ាន	Bernhard Riemann
កោន	Kon
អាតុល	Atoll
ទិន្នន័យ	Data (representation)
ខ្លែង	Drake (leksak)
ស្ថាបត្យករ	Arkitekt
មហាអំណាច អាប់ស៊ីស	Axelmakterna
វិគីភីឌា:FAQ	Wikipedia:Vanliga frågor
ចក្រភព អាល្លឺម៉ង់	Kejsardömet Tyskland
ក្រុមបាល់ទាត់ជម្រើសជាតិ អាល្លឺម៉ង់	Tysklands herrlandslag i fotboll
ហេរី ផោតធ័រ និង សិលាទេព	Harry Potter och de vises sten
អង្គការ Creative Commons	Creative Commons
ឥណ្ឌូចិន	Indokina
ប្រាសាទអង្គរវត្ត	Angkor Wat
ទ្រឹស្ដីរ៉ឺឡាទីវីតេ	Relativitetsteori
ប្រុស	Hane
Toulon	Toulon
ប៉ាស្កាល់	Pascal (måttenhet)
ទ្រឹស្ដីល្បែង	Spelteori
នីតិរដ្ឋ	Lagstyre
សមុទ្រចិនខាងកើត	Östkinesiska havet
ខ្នុរ	Jackfrukt
ប្រលេឡូក្រាម	Parallellogram
ចតុកោណព្នាយ	Parallelltrapets
ស៊ូស៊ី	Sushi
រូប៊ិក ខ្យូប	Rubiks kub
កាល	Plautus
ចង្រិត	Syrsor
ទិវាពលកម្មអន្ដរជាតិ	Första maj
ស្ទឹង	Bäck (vattendrag)
សមុទ្រអង់ដាម៉ង់	Andamansjön
ប៉ិបស៊ី	Pepsi
