Noowe	Norge
Kkumi na bbiri	12 (tal)
Kkumi n'emu	11 (tal)
Kkumi na ssatu	13 (tal)
Kikumi	100 (tal)
Kakadde kamu	Miljon
Kkumi na nnya	14 (tal)
Sekazzi	Vattenmelon
Kkumi na ttaano	15 (tal)
Kkumi na munaana	18 (tal)
Kkumi na mwenda	19 (tal)
Kkumi na musanvu	17 (tal)
Kkumi na mukaaga	16 (tal)
Amakumi abiri	20 (tal)
Amakumi ana	40 (tal)
Amakumi asatu	30 (tal)
Lukumi	1000 (tal)
Lacuna Coil	Lacuna Coil
Amakumi abiri mu ssatu	23 (tal)
Ekirwadde ky’ebola	Ebolafeber
Amakumi abiri mu ttaano	25 (tal)
Amakumi abiri mu nnya	24 (tal)
Nkaaga	60 (tal)
Coronel Fabriciano	Coronel Fabriciano
Amakumi abiri mu mukaaga	26 (tal)
Mbogo	Afrikansk buffel
Ntaulira	Honungsgrävling
Retrovirus	Retrovirus
Banovci (Nijemci)	Banovci
Kyenda	90 (tal)
Ntulege	Stäppzebra
Enkima	Chlorocebus aethiops
Amakumi ana mu ssatu	43 (tal)
Mutwalo gumu	10000 (tal)
Amakumi abiri mu musanvu	27 (tal)
Amakumi asatu mu ttaano	35 (tal)
Jens Galschiøt	Jens Galschiøt
Paramore	Paramore
Buganda	Buganda
Amakumi abiri mu mwenda	29 (tal)
Amakumi abiri mu munaana	28 (tal)
Amakumi asatu mu munaana	38 (tal)
Amakumi ana mu ttaano	45 (tal)
Kinaana	80 (tal)
Abiri mu emu	21 (tal)
Abiri mu bbiri	22 (tal)
Nsanvu	70 (tal)
Amakumi ataano	50 (tal)
Amakumi ana mu emu	41 (tal)
Amakumi asatu mu nnya	34 (tal)
Amakumi asatu mu ssatu	33 (tal)
Amakumi ana mu musanvu	47 (tal)
Amakumi asatu mu emu	31 (tal)
Amakumi asatu mu bbiri	32 (tal)
Amakumi ana mu nnya	44 (tal)
Amakumi ana mu mukaaga	46 (tal)
Amakumi asatu mu musanvu	37 (tal)
Amakumi asatu mu mwenda	39 (tal)
Amakumi asatu mu mukaaga	36 (tal)
Bikumi bibiri	200 (tal)
Jonava	Jonava
Klaipėda	Klaipėda
Amakumi ana mu bbiri	42 (tal)
Hosjö	Hosjö
Bikumi bisatu	300 (tal)
Category:Girimane	Kategori:Tyskland
Category:Yitale	Kategori:Italien
Category:Rwasha	Kategori:Ryssland
Category:Buturuki	Kategori:Turkiet
Category:Bupoolo	Kategori:Polen
Category:Vietnam	Kategori:Vietnam
Category:Ebimera	Kategori:Växter
Category:Okumanya	Kategori:Vetenskap
Bikumi bina	400 (tal)
Ba Ria	Ba Ria
Category:Stub	Kategori:Stubbar
Category:Ensi	Kategori:Världens länder
Wikipedia:Administrators	Wikipedia:Administratörer
Wikipedia:Vital 100	Wikipedia:100 viktiga artiklar
Kaunas	Kaunas
Template:Bot	Mall:Bot
Category:Denimaaka	Kategori:Danmark
Category:Finilandi	Kategori:Finland
Category:Isilandi	Kategori:Island
Category:Lithueenia	Kategori:Litauen
Category:Swiiden	Kategori:Sverige
Category:Bulaaya	Kategori:Europa
Template:Documentation	Mall:Dokumentation
Category:Wikipedians by language	Kategori:Användare efter språk
Template:Softredirect	Mall:Mjuk omdirigering
Template:Delete	Mall:Radera
Category:Wikipedia	Kategori:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistik
Template:Col-break	Mall:Col-break
Template:Col-begin	Mall:Col-begin
Template:Col-end	Mall:Col-end
Wikipedia:Vital articles	Wikipedia:Artiklar som bör finnas på Wikipedia
Category:Aafrika	Kategori:Afrika
Category:Ennamba	Kategori:Tal
Template:Babel	Mall:Babel
Template:Stub	Mall:Stub
Template:See also	Mall:Se även
Template:User de	Mall:Användare de
Template:User de-1	Mall:Användare de-1
Template:User de-3	Mall:Användare de-3
Template:User en-3	Mall:Användare en-3
Template:User en-2	Mall:Användare en-2
Template:User lg-4	Mall:Användare en-4
Template:User en-0	Mall:Användare en-0
Template:User en	Mall:Användare en
Template:User tr	Mall:Användare tr
Category:Eezia	Kategori:Asien
Template:Esoteric	Mall:Komplicerad kod
Template:Mod	Mall:Mod
Template:User sv	Mall:Användare sv
Template:SIL	Mall:Språk/kodlista
Template:Image label	Mall:Image label
Template:Done	Mall:Utfört
Category:User en	Kategori:Användare en
Category:User en-2	Kategori:Användare en-2
Template:Infobox	Mall:Faktamall
Template:User nl-2	Mall:Användare nl-2
Category:Byabulimi	Kategori:Jordbruk
Category:Language user templates	Kategori:Babelmallar
Template:User nl	Mall:Användare nl-N
Template:Image label end	Mall:Image label end
Wikipedia:Nospam	Wikipedia:Skyddade sidnamn
Template:POL	Mall:POL
Template:Image label small	Mall:Image label small
Template:User lt	Mall:Användare lt
Template:User en-5	Mall:Användare en-5
Template:@	Mall:@
Category:Infobox templates	Kategori:Faktamallar
Template:FRA	Mall:FRA
Category:User lt	Kategori:Användare lt
Template:User ru-2	Mall:Användare ru-2
Category:User sv-3	Kategori:Användare sv-3
Category:User tr	Kategori:Användare tr
Category:User tr-N	Kategori:Användare tr-N
Template:Lang	Mall:Lang
Template:User sv-3	Mall:Användare sv-3
Category:Yuganda	Kategori:Uganda
Category:Noowe	Kategori:Norge
Category:Capitals of the World	Kategori:Huvudstäder
Template:UGA	Mall:UGA
Template:Lang-pl	Mall:Lang-pl
Trojany	Trojany
Template:User sw	Mall:Användare sw
Template:Image label begin	Mall:Image label begin
Wikipedia:VisualEditor	Wikipedia:VisualEditor
Special:RecentChanges	Special:Senaste ändringar
Kikajjo	Saccharum
